,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:20:19,33,,1,1,00:18:48,,,00:00:48,00:00:23,,00:19:55,00:20:19,245.0,196.0,284.0,266.0,SOFT,1.0,True,,Red Bull,VER,1,False,
1,00:21:23,33,00:01:04,2,1,,,00:00:16,00:00:28,00:00:19,00:20:35,00:21:03,00:21:23,312.0,249.0,284.0,311.0,SOFT,2.0,True,00:20:19,Red Bull,VER,1,True,2021-07-03 13:05:45.464
2,00:23:38,33,00:02:15,3,2,,00:22:53,00:00:20,00:00:42,00:01:11,00:21:44,00:22:26,00:23:38,216.0,167.0,,170.0,SOFT,1.0,True,00:21:23,Red Bull,VER,1,False,2021-07-03 13:06:49.713
3,00:45:58,33,,4,2,00:44:28,,,00:00:36,00:00:27,,00:45:30,00:45:58,285.0,169.0,286.0,276.0,MEDIUM,2.0,True,00:23:38,Red Bull,VER,1,False,2021-07-03 13:09:05.061
4,00:47:02,33,00:01:04,5,2,,,00:00:16,00:00:28,00:00:19,00:46:14,00:46:42,00:47:02,314.0,251.0,290.0,312.0,MEDIUM,3.0,True,00:45:58,Red Bull,VER,1,True,2021-07-03 13:31:24.518
5,00:48:21,33,00:01:18,6,3,,00:48:17,00:00:18,00:00:32,00:00:27,00:47:20,00:47:53,00:48:21,250.0,226.0,,242.0,MEDIUM,1.0,True,00:47:02,Red Bull,VER,1,False,2021-07-03 13:32:28.726
6,00:53:58,33,,7,3,00:52:01,,,00:00:47,00:00:33,,00:53:24,00:53:58,287.0,154.0,286.0,270.0,MEDIUM,2.0,True,00:48:21,Red Bull,VER,1,False,2021-07-03 13:33:47.561
7,00:55:02,33,00:01:03,8,3,,,00:00:16,00:00:28,00:00:19,00:54:14,00:54:42,00:55:02,312.0,250.0,284.0,313.0,MEDIUM,3.0,True,00:53:58,Red Bull,VER,1,True,2021-07-03 13:39:24.688
8,00:56:29,33,00:01:27,9,4,,00:56:26,00:00:20,00:00:38,00:00:28,00:55:22,00:56:01,00:56:29,222.0,188.0,,194.0,MEDIUM,1.0,True,00:55:02,Red Bull,VER,1,False,2021-07-03 13:40:28.615
9,01:07:16,33,,10,4,01:05:50,,,00:00:39,00:00:24,,01:06:52,01:07:16,235.0,167.0,289.0,279.0,SOFT,2.0,True,00:56:29,Red Bull,VER,1,False,2021-07-03 13:41:56.266
10,01:08:20,33,00:01:03,11,4,,,00:00:16,00:00:28,00:00:19,01:07:33,01:08:01,01:08:20,312.0,252.0,289.0,315.0,SOFT,3.0,True,01:07:16,Red Bull,VER,1,True,2021-07-03 13:52:43.255
11,01:09:38,33,00:01:17,12,5,,01:09:34,00:00:18,00:00:33,00:00:25,01:08:39,01:09:12,01:09:38,228.0,221.0,,257.0,SOFT,1.0,True,01:08:20,Red Bull,VER,1,False,2021-07-03 13:53:46.975
12,01:13:36,33,,13,5,01:12:07,,,00:00:44,00:00:25,,01:13:11,01:13:37,262.0,156.0,287.0,198.0,SOFT,2.0,True,01:09:38,Red Bull,VER,1,False,2021-07-03 13:55:04.627
13,01:14:40,33,00:01:03,14,5,,,00:00:16,00:00:28,00:00:19,01:13:53,01:14:21,01:14:40,311.0,252.0,287.0,310.0,SOFT,3.0,True,01:13:36,Red Bull,VER,1,True,2021-07-03 13:59:03.370
14,01:16:13,33,00:01:32,15,5,,,00:00:25,00:00:35,00:00:32,01:15:05,01:15:41,01:16:13,214.0,220.0,78.0,234.0,SOFT,4.0,True,01:14:40,Red Bull,VER,1,True,2021-07-03 14:00:07.136
15,00:21:01,77,,1,1,00:19:16,,,00:00:41,00:00:38,,00:20:22,00:21:01,269.0,191.0,283.0,281.0,SOFT,1.0,True,,Mercedes,BOT,1,False,
16,00:22:05,77,00:01:04,2,1,,,00:00:16,00:00:28,00:00:19,00:21:17,00:21:46,00:22:05,311.0,248.0,284.0,310.0,SOFT,2.0,True,00:21:01,Mercedes,BOT,1,True,2021-07-03 13:06:27.603
17,00:23:39,77,00:01:33,3,2,,00:23:35,00:00:20,00:00:42,00:00:30,00:22:26,00:23:08,00:23:39,211.0,154.0,,230.0,SOFT,1.0,True,00:22:05,Mercedes,BOT,1,False,2021-07-03 13:07:32.166
18,00:26:42,77,,4,2,00:25:16,,,00:00:40,00:00:25,,00:26:17,00:26:43,261.0,204.0,287.0,185.0,SOFT,5.0,False,00:23:39,Mercedes,BOT,1,False,2021-07-03 13:09:05.565
19,00:27:47,77,00:01:04,5,2,,,00:00:16,00:00:28,00:00:19,00:26:59,00:27:27,00:27:47,311.0,249.0,283.0,309.0,SOFT,6.0,False,00:26:42,Mercedes,BOT,1,True,2021-07-03 13:12:09.161
20,00:29:11,77,00:01:23,6,3,,00:29:07,00:00:18,00:00:34,00:00:29,00:28:06,00:28:41,00:29:11,278.0,214.0,,280.0,SOFT,4.0,False,00:27:47,Mercedes,BOT,1,False,2021-07-03 13:13:13.973
21,00:46:12,77,,7,3,00:44:31,,,00:00:37,00:00:40,,00:45:32,00:46:12,268.0,160.0,286.0,283.0,MEDIUM,2.0,True,00:29:11,Mercedes,BOT,1,False,2021-07-03 13:14:37.660
22,00:47:17,77,00:01:04,8,3,,,00:00:16,00:00:28,00:00:19,00:46:29,00:46:57,00:47:17,311.0,249.0,284.0,310.0,MEDIUM,3.0,True,00:46:12,Mercedes,BOT,1,True,2021-07-03 13:31:39.184
