,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,01:03:23,33,,1.0,1.0,00:22:34,,,00:00:30,00:00:37,,01:02:46,01:03:23,291.0,229.0,184.0,285.0,MEDIUM,4.0,False,01:01:55,Red Bull,VER,4,False,2021-07-04 13:02:55.489
1,01:05:15,33,00:01:52,2.0,1.0,,,00:00:21,00:00:54,00:00:35,01:03:45,01:04:39,01:05:15,142.0,120.0,206.0,143.0,MEDIUM,5.0,False,01:03:23,Red Bull,VER,4,False,2021-07-04 13:04:23.472
2,01:07:12,33,00:01:56,3.0,1.0,,,00:00:26,00:00:43,00:00:47,01:05:41,01:06:25,01:07:12,162.0,171.0,233.0,235.0,MEDIUM,6.0,False,01:05:15,Red Bull,VER,4,False,2021-07-04 13:06:15.801
3,01:08:22,33,00:01:09,4.0,1.0,,,00:00:17,00:00:30,00:00:21,01:07:30,01:08:00,01:08:22,290.0,229.0,269.0,290.0,MEDIUM,7.0,False,01:07:12,Red Bull,VER,1,False,2021-07-04 13:08:12.365
4,01:09:31,33,00:01:09,5.0,1.0,,,00:00:17,00:00:30,00:00:21,01:08:39,01:09:10,01:09:31,,231.0,269.0,287.0,MEDIUM,8.0,False,01:08:22,Red Bull,VER,1,True,2021-07-04 13:09:22.164
5,01:10:41,33,00:01:09,6.0,1.0,,,00:00:17,00:00:30,00:00:21,01:09:49,01:10:20,01:10:41,291.0,230.0,270.0,286.0,MEDIUM,9.0,False,01:09:31,Red Bull,VER,1,True,2021-07-04 13:10:31.899
6,01:11:50,33,00:01:09,7.0,1.0,,,00:00:17,00:00:30,00:00:21,01:10:58,01:11:29,01:11:50,292.0,230.0,269.0,284.0,MEDIUM,10.0,False,01:10:41,Red Bull,VER,1,True,2021-07-04 13:11:41.350
7,01:12:59,33,00:01:09,8.0,1.0,,,00:00:17,00:00:30,00:00:21,01:12:08,01:12:38,01:12:59,,229.0,270.0,287.0,MEDIUM,11.0,False,01:11:50,Red Bull,VER,1,True,2021-07-04 13:12:50.632
8,01:14:09,33,00:01:09,9.0,1.0,,,00:00:17,00:00:30,00:00:21,01:13:17,01:13:48,01:14:09,294.0,231.0,269.0,287.0,MEDIUM,12.0,False,01:12:59,Red Bull,VER,1,True,2021-07-04 13:13:59.959
9,01:15:18,33,00:01:09,10.0,1.0,,,00:00:17,00:00:30,00:00:21,01:14:26,01:14:57,01:15:18,296.0,230.0,270.0,289.0,MEDIUM,13.0,False,01:14:09,Red Bull,VER,1,True,2021-07-04 13:15:09.177
10,01:16:27,33,00:01:09,11.0,1.0,,,00:00:17,00:00:30,00:00:21,01:15:35,01:16:06,01:16:27,,232.0,271.0,291.0,MEDIUM,14.0,False,01:15:18,Red Bull,VER,1,True,2021-07-04 13:16:18.268
11,01:17:36,33,00:01:09,12.0,1.0,,,00:00:17,00:00:30,00:00:21,01:16:44,01:17:15,01:17:36,295.0,232.0,271.0,291.0,MEDIUM,15.0,False,01:16:27,Red Bull,VER,1,True,2021-07-04 13:17:27.400
12,01:18:45,33,00:01:09,13.0,1.0,,,00:00:17,00:00:30,00:00:20,01:17:54,01:18:24,01:18:45,296.0,232.0,273.0,289.0,MEDIUM,16.0,False,01:17:36,Red Bull,VER,1,True,2021-07-04 13:18:36.545
13,01:19:54,33,00:01:09,14.0,1.0,,,00:00:17,00:00:30,00:00:20,01:19:03,01:19:33,01:19:54,297.0,231.0,273.0,289.0,MEDIUM,17.0,False,01:18:45,Red Bull,VER,1,True,2021-07-04 13:19:45.671
14,01:21:03,33,00:01:09,15.0,1.0,,,00:00:17,00:00:30,00:00:21,01:20:12,01:20:42,01:21:03,296.0,232.0,272.0,290.0,MEDIUM,18.0,False,01:19:54,Red Bull,VER,1,True,2021-07-04 13:20:54.771
15,01:22:12,33,00:01:09,16.0,1.0,,,00:00:17,00:00:30,00:00:20,01:21:21,01:21:51,01:22:12,,232.0,272.0,288.0,MEDIUM,19.0,False,01:21:03,Red Bull,VER,1,True,2021-07-04 13:22:03.845
16,01:23:21,33,00:01:09,17.0,1.0,,,00:00:17,00:00:30,00:00:21,01:22:30,01:23:00,01:23:21,297.0,235.0,272.0,290.0,MEDIUM,20.0,False,01:22:12,Red Bull,VER,1,True,2021-07-04 13:23:12.915
17,01:24:31,33,00:01:09,18.0,1.0,,,00:00:17,00:00:30,00:00:21,01:23:39,01:24:10,01:24:31,298.0,232.0,272.0,289.0,MEDIUM,21.0,False,01:23:21,Red Bull,VER,1,True,2021-07-04 13:24:21.986
18,01:25:40,33,00:01:09,19.0,1.0,,,00:00:17,00:00:30,00:00:21,01:24:48,01:25:19,01:25:40,297.0,232.0,273.0,290.0,MEDIUM,22.0,False,01:24:31,Red Bull,VER,1,True,2021-07-04 13:25:31.192
19,01:26:49,33,00:01:09,20.0,1.0,,,00:00:17,00:00:30,00:00:21,01:25:57,01:26:28,01:26:49,295.0,233.0,272.0,290.0,MEDIUM,23.0,False,01:25:40,Red Bull,VER,1,True,2021-07-04 13:26:40.466
20,01:27:59,33,00:01:09,21.0,1.0,,,00:00:17,00:00:30,00:00:21,01:27:07,01:27:37,01:27:59,296.0,231.0,271.0,291.0,MEDIUM,24.0,False,01:26:49,Red Bull,VER,1,True,2021-07-04 13:27:49.821
21,01:29:08,33,00:01:09,22.0,1.0,,,00:00:17,00:00:30,00:00:21,01:28:16,01:28:47,01:29:08,,233.0,271.0,288.0,MEDIUM,25.0,False,01:27:59,Red Bull,VER,1,True,2021-07-04 13:28:59.073
22,01:30:17,33,00:01:09,23.0,1.0,,,00:00:17,00:00:30,00:00:21,01:29:25,01:29:56,01:30:17,297.0,231.0,273.0,289.0,MEDIUM,26.0,False,01:29:08,Red Bull,VER,1,True,2021-07-04 13:30:08.401
23,01:31:27,33,00:01:09,24.0,1.0,,,00:00:17,00:00:30,00:00:21,01:30:35,01:31:06,01:31:27,298.0,233.0,282.0,290.0,MEDIUM,27.0,False,01:30:17,Red Bull,VER,1,True,2021-07-04 13:31:17.895
24,01:32:36,33,00:01:08,25.0,1.0,,,00:00:16,00:00:30,00:00:21,01:31:44,01:32:15,01:32:36,312.0,232.0,274.0,291.0,MEDIUM,28.0,False,01:31:27,Red Bull,VER,1,True,2021-07-04 13:32:27.395
25,01:33:45,33,00:01:09,26.0,1.0,,,00:00:17,00:00:30,00:00:21,01:32:53,01:33:24,01:33:45,300.0,229.0,272.0,294.0,MEDIUM,29.0,False,01:32:36,Red Bull,VER,1,True,2021-07-04 13:33:36.277
26,01:34:55,33,00:01:09,27.0,1.0,,,00:00:17,00:00:30,00:00:21,01:34:03,01:34:34,01:34:55,298.0,233.0,272.0,292.0,MEDIUM,30.0,False,01:33:45,Red Bull,VER,1,True,2021-07-04 13:34:45.888
27,01:36:04,33,00:01:09,28.0,1.0,,,00:00:17,00:00:30,00:00:21,01:35:12,01:35:43,01:36:04,,232.0,272.0,293.0,MEDIUM,31.0,False,01:34:55,Red Bull,VER,1,True,2021-07-04 13:35:55.211
28,01:37:14,33,00:01:09,29.0,1.0,,,00:00:17,00:00:30,00:00:21,01:36:21,01:36:52,01:37:14,300.0,231.0,273.0,292.0,MEDIUM,32.0,False,01:36:04,Red Bull,VER,1,True,2021-07-04 13:37:04.515
29,01:38:23,33,00:01:09,30.0,1.0,,,00:00:17,00:00:30,00:00:21,01:37:31,01:38:02,01:38:23,302.0,231.0,275.0,294.0,MEDIUM,33.0,False,01:37:14,Red Bull,VER,1,True,2021-07-04 13:38:14.013
30,01:39:33,33,00:01:09,31.0,1.0,,,00:00:17,00:00:30,00:00:21,01:38:40,01:39:11,01:39:33,,232.0,275.0,295.0,MEDIUM,34.0,False,01:38:23,Red Bull,VER,1,True,2021-07-04 13:39:23.528
31,01:40:46,33,00:01:13,32.0,1.0,,01:40:43,00:00:17,00:00:31,00:00:24,01:39:50,01:40:21,01:40:46,305.0,231.0,,298.0,MEDIUM,35.0,False,01:39:33,Red Bull,VER,1,False,2021-07-04 13:40:33.158
32,01:42:11,33,00:01:25,33.0,2.0,01:41:04,,00:00:34,00:00:30,00:00:20,01:41:20,01:41:50,01:42:11,295.0,235.0,273.0,292.0,HARD,1.0,True,01:40:46,Red Bull,VER,1,False,2021-07-04 13:41:46.292
33,01:43:20,33,00:01:08,34.0,2.0,,,00:00:17,00:00:30,00:00:20,01:42:29,01:42:59,01:43:20,300.0,236.0,274.0,296.0,HARD,2.0,True,01:42:11,Red Bull,VER,1,True,2021-07-04 13:43:11.743
34,01:44:28,33,00:01:08,35.0,2.0,,,00:00:17,00:00:30,00:00:20,01:43:37,01:44:08,01:44:28,298.0,235.0,274.0,293.0,HARD,3.0,True,01:43:20,Red Bull,VER,1,True,2021-07-04 13:44:20.216
35,01:45:37,33,00:01:08,36.0,2.0,,,00:00:17,00:00:30,00:00:20,01:44:46,01:45:16,01:45:37,295.0,235.0,275.0,290.0,HARD,4.0,True,01:44:28,Red Bull,VER,1,True,2021-07-04 13:45:28.944
36,01:46:46,33,00:01:08,37.0,2.0,,,00:00:17,00:00:30,00:00:20,01:45:55,01:46:25,01:46:46,294.0,236.0,275.0,290.0,HARD,5.0,True,01:45:37,Red Bull,VER,1,True,2021-07-04 13:46:37.713
37,01:47:55,33,00:01:08,38.0,2.0,,,00:00:17,00:00:30,00:00:20,01:47:03,01:47:34,01:47:55,297.0,236.0,275.0,292.0,HARD,6.0,True,01:46:46,Red Bull,VER,1,True,2021-07-04 13:47:46.617
38,01:49:03,33,00:01:08,39.0,2.0,,,00:00:17,00:00:30,00:00:20,01:48:12,01:48:43,01:49:03,298.0,237.0,276.0,294.0,HARD,7.0,True,01:47:55,Red Bull,VER,1,True,2021-07-04 13:48:55.331
39,01:50:13,33,00:01:09,40.0,2.0,,,00:00:17,00:00:30,00:00:20,01:49:21,01:49:52,01:50:13,299.0,236.0,283.0,295.0,HARD,8.0,True,01:49:03,Red Bull,VER,1,True,2021-07-04 13:50:03.972
40,01:51:21,33,00:01:08,41.0,2.0,,,00:00:17,00:00:30,00:00:20,01:50:30,01:51:01,01:51:21,294.0,237.0,274.0,292.0,HARD,9.0,True,01:50:13,Red Bull,VER,1,True,2021-07-04 13:51:13.119
41,01:52:30,33,00:01:08,42.0,2.0,,,00:00:17,00:00:30,00:00:20,01:51:39,01:52:09,01:52:30,298.0,236.0,275.0,293.0,HARD,10.0,True,01:51:21,Red Bull,VER,1,True,2021-07-04 13:52:22.006
42,01:53:39,33,00:01:08,43.0,2.0,,,00:00:17,00:00:30,00:00:20,01:52:48,01:53:18,01:53:39,300.0,239.0,276.0,297.0,HARD,11.0,True,01:52:30,Red Bull,VER,1,True,2021-07-04 13:53:30.828
43,01:54:48,33,00:01:08,44.0,2.0,,,00:00:17,00:00:30,00:00:20,01:53:56,01:54:27,01:54:48,303.0,236.0,286.0,298.0,HARD,12.0,True,01:53:39,Red Bull,VER,1,True,2021-07-04 13:54:39.715
44,01:55:58,33,00:01:09,45.0,2.0,,,00:00:16,00:00:31,00:00:21,01:55:05,01:55:36,01:55:58,317.0,226.0,275.0,315.0,HARD,13.0,True,01:54:48,Red Bull,VER,1,True,2021-07-04 13:55:48.595
45,01:57:06,33,00:01:08,46.0,2.0,,,00:00:17,00:00:30,00:00:20,01:56:15,01:56:46,01:57:06,300.0,237.0,275.0,296.0,HARD,14.0,True,01:55:58,Red Bull,VER,1,True,2021-07-04 13:56:58.024
46,01:58:15,33,00:01:08,47.0,2.0,,,00:00:17,00:00:30,00:00:20,01:57:24,01:57:54,01:58:15,,237.0,274.0,297.0,HARD,15.0,True,01:57:06,Red Bull,VER,1,True,2021-07-04 13:58:06.857
47,01:59:24,33,00:01:08,48.0,2.0,,,00:00:17,00:00:30,00:00:20,01:58:32,01:59:03,01:59:24,,235.0,276.0,298.0,HARD,16.0,True,01:58:15,Red Bull,VER,1,True,2021-07-04 13:59:15.667
48,02:00:33,33,00:01:08,49.0,2.0,,,00:00:17,00:00:30,00:00:20,01:59:41,02:00:12,02:00:33,302.0,236.0,277.0,299.0,HARD,17.0,True,01:59:24,Red Bull,VER,1,True,2021-07-04 14:00:24.527
49,02:01:41,33,00:01:08,50.0,2.0,,,00:00:17,00:00:30,00:00:20,02:00:50,02:01:21,02:01:41,301.0,237.0,284.0,296.0,HARD,18.0,True,02:00:33,Red Bull,VER,1,True,2021-07-04 14:01:33.296
50,02:02:50,33,00:01:08,51.0,2.0,,,00:00:17,00:00:30,00:00:20,02:01:58,02:02:29,02:02:50,,237.0,277.0,296.0,HARD,19.0,True,02:01:41,Red Bull,VER,1,True,2021-07-04 14:02:41.906
51,02:03:58,33,00:01:08,52.0,2.0,,,00:00:17,00:00:30,00:00:20,02:03:07,02:03:38,02:03:58,304.0,238.0,285.0,296.0,HARD,20.0,True,02:02:50,Red Bull,VER,1,True,2021-07-04 14:03:50.345
52,02:05:06,33,00:01:08,53.0,2.0,,,00:00:17,00:00:30,00:00:20,02:04:15,02:04:46,02:05:06,301.0,238.0,277.0,298.0,HARD,21.0,True,02:03:58,Red Bull,VER,1,True,2021-07-04 14:04:58.834
53,02:06:15,33,00:01:08,54.0,2.0,,,00:00:17,00:00:30,00:00:20,02:05:24,02:05:54,02:06:15,303.0,238.0,278.0,296.0,HARD,22.0,True,02:05:06,Red Bull,VER,1,True,2021-07-04 14:06:07.007
54,02:07:23,33,00:01:08,55.0,2.0,,,00:00:17,00:00:30,00:00:20,02:06:32,02:07:02,02:07:23,,237.0,277.0,297.0,HARD,23.0,True,02:06:15,Red Bull,VER,1,True,2021-07-04 14:07:15.244
55,02:08:31,33,00:01:08,56.0,2.0,,,00:00:17,00:00:30,00:00:20,02:07:40,02:08:10,02:08:31,305.0,238.0,279.0,297.0,HARD,24.0,True,02:07:23,Red Bull,VER,1,True,2021-07-04 14:08:23.391
56,02:09:39,33,00:01:07,57.0,2.0,,,00:00:17,00:00:30,00:00:20,02:08:48,02:09:18,02:09:39,303.0,238.0,279.0,296.0,HARD,25.0,True,02:08:31,Red Bull,VER,1,True,2021-07-04 14:09:31.403
57,02:10:47,33,00:01:07,58.0,2.0,,,00:00:16,00:00:30,00:00:20,02:09:56,02:10:26,02:10:47,305.0,236.0,279.0,299.0,HARD,26.0,True,02:09:39,Red Bull,VER,1,True,2021-07-04 14:10:39.395
58,02:11:55,33,00:01:08,59.0,2.0,,,00:00:17,00:00:30,00:00:20,02:11:04,02:11:34,02:11:55,304.0,236.0,278.0,298.0,HARD,27.0,True,02:10:47,Red Bull,VER,1,True,2021-07-04 14:11:47.230
59,02:13:07,33,00:01:11,60.0,2.0,,02:13:03,00:00:17,00:00:30,00:00:24,02:12:12,,02:13:07,303.0,237.0,,299.0,HARD,28.0,True,02:11:55,Red Bull,VER,1,False,2021-07-04 14:12:55.336
60,02:14:32,33,00:01:25,61.0,3.0,02:13:25,,00:00:34,00:00:30,00:00:20,02:13:41,02:14:11,02:14:32,295.0,240.0,279.0,308.0,HARD,1.0,True,02:13:07,Red Bull,VER,1,False,2021-07-04 14:14:07.058
