,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:18:43,10,,1,1,00:16:37,,,00:00:54,00:00:27,,00:18:16,00:18:44,142.0,174.0,325.0,293.0,SOFT,1.0,True,,AlphaTauri,GAS,1,False,
1,00:31:39,10,,2,2,,00:21:10,,,,,,,,,,,SOFT,1.0,True,00:18:43,AlphaTauri,GAS,25,False,2021-06-05 12:03:43.887
2,00:33:42,10,,3,2,00:31:39,,,00:00:53,00:00:27,,00:33:15,00:33:42,154.0,184.0,328.0,294.0,SOFT,2.0,True,00:31:39,AlphaTauri,GAS,1,False,2021-06-05 12:16:39.201
3,00:44:11,10,,4,3,,00:35:53,00:00:35,,,00:34:18,,,232.0,,,,SOFT,1.0,True,00:33:42,AlphaTauri,GAS,25,False,2021-06-05 12:18:42.390
4,00:46:22,10,,5,3,00:44:11,,,00:01:00,00:00:27,,00:45:55,00:46:22,157.0,172.0,323.0,292.0,SOFT,4.0,False,00:44:11,AlphaTauri,GAS,1,False,2021-06-05 12:29:11.042
5,00:48:04,10,00:01:42,6,3,,,00:00:35,00:00:41,00:00:25,00:46:58,00:47:39,00:48:04,234.0,237.0,326.0,307.0,SOFT,5.0,False,00:46:22,AlphaTauri,GAS,1,True,2021-06-05 12:31:22.447
6,00:50:21,10,00:02:16,7,3,,,00:00:49,00:00:58,00:00:28,00:48:54,00:49:52,00:50:21,155.0,130.0,327.0,294.0,SOFT,6.0,False,00:48:04,AlphaTauri,GAS,1,True,2021-06-05 12:33:04.881
7,00:52:03,10,00:01:42,8,3,,,00:00:35,00:00:41,00:00:25,00:50:56,00:51:38,00:52:03,227.0,239.0,326.0,308.0,SOFT,7.0,False,00:50:21,AlphaTauri,GAS,2,True,2021-06-05 12:35:21.173
8,00:54:18,10,00:02:14,9,4,,00:54:17,00:00:45,00:00:51,00:00:37,00:52:49,00:53:40,00:54:18,174.0,155.0,,282.0,SOFT,3.0,False,00:52:03,AlphaTauri,GAS,1,False,2021-06-05 12:37:03.461
9,01:06:36,10,,10,4,01:04:30,,,00:00:54,00:00:27,,01:06:08,01:06:36,160.0,187.0,324.0,292.0,SOFT,2.0,True,00:54:18,AlphaTauri,GAS,2,False,2021-06-05 12:39:18.115
