,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2021-06-06 12:03:59.531,00:33:59,,0.0,,11129,0,1,24,0,1,interpolation,0.008830508560256394,4.949296425032561e-07,OnTrack,974,-629,-246
3,2021-06-06 12:03:59.704,00:33:59,,0.0,00:00:00,11160,0,1,24,0,1,pos,0.001135869195212899,6.366284918712095e-08,OnTrack,974,-629,-246
4,2021-06-06 12:03:59.710,00:33:59,,0.0,00:00:00,11222,0,1,24,0,1,car,0.0,0.0,OnTrack,974,-629,-246
5,2021-06-06 12:03:59.924,00:33:59,,0.0,00:00:00,10933,0,1,24,0,1,pos,-0.02141287926833177,-1.2001425069603359e-06,OnTrack,974,-629,-246
6,2021-06-06 12:03:59.950,00:33:59,,0.0,00:00:00,10644,0,1,25,0,1,car,0.0,0.0,OnTrack,973,-628,-245
7,2021-06-06 12:04:00.144,00:34:00,,0.0,00:00:00,9804,4,1,26,0,1,pos,0.3916398727713769,2.1950511785147984e-05,OnTrack,974,-628,-246
8,2021-06-06 12:04:00.190,00:34:00,7,0.0,00:00:00,8964,8,1,27,0,1,car,0.5333333333333333,2.9892103518222766e-05,OnTrack,974,-627,-246
9,2021-06-06 12:04:00.364,00:34:00,7,0.0,00:00:00,8124,12,1,27,0,1,pos,1.2298978323606593,6.89329374783049e-05,OnTrack,978,-622,-246
10,2021-06-06 12:04:00.430,00:34:00,11,0.0,00:00:00,7284,16,1,27,0,1,car,1.6,8.96763105546683e-05,OnTrack,978,-618,-245
11,2021-06-06 12:04:00.584,00:34:00,11,0.033333333333333215,00:00:01,6444,22,1,29,0,1,pos,2.7339423544271653,0.0001532311647588572,OnTrack,983,-611,-245
12,2021-06-06 12:04:00.670,00:34:00,77,0.06666666666666643,00:00:01,5604,28,1,31,0,1,car,3.466666666666667,0.000194298672868448,OnTrack,990,-609,-245
13,2021-06-06 12:04:00.804,00:34:00,77,0.09999999999999964,00:00:01,4990,31,1,36,0,1,pos,4.688518657630181,0.00026278065948937544,OnTrack,1008,-609,-246
14,2021-06-06 12:04:00.910,00:34:00,3,0.13333333333333286,00:00:01,4376,35,1,42,0,1,car,5.8,0.0003250766257606726,OnTrack,1021,-606,-245
15,2021-06-06 12:04:01.024,00:34:01,3,0.09999999999999964,00:00:01,4796,41,1,47,0,1,pos,7.199546101095393,0.00040351795750905104,OnTrack,1035,-603,-245
16,2021-06-06 12:04:01.150,00:34:01,3,0.06666666666666643,00:00:01,5216,47,1,52,0,1,car,8.933333333333334,0.0005006927339302313,OnTrack,1050,-596,-244
17,2021-06-06 12:04:01.244,00:34:01,3,0.033333333333333215,00:00:01,5815,51,1,53,0,1,pos,10.310137488109461,0.0005778594320281448,OnTrack,1062,-591,-245
18,2021-06-06 12:04:01.390,00:34:01,3,0.0,00:00:01,6414,55,1,55,0,1,car,12.600000000000003,0.0007062009456180131,OnTrack,1081,-582,-245
19,2021-06-06 12:04:01.464,00:34:01,3,0.4333333333333318,00:00:01,7079,59,1,58,0,1,pos,13.837629071456465,0.0007755672012201478,OnTrack,1093,-578,-245
20,2021-06-06 12:04:01.630,00:34:01,44,0.8666666666666636,00:00:02,7744,64,1,61,0,1,car,16.86666666666667,0.0009453377737637952,OnTrack,1120,-566,-244
21,2021-06-06 12:04:01.684,00:34:01,44,0.8666666666666636,00:00:02,8465,71,1,64,0,1,pos,17.95786260847594,0.0010064967901098462,OnTrack,1130,-563,-245
22,2021-06-06 12:04:01.870,00:34:01,44,0.8666666666666636,00:00:02,9186,78,1,68,0,1,car,22.066666666666666,0.001236785783066467,OnTrack,1166,-548,-245
23,2021-06-06 12:04:01.904,00:34:01,44,0.9994444444444408,00:00:02,9262,83,1,75,0,1,pos,22.8589386683866,0.0012811908018602201,OnTrack,1173,-546,-245
24,2021-06-06 12:04:02.109,00:34:02,44,1.132222222222218,00:00:02,9338,88,1,83,0,1,car,27.908888888888896,0.0015642288670223326,OnTrack,1217,-527,-244
25,2021-06-06 12:04:02.124,00:34:02,44,1.184074074074071,00:00:02,9230,92,1,83,0,1,pos,28.299875321609193,0.0015861427549993868,OnTrack,1221,-526,-245
26,2021-06-06 12:04:02.344,00:34:02,44,1.2359259259259237,00:00:02,9123,96,1,84,0,1,pos,34.3740376058677,0.001926585544601024,OnTrack,1274,-504,-245
27,2021-06-06 12:04:02.389,00:34:02,44,1.2877777777777766,00:00:02,9016,100,2,85,0,1,car,35.68666666666667,0.002000155376663081,OnTrack,1285,-499,-244
28,2021-06-06 12:04:02.564,00:34:02,44,1.3436111111111124,00:00:03,9716,105,2,85,0,1,pos,41.007373105201566,0.002298368703508255,OnTrack,1334,-480,-245
29,2021-06-06 12:04:02.590,00:34:02,44,1.3994444444444483,00:00:03,10416,110,2,86,0,1,car,41.82833333333333,0.002344381631240115,OnTrack,1341,-476,-245
30,2021-06-06 12:04:02.784,00:34:02,44,1.4661111111111147,00:00:03,11146,115,2,87,0,1,pos,48.22361898307353,0.0027028226449975616,OnTrack,1400,-453,-245
31,2021-06-06 12:04:02.830,00:34:02,44,1.5327777777777811,00:00:03,11877,120,2,88,0,1,car,49.82833333333334,0.0027927631840134566,OnTrack,1414,-446,-244
32,2021-06-06 12:04:03.003,00:34:02,44,1.6661111111111175,00:00:03,11387,127,2,94,0,1,pos,56.19141634145829,0.0031493993139645473,OnTrack,1471,-423,-244
33,2021-06-06 12:04:03.070,00:34:03,44,1.799444444444454,00:00:03,10897,134,2,100,0,1,car,58.76166666666666,0.0032934559179436875,OnTrack,1494,-413,-243
34,2021-06-06 12:04:03.223,00:34:03,44,2.066111111111116,00:00:03,10760,139,2,100,0,1,pos,64.81603801417367,0.00363278947117639,OnTrack,1549,-391,-244
35,2021-06-06 12:04:03.310,00:34:03,44,2.3327777777777783,00:00:03,10624,145,3,100,0,1,car,68.42833333333334,0.0038352502942114756,OnTrack,1581,-377,-244
36,2021-06-06 12:04:03.443,00:34:03,44,1.261250000000004,00:00:03,10959,152,3,100,0,1,pos,74.23973302541384,0.004160965846426672,OnTrack,1633,-355,-244
37,2021-06-06 12:04:03.550,00:34:03,3,0.18972222222222968,00:00:04,11295,160,3,100,0,1,car,79.095,0.004433092364575931,OnTrack,1676,-336,-243
38,2021-06-06 12:04:03.663,00:34:03,3,0.356388888888894,00:00:04,10796,164,3,100,0,1,pos,84.33730750308408,0.004726911611869453,OnTrack,1723,-317,-243
39,2021-06-06 12:04:03.790,00:34:03,3,0.5230555555555583,00:00:04,10297,169,3,100,0,1,car,90.36166666666668,0.0050645630513983875,OnTrack,1777,-294,-242
40,2021-06-06 12:04:03.883,00:34:03,3,0.723055555555554,00:00:04,10569,173,3,100,0,1,pos,94.85606634846812,0.005316463789912155,OnTrack,1818,-277,-243
41,2021-06-06 12:04:04.030,00:34:04,3,0.9230555555555497,00:00:04,10842,177,4,100,0,1,car,102.16166666666669,0.005725925841739066,OnTrack,1884,-248,-243
42,2021-06-06 12:04:04.103,00:34:04,3,1.1230555555555455,00:00:04,11144,183,4,100,0,1,pos,105.91861894130653,0.005936494353563861,OnTrack,1919,-234,-243
43,2021-06-06 12:04:04.270,00:34:04,3,1.3230555555555412,00:00:04,11447,189,4,100,0,1,car,114.76166666666666,0.006432126787357078,OnTrack,1998,-200,-242
44,2021-06-06 12:04:04.323,00:34:04,3,1.2279166666666583,00:00:04,11687,192,4,100,0,1,pos,117.60406639696136,0.006591436737941087,OnTrack,2024,-190,-243
45,2021-06-06 12:04:04.510,00:34:04,44,1.1327777777777754,00:00:04,11928,196,4,100,0,1,car,127.82833333333333,0.007164483323553536,OnTrack,2117,-150,-243
46,2021-06-06 12:04:04.543,00:34:04,44,1.5612500000000082,00:00:05,11297,201,4,100,0,1,pos,129.68479789852,0.00726853388160442,OnTrack,2134,-144,-243
47,2021-06-06 12:04:04.750,00:34:04,3,1.989722222222241,00:00:05,10666,206,5,100,0,1,car,141.56166666666667,0.007934204989147773,OnTrack,2240,-99,-242
