,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:35:51,16,,1,1,00:00:04,,,00:00:44,00:00:26,,00:35:25,00:35:52,190.0,211.0,306.0,304.0,SOFT,4.0,False,00:33:59,Ferrari,LEC,1,False,2021-06-06 12:03:59.531
1,00:37:41,16,00:01:49,2,1,,,00:00:38,00:00:44,00:00:26,00:36:30,00:37:15,00:37:41,203.0,208.0,312.0,306.0,SOFT,5.0,False,00:35:51,Ferrari,LEC,1,True,2021-06-06 12:05:51.908
2,00:39:30,16,00:01:48,3,1,,,00:00:39,00:00:43,00:00:25,00:38:20,00:39:04,00:39:30,206.0,208.0,317.0,312.0,SOFT,6.0,False,00:37:41,Ferrari,LEC,1,True,2021-06-06 12:07:41.580
3,00:41:17,16,00:01:47,4,1,,,00:00:38,00:00:43,00:00:25,00:40:08,00:40:52,00:41:17,205.0,209.0,311.0,312.0,SOFT,7.0,False,00:39:30,Ferrari,LEC,2,True,2021-06-06 12:09:30.326
4,00:43:05,16,00:01:47,5,1,,,00:00:38,00:00:43,00:00:25,00:41:55,00:42:39,00:43:05,209.0,218.0,325.0,315.0,SOFT,8.0,False,00:41:17,Ferrari,LEC,1,True,2021-06-06 12:11:17.926
5,00:44:53,16,00:01:47,6,1,,,00:00:38,00:00:43,00:00:26,00:43:43,00:44:26,00:44:53,205.0,215.0,304.0,311.0,SOFT,9.0,False,00:43:05,Ferrari,LEC,1,True,2021-06-06 12:13:05.186
6,00:46:41,16,00:01:48,7,1,,,00:00:39,00:00:43,00:00:25,00:45:32,00:46:15,00:46:41,204.0,215.0,307.0,313.0,SOFT,10.0,False,00:44:53,Ferrari,LEC,1,True,2021-06-06 12:14:53.149
7,00:48:30,16,00:01:48,8,1,,,00:00:38,00:00:43,00:00:25,00:47:20,00:48:04,00:48:30,205.0,212.0,315.0,315.0,SOFT,11.0,False,00:46:41,Ferrari,LEC,1,True,2021-06-06 12:16:41.760
8,00:50:22,16,00:01:51,9,1,,00:50:21,00:00:38,00:00:43,00:00:30,00:49:08,00:49:52,00:50:22,210.0,216.0,,314.0,SOFT,12.0,False,00:48:30,Ferrari,LEC,1,False,2021-06-06 12:18:30.481
9,00:52:25,16,00:02:03,10,2,00:50:40,,00:00:54,00:00:43,00:00:25,00:51:16,00:51:59,00:52:25,210.0,223.0,316.0,312.0,HARD,,True,00:50:22,Ferrari,LEC,1,False,2021-06-06 12:20:22.304
10,00:54:13,16,00:01:48,11,2,,,00:00:38,00:00:43,00:00:26,00:53:03,00:53:47,00:54:13,209.0,216.0,313.0,312.0,HARD,,True,00:52:25,Ferrari,LEC,2,True,2021-06-06 12:22:25.742
11,00:56:02,16,00:01:49,12,2,,,00:00:38,00:00:44,00:00:25,00:54:52,00:55:37,00:56:02,196.0,214.0,311.0,316.0,HARD,,True,00:54:13,Ferrari,LEC,1,True,2021-06-06 12:24:13.847
12,00:57:50,16,00:01:48,13,2,,,00:00:38,00:00:43,00:00:25,00:56:41,00:57:25,00:57:50,207.0,216.0,315.0,316.0,HARD,,True,00:56:02,Ferrari,LEC,1,True,2021-06-06 12:26:02.933
13,00:59:38,16,00:01:47,14,2,,,00:00:38,00:00:43,00:00:25,00:58:29,00:59:12,00:59:38,206.0,217.0,318.0,314.0,HARD,,True,00:57:50,Ferrari,LEC,1,True,2021-06-06 12:27:50.972
14,01:01:25,16,00:01:47,15,2,,,00:00:38,00:00:43,00:00:25,01:00:16,01:01:00,01:01:25,205.0,210.0,316.0,312.0,HARD,,True,00:59:38,Ferrari,LEC,1,True,2021-06-06 12:29:38.646
15,01:03:13,16,00:01:47,16,2,,,00:00:38,00:00:43,00:00:25,01:02:03,01:02:47,01:03:13,,213.0,317.0,313.0,HARD,,True,01:01:25,Ferrari,LEC,1,True,2021-06-06 12:31:25.918
16,01:05:00,16,00:01:47,17,2,,,00:00:38,00:00:43,00:00:25,01:03:51,01:04:34,01:05:00,202.0,206.0,316.0,312.0,HARD,,True,01:03:13,Ferrari,LEC,1,True,2021-06-06 12:33:13.158
