,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:21:18,33,,1,1,,,,,,,,,,,,192.0,,,,,Red Bull,VER,1,False,
1,00:24:04,33,,2,1,00:21:18,,,00:01:24,00:00:45,,00:23:19,00:24:04,135.0,132.0,293.0,,SOFT,2.0,True,00:21:18,Red Bull,VER,1,False,2021-03-27 15:06:18.819
2,00:25:35,33,00:01:30,3,1,,,00:00:28,00:00:38,00:00:22,00:24:33,00:25:12,00:25:35,244.0,269.0,290.0,313.0,SOFT,3.0,True,00:24:04,Red Bull,VER,1,True,2021-03-27 15:09:05.046
3,00:27:25,33,00:01:50,4,2,,00:27:23,00:00:34,00:00:43,00:00:32,00:26:09,00:26:53,00:27:25,218.0,216.0,,215.0,SOFT,1.0,True,00:25:35,Red Bull,VER,1,False,2021-03-27 15:10:35.545
4,00:44:22,33,,5,2,00:42:21,,,00:00:54,00:00:28,,00:43:53,00:44:22,161.0,195.0,288.0,151.0,MEDIUM,2.0,True,00:27:25,Red Bull,VER,2,False,2021-03-27 15:12:25.905
5,00:45:52,33,00:01:30,6,2,,,00:00:28,00:00:38,00:00:22,00:44:51,00:45:30,00:45:52,245.0,270.0,287.0,308.0,MEDIUM,3.0,True,00:44:22,Red Bull,VER,1,True,2021-03-27 15:29:22.746
6,00:47:48,33,00:01:55,7,3,,00:47:46,00:00:36,00:00:48,00:00:30,00:46:29,00:47:18,00:47:48,203.0,202.0,,215.0,MEDIUM,1.0,True,00:45:52,Red Bull,VER,1,False,2021-03-27 15:30:53.064
7,00:54:02,33,,8,3,00:51:22,,,00:01:16,00:00:39,,00:53:23,00:54:02,110.0,88.0,289.0,116.0,SOFT,,True,00:47:48,Red Bull,VER,1,False,2021-03-27 15:32:48.739
8,00:55:34,33,00:01:31,9,3,,,00:00:28,00:00:38,00:00:24,00:54:31,00:55:09,00:55:34,244.0,269.0,136.0,311.0,SOFT,,True,00:54:02,Red Bull,VER,1,True,2021-03-27 15:39:03.292
9,00:57:30,33,00:01:56,10,4,,00:57:28,00:00:37,00:00:46,00:00:32,00:56:12,00:56:58,00:57:30,212.0,195.0,,180.0,SOFT,,True,00:55:34,Red Bull,VER,1,False,2021-03-27 15:40:35.112
10,01:06:19,33,,11,4,01:04:02,,,00:01:03,00:00:35,,01:05:44,01:06:19,118.0,166.0,289.0,,SOFT,2.0,True,00:57:30,Red Bull,VER,1,False,2021-03-27 15:42:31.162
11,01:07:49,33,00:01:29,12,4,,,00:00:28,00:00:38,00:00:22,01:06:48,01:07:26,01:07:49,244.0,270.0,288.0,310.0,SOFT,3.0,True,01:06:19,Red Bull,VER,1,True,2021-03-27 15:51:19.978
12,01:09:33,33,00:01:44,13,5,,01:09:31,00:00:33,00:00:43,00:00:27,01:08:22,01:09:05,01:09:33,216.0,240.0,,220.0,SOFT,1.0,True,01:07:49,Red Bull,VER,1,False,2021-03-27 15:52:49.504
13,01:14:07,33,,14,5,01:11:56,,,00:00:54,00:00:39,,01:13:27,01:14:07,173.0,160.0,291.0,123.0,SOFT,2.0,True,01:09:33,Red Bull,VER,1,False,2021-03-27 15:54:34.057
14,01:15:36,33,00:01:28,15,5,,,00:00:28,00:00:38,00:00:22,01:14:35,01:15:13,01:15:36,246.0,270.0,284.0,311.0,SOFT,3.0,True,01:14:07,Red Bull,VER,1,True,2021-03-27 15:59:07.466
15,01:17:38,33,00:02:02,16,5,,01:17:32,00:00:36,00:00:47,00:00:37,01:16:12,01:17:00,01:17:38,158.0,186.0,,213.0,SOFT,4.0,True,01:15:36,Red Bull,VER,1,False,2021-03-27 16:00:36.463
16,00:23:18,44,,1,1,00:20:46,,,00:01:08,00:00:41,,00:22:36,00:23:18,140.0,132.0,289.0,124.0,SOFT,,True,,Mercedes,HAM,1,False,
17,00:24:48,44,00:01:30,2,1,,,00:00:28,00:00:39,00:00:22,00:23:46,00:24:26,00:24:48,245.0,267.0,289.0,309.0,SOFT,,True,00:23:18,Mercedes,HAM,1,True,2021-03-27 15:08:18.565
18,00:26:37,44,00:01:48,3,2,,00:26:35,00:00:34,00:00:45,00:00:28,00:25:23,00:26:08,00:26:37,212.0,233.0,,259.0,SOFT,,True,00:24:48,Mercedes,HAM,1,False,2021-03-27 15:09:49.182
19,00:32:40,44,,4,2,00:29:56,,,00:01:13,00:00:46,,00:31:53,00:32:40,132.0,120.0,289.0,113.0,SOFT,5.0,False,00:26:37,Mercedes,HAM,1,False,2021-03-27 15:11:37.560
20,00:34:12,44,00:01:31,5,2,,,00:00:28,00:00:39,00:00:23,00:33:09,00:33:48,00:34:12,243.0,267.0,268.0,314.0,SOFT,6.0,False,00:32:40,Mercedes,HAM,2,True,2021-03-27 15:17:40.652
21,00:35:53,44,00:01:40,6,3,,00:35:51,00:00:31,00:00:43,00:00:25,00:34:44,00:35:27,00:35:53,193.0,253.0,,287.0,SOFT,4.0,False,00:34:12,Mercedes,HAM,1,False,2021-03-27 15:19:12.640
22,00:44:29,44,,7,3,00:42:19,,,00:00:54,00:00:36,,00:43:53,00:44:29,160.0,194.0,290.0,135.0,MEDIUM,2.0,True,00:35:53,Mercedes,HAM,1,False,2021-03-27 15:20:53.481
23,00:45:59,44,00:01:30,8,3,,,00:00:28,00:00:38,00:00:22,00:44:58,00:45:37,00:45:59,243.0,269.0,291.0,314.0,MEDIUM,3.0,True,00:44:29,Mercedes,HAM,1,True,2021-03-27 15:29:29.736
24,00:47:55,44,00:01:56,9,4,,00:47:53,00:00:35,00:00:51,00:00:29,00:46:34,00:47:26,00:47:55,176.0,200.0,,288.0,MEDIUM,1.0,True,00:45:59,Mercedes,HAM,1,False,2021-03-27 15:30:59.821
25,00:53:22,44,,10,4,00:51:08,,,00:00:56,00:00:38,,00:52:44,00:53:23,150.0,164.0,288.0,156.0,MEDIUM,2.0,True,00:47:55,Mercedes,HAM,1,False,2021-03-27 15:32:56.144
26,00:54:53,44,00:01:30,11,4,,,00:00:28,00:00:38,00:00:22,00:53:51,00:54:30,00:54:53,244.0,269.0,289.0,313.0,MEDIUM,3.0,True,00:53:22,Mercedes,HAM,1,True,2021-03-27 15:38:23.375
27,00:56:39,44,00:01:46,12,5,,00:56:37,00:00:32,00:00:45,00:00:28,00:55:25,00:56:11,00:56:39,223.0,231.0,,278.0,MEDIUM,1.0,True,00:54:53,Mercedes,HAM,1,False,2021-03-27 15:39:53.499
28,01:06:06,44,,13,5,01:03:43,,,00:00:58,00:00:40,,01:05:25,01:06:06,151.0,131.0,290.0,125.0,SOFT,2.0,True,00:56:39,Mercedes,HAM,1,False,2021-03-27 15:41:39.699
29,01:07:36,44,00:01:29,14,5,,,00:00:28,00:00:38,00:00:22,01:06:35,01:07:13,01:07:36,244.0,267.0,291.0,312.0,SOFT,3.0,True,01:06:06,Mercedes,HAM,1,True,2021-03-27 15:51:07.080
30,01:09:22,44,00:01:46,15,6,,01:09:20,00:00:33,00:00:44,00:00:28,01:08:09,01:08:54,01:09:22,218.0,238.0,,278.0,SOFT,1.0,True,01:07:36,Mercedes,HAM,1,False,2021-03-27 15:52:36.629
31,01:13:56,44,,16,6,01:11:45,,,00:00:58,00:00:34,,01:13:22,01:13:56,170.0,172.0,291.0,144.0,SOFT,2.0,True,01:09:22,Mercedes,HAM,1,False,2021-03-27 15:54:22.759
32,01:15:25,44,00:01:29,17,6,,,00:00:28,00:00:38,00:00:22,01:14:24,01:15:03,01:15:25,244.0,267.0,290.0,311.0,SOFT,3.0,True,01:13:56,Mercedes,HAM,1,True,2021-03-27 15:58:56.914
33,01:17:28,44,00:02:02,18,6,,01:17:21,00:00:38,00:00:46,00:00:37,01:16:04,01:16:51,01:17:28,159.0,196.0,,199.0,SOFT,4.0,True,01:15:25,Mercedes,HAM,1,False,2021-03-27 16:00:26.299
34,00:24:12,10,,1,1,00:21:38,,,00:01:03,00:00:52,,00:23:20,00:24:13,123.0,138.0,294.0,150.0,SOFT,1.0,True,,AlphaTauri,GAS,1,False,
35,00:25:43,10,00:01:30,2,1,,,00:00:28,00:00:39,00:00:22,00:24:41,00:25:21,00:25:43,245.0,272.0,290.0,317.0,SOFT,2.0,True,00:24:12,AlphaTauri,GAS,1,True,2021-03-27 15:09:13.370
36,00:27:38,10,00:01:54,3,2,,00:27:37,00:00:36,00:00:49,00:00:29,00:26:19,00:27:09,00:27:38,166.0,204.0,,286.0,SOFT,1.0,True,00:25:43,AlphaTauri,GAS,1,False,2021-03-27 15:10:44.218
37,00:45:28,10,,4,2,00:43:29,,,00:00:54,00:00:27,,00:45:01,00:45:28,173.0,217.0,293.0,151.0,MEDIUM,2.0,True,00:27:38,AlphaTauri,GAS,2,False,2021-03-27 15:12:39.159
38,00:46:59,10,00:01:31,5,2,,,00:00:28,00:00:39,00:00:22,00:45:57,00:46:36,00:46:59,244.0,274.0,291.0,317.0,MEDIUM,3.0,True,00:45:28,AlphaTauri,GAS,1,True,2021-03-27 15:30:29.130
39,00:48:54,10,00:01:54,6,3,,00:48:52,00:00:35,00:00:49,00:00:29,00:47:35,00:48:24,00:48:54,195.0,212.0,,297.0,MEDIUM,1.0,True,00:46:59,AlphaTauri,GAS,1,False,2021-03-27 15:32:00.273
40,00:52:53,10,,7,3,00:50:55,,,00:00:54,00:00:27,,00:52:25,00:52:53,157.0,173.0,290.0,172.0,MEDIUM,2.0,True,00:48:54,AlphaTauri,GAS,1,False,2021-03-27 15:33:54.518
41,00:54:24,10,00:01:30,8,3,,,00:00:28,00:00:39,00:00:22,00:53:22,00:54:01,00:54:24,245.0,273.0,291.0,312.0,MEDIUM,3.0,True,00:52:53,AlphaTauri,GAS,1,True,2021-03-27 15:37:53.939
42,00:56:25,10,00:02:01,9,4,,00:56:23,00:00:43,00:00:47,00:00:30,00:55:07,00:55:55,00:56:25,212.0,179.0,,270.0,MEDIUM,1.0,True,00:54:24,AlphaTauri,GAS,1,False,2021-03-27 15:39:24.452
43,01:05:43,10,,10,4,01:03:35,,,00:00:54,00:00:33,,01:05:09,01:05:43,123.0,173.0,290.0,142.0,SOFT,2.0,True,00:56:25,AlphaTauri,GAS,1,False,2021-03-27 15:41:25.771
44,01:07:13,10,00:01:30,11,4,,,00:00:28,00:00:38,00:00:22,01:06:12,01:06:51,01:07:13,246.0,270.0,291.0,312.0,SOFT,3.0,True,01:05:43,AlphaTauri,GAS,1,True,2021-03-27 15:50:44.029
45,01:09:02,10,00:01:49,12,5,,01:09:00,00:00:32,00:00:46,00:00:30,01:07:46,01:08:32,01:09:02,216.0,212.0,,285.0,SOFT,1.0,True,01:07:13,AlphaTauri,GAS,1,False,2021-03-27 15:52:14.043
46,01:14:01,10,,13,5,01:11:48,,,00:00:55,00:00:36,,01:13:24,01:14:01,144.0,137.0,293.0,98.0,SOFT,2.0,True,01:09:02,AlphaTauri,GAS,1,False,2021-03-27 15:54:03.078
47,01:15:31,10,00:01:29,14,5,,,00:00:28,00:00:38,00:00:22,01:14:30,01:15:09,01:15:31,247.0,273.0,290.0,314.0,SOFT,3.0,True,01:14:01,AlphaTauri,GAS,1,True,2021-03-27 15:59:02.277
48,00:23:07,77,,1,1,00:20:40,,,00:01:02,00:00:45,,00:22:22,00:23:07,141.0,149.0,289.0,166.0,SOFT,1.0,True,,Mercedes,BOT,1,False,
49,00:24:38,77,00:01:31,2,1,,,00:00:28,00:00:39,00:00:22,00:23:36,00:24:15,00:24:38,243.0,264.0,291.0,310.0,SOFT,2.0,True,00:23:07,Mercedes,BOT,1,True,2021-03-27 15:08:07.982
50,00:26:34,77,00:01:55,3,2,,00:26:32,00:00:34,00:00:46,00:00:34,00:25:13,00:26:00,00:26:34,199.0,221.0,,286.0,SOFT,1.0,True,00:24:38,Mercedes,BOT,1,False,2021-03-27 15:09:39.182
51,00:32:58,77,,4,2,00:30:14,,,00:01:08,00:00:55,,00:32:02,00:32:58,163.0,126.0,290.0,135.0,SOFT,2.0,True,00:26:34,Mercedes,BOT,1,False,2021-03-27 15:11:35.070
52,00:34:55,77,00:01:57,5,3,,00:34:53,00:00:31,00:00:55,00:00:29,00:33:29,00:34:25,00:34:55,159.0,221.0,,313.0,SOFT,1.0,True,00:32:58,Mercedes,BOT,2,False,2021-03-27 15:17:58.445
53,00:44:17,77,,6,3,00:42:16,,,00:00:56,00:00:27,,00:43:49,00:44:17,172.0,172.0,287.0,165.0,MEDIUM,2.0,True,00:34:55,Mercedes,BOT,1,False,2021-03-27 15:19:55.901
54,00:45:47,77,00:01:30,7,3,,,00:00:28,00:00:39,00:00:22,00:44:45,00:45:25,00:45:47,245.0,267.0,289.0,309.0,MEDIUM,3.0,True,00:44:17,Mercedes,BOT,1,True,2021-03-27 15:29:17.476
55,00:47:42,77,00:01:54,8,4,,00:47:40,00:00:35,00:00:49,00:00:29,00:46:23,00:47:12,00:47:42,188.0,193.0,,266.0,MEDIUM,1.0,True,00:45:47,Mercedes,BOT,1,False,2021-03-27 15:30:48.035
56,00:53:02,77,,9,4,00:50:59,,,00:00:53,00:00:30,,00:52:31,00:53:02,199.0,210.0,287.0,126.0,MEDIUM,2.0,True,00:47:42,Mercedes,BOT,1,False,2021-03-27 15:32:42.684
57,00:54:32,77,00:01:30,10,4,,,00:00:28,00:00:38,00:00:22,00:53:31,00:54:10,00:54:32,245.0,267.0,289.0,311.0,MEDIUM,3.0,True,00:53:02,Mercedes,BOT,1,True,2021-03-27 15:38:02.795
58,00:56:30,77,00:01:58,11,5,,00:56:28,00:00:34,00:00:50,00:00:32,00:55:07,00:55:58,00:56:30,203.0,192.0,,260.0,MEDIUM,1.0,True,00:54:32,Mercedes,BOT,1,False,2021-03-27 15:39:32.981
59,01:05:58,77,,12,5,01:03:40,,,00:01:01,00:00:32,,01:05:25,01:05:58,135.0,152.0,288.0,130.0,SOFT,4.0,False,00:56:30,Mercedes,BOT,1,False,2021-03-27 15:41:31.115
60,01:07:28,77,00:01:30,13,5,,,00:00:28,00:00:38,00:00:22,01:06:26,01:07:05,01:07:28,244.0,270.0,291.0,312.0,SOFT,5.0,False,01:05:58,Mercedes,BOT,1,True,2021-03-27 15:50:58.616
61,01:09:19,77,00:01:51,14,6,,01:09:17,00:00:35,00:00:46,00:00:29,01:08:03,01:08:49,01:09:19,177.0,241.0,,274.0,SOFT,3.0,False,01:07:28,Mercedes,BOT,1,False,2021-03-27 15:52:28.832
62,01:13:50,77,,15,6,01:11:43,,,00:01:00,00:00:28,,01:13:21,01:13:50,154.0,179.0,288.0,159.0,SOFT,2.0,True,01:09:19,Mercedes,BOT,1,False,2021-03-27 15:54:19.949
63,01:15:19,77,00:01:29,16,6,,,00:00:28,00:00:38,00:00:22,01:14:18,01:14:57,01:15:19,245.0,271.0,284.0,308.0,SOFT,3.0,True,01:13:50,Mercedes,BOT,1,True,2021-03-27 15:58:50.450
64,01:17:22,77,00:02:02,17,6,,01:17:19,00:00:37,00:00:52,00:00:33,01:15:56,01:16:48,01:17:22,185.0,177.0,,190.0,SOFT,4.0,True,01:15:19,Mercedes,BOT,1,False,2021-03-27 16:00:20.036
65,00:23:34,11,,1,1,00:20:59,,,00:01:11,00:00:46,,00:22:47,00:23:34,141.0,70.0,286.0,126.0,SOFT,1.0,True,,Red Bull,PER,1,False,
66,00:25:05,11,00:01:31,2,1,,,00:00:29,00:00:39,00:00:22,00:24:03,00:24:42,00:25:05,242.0,269.0,290.0,311.0,SOFT,2.0,True,00:23:34,Red Bull,PER,1,True,2021-03-27 15:08:34.451
67,00:27:03,11,00:01:58,3,2,,00:27:01,00:00:38,00:00:51,00:00:28,00:25:43,00:26:34,00:27:03,168.0,230.0,,239.0,SOFT,1.0,True,00:25:05,Red Bull,PER,1,False,2021-03-27 15:10:05.616
68,00:33:00,11,,4,2,00:30:26,,,00:01:03,00:00:47,,00:32:13,00:33:01,137.0,173.0,293.0,147.0,SOFT,2.0,True,00:27:03,Red Bull,PER,1,False,2021-03-27 15:12:04.019
69,00:35:03,11,00:02:02,5,3,,00:35:01,00:00:41,00:00:49,00:00:31,00:33:41,00:34:31,00:35:03,201.0,208.0,,201.0,SOFT,1.0,True,00:33:00,Red Bull,PER,2,False,2021-03-27 15:18:01.238
70,00:45:08,11,,6,3,00:42:31,,,00:01:15,00:00:35,,00:44:33,00:45:08,119.0,121.0,289.0,141.0,MEDIUM,2.0,True,00:35:03,Red Bull,PER,1,False,2021-03-27 15:20:03.727
71,00:46:39,11,00:01:30,7,3,,,00:00:29,00:00:39,00:00:22,00:45:38,00:46:17,00:46:39,239.0,270.0,287.0,311.0,MEDIUM,3.0,True,00:45:08,Red Bull,PER,1,True,2021-03-27 15:30:09.238
72,00:48:34,11,00:01:55,8,4,,00:48:32,00:00:38,00:00:47,00:00:30,00:47:17,00:48:04,00:48:34,201.0,216.0,,208.0,MEDIUM,1.0,True,00:46:39,Red Bull,PER,1,False,2021-03-27 15:31:39.988
73,00:52:42,11,,9,4,00:50:38,,,00:00:57,00:00:27,,00:52:15,00:52:42,152.0,177.0,286.0,144.0,MEDIUM,,True,00:48:34,Red Bull,PER,1,False,2021-03-27 15:33:35.267
74,00:54:13,11,00:01:30,10,4,,,00:00:28,00:00:38,00:00:22,00:53:11,00:53:50,00:54:13,244.0,270.0,289.0,306.0,MEDIUM,,True,00:52:42,Red Bull,PER,1,True,2021-03-27 15:37:43.098
