,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:39:08,33,,1.0,1.0,00:00:04,,,00:00:53,00:00:32,,00:38:35,00:39:08,233.0,90.0,222.0,250.0,MEDIUM,4.0,False,00:37:09,Red Bull,VER,24,False,2021-03-28 15:07:09.980
1,00:41:30,33,00:02:22,2.0,1.0,,,00:00:45,00:01:01,00:00:34,00:39:54,00:40:56,00:41:30,186.0,198.0,222.0,238.0,MEDIUM,5.0,False,00:39:08,Red Bull,VER,4,False,2021-03-28 15:09:08.429
2,00:44:08,33,,3.0,1.0,,,00:00:44,00:01:02,00:00:51,00:42:14,00:43:17,00:44:08,142.0,109.0,168.0,138.0,MEDIUM,6.0,False,00:41:30,Red Bull,VER,4,False,2021-03-28 15:11:30.835
3,00:45:53,33,00:01:44,4.0,1.0,,,00:00:32,00:00:41,00:00:30,00:44:40,00:45:22,00:45:53,234.0,254.0,211.0,280.0,MEDIUM,7.0,False,00:44:08,Red Bull,VER,26,False,2021-03-28 15:14:08.814
4,00:47:37,33,00:01:44,5.0,1.0,,,00:00:39,00:00:41,00:00:23,00:46:32,00:47:13,00:47:37,198.0,257.0,272.0,210.0,MEDIUM,8.0,False,00:45:53,Red Bull,VER,67,False,2021-03-28 15:15:53.157
5,00:49:13,33,00:01:35,6.0,1.0,,,00:00:30,00:00:41,00:00:23,00:48:08,00:48:49,00:49:13,232.0,259.0,272.0,285.0,MEDIUM,9.0,False,00:47:37,Red Bull,VER,1,True,2021-03-28 15:17:37.786
6,00:50:49,33,00:01:35,7.0,1.0,,,00:00:30,00:00:41,00:00:23,00:49:44,00:50:25,00:50:49,230.0,253.0,273.0,281.0,MEDIUM,10.0,False,00:49:13,Red Bull,VER,1,True,2021-03-28 15:19:13.768
7,00:52:25,33,00:01:36,8.0,1.0,,,00:00:31,00:00:41,00:00:23,00:51:20,00:52:01,00:52:25,228.0,255.0,272.0,276.0,MEDIUM,11.0,False,00:50:49,Red Bull,VER,1,True,2021-03-28 15:20:49.670
8,00:54:01,33,00:01:36,9.0,1.0,,,00:00:30,00:00:41,00:00:23,00:52:56,00:53:37,00:54:01,231.0,255.0,273.0,279.0,MEDIUM,12.0,False,00:52:25,Red Bull,VER,1,True,2021-03-28 15:22:25.702
9,00:55:37,33,00:01:36,10.0,1.0,,,00:00:30,00:00:41,00:00:23,00:54:32,00:55:14,00:55:37,229.0,253.0,273.0,278.0,MEDIUM,13.0,False,00:54:01,Red Bull,VER,1,True,2021-03-28 15:24:01.714
10,00:57:14,33,00:01:36,11.0,1.0,,,00:00:30,00:00:41,00:00:23,00:56:08,00:56:50,00:57:14,231.0,250.0,272.0,280.0,MEDIUM,14.0,False,00:55:37,Red Bull,VER,1,True,2021-03-28 15:25:37.889
