,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:31:36,33,,1,1,00:28:37,,,00:01:13,00:01:09,,00:30:26,00:31:36,202.0,167.0,205.0,211.0,WET,1.0,True,,Red Bull,VER,1,False,
1,00:33:44,33,00:02:07,2,1,,,00:00:34,00:00:59,00:00:33,00:32:11,00:33:10,00:33:44,292.0,156.0,203.0,270.0,WET,2.0,True,00:31:36,Red Bull,VER,1,True,2021-08-28 13:16:38.660
2,00:35:57,33,00:02:13,3,2,,00:35:53,00:00:34,00:00:59,00:00:39,00:34:18,00:35:18,00:35:57,295.0,164.0,,273.0,WET,1.0,True,00:33:44,Red Bull,VER,1,False,2021-08-28 13:18:46.234
3,00:38:41,33,,4,2,00:36:19,,00:00:51,00:01:00,00:00:51,00:36:49,00:37:49,00:38:41,273.0,177.0,214.0,255.0,INTERMEDIATE,2.0,True,00:35:57,Red Bull,VER,1,False,2021-08-28 13:20:59.678
4,00:40:40,33,00:01:59,5,2,,,00:00:33,00:00:54,00:00:31,00:39:14,00:40:09,00:40:40,309.0,179.0,214.0,279.0,INTERMEDIATE,3.0,True,00:38:41,Red Bull,VER,1,True,2021-08-28 13:23:43.325
5,00:43:12,33,,6,2,,,00:00:36,00:01:05,00:00:49,00:41:17,00:42:22,00:43:13,262.0,175.0,215.0,247.0,INTERMEDIATE,4.0,True,00:40:40,Red Bull,VER,1,False,2021-08-28 13:25:42.931
6,00:45:11,33,00:01:58,7,2,,,00:00:33,00:00:54,00:00:31,00:43:45,00:44:39,00:45:11,309.0,167.0,214.0,291.0,INTERMEDIATE,5.0,True,00:43:12,Red Bull,VER,1,True,2021-08-28 13:28:14.727
7,00:47:32,33,00:02:20,8,3,,00:47:28,00:00:38,00:01:00,00:00:42,00:45:49,00:46:49,00:47:32,257.0,157.0,,230.0,INTERMEDIATE,1.0,True,00:45:11,Red Bull,VER,1,False,2021-08-28 13:30:13.444
8,00:55:50,33,,9,3,00:53:17,,,00:01:00,00:00:55,,00:54:54,00:55:50,264.0,117.0,219.0,263.0,INTERMEDIATE,2.0,True,00:47:32,Red Bull,VER,1,False,2021-08-28 13:32:34.107
9,00:57:47,33,00:01:57,10,3,,,00:00:32,00:00:53,00:00:30,00:56:22,00:57:16,00:57:47,309.0,179.0,215.0,299.0,INTERMEDIATE,3.0,True,00:55:50,Red Bull,VER,1,True,2021-08-28 13:40:52.084
10,01:00:31,33,,11,3,,,00:00:43,00:01:13,00:00:47,00:58:31,00:59:44,01:00:31,218.0,129.0,215.0,178.0,INTERMEDIATE,4.0,True,00:57:47,Red Bull,VER,1,False,2021-08-28 13:42:49.455
11,01:02:28,33,00:01:56,12,3,,,00:00:32,00:00:52,00:00:31,01:01:04,01:01:57,01:02:28,310.0,182.0,214.0,301.0,INTERMEDIATE,5.0,True,01:00:31,Red Bull,VER,1,True,2021-08-28 13:45:33.797
12,01:05:06,33,,13,3,,,00:00:41,00:01:14,00:00:43,01:03:09,01:04:23,01:05:06,206.0,159.0,219.0,205.0,INTERMEDIATE,6.0,True,01:02:28,Red Bull,VER,1,False,2021-08-28 13:47:30.356
13,01:07:14,33,00:02:07,14,4,,01:07:10,00:00:32,00:00:54,00:00:40,01:05:39,01:06:33,01:07:14,310.0,150.0,,300.0,INTERMEDIATE,1.0,True,01:05:06,Red Bull,VER,1,False,2021-08-28 13:50:08.894
14,02:01:18,33,,15,5,01:16:51,01:19:26,,,,,,,227.0,,,214.0,WET,1.0,True,01:07:14,Red Bull,VER,25,False,2021-08-28 13:52:16.037
15,02:03:34,33,,16,5,02:01:18,,,00:01:00,00:00:42,,02:02:52,02:03:34,262.0,98.0,209.0,225.0,INTERMEDIATE,2.0,True,02:01:18,Red Bull,VER,1,False,2021-08-28 14:46:20.669
16,02:05:37,33,00:02:02,17,5,,,00:00:33,00:00:56,00:00:31,02:04:08,02:05:05,02:05:37,300.0,174.0,213.0,276.0,INTERMEDIATE,3.0,True,02:03:34,Red Bull,VER,1,True,2021-08-28 14:48:36.818
17,02:08:18,33,,18,5,,,00:00:41,00:01:11,00:00:47,02:06:19,02:07:30,02:08:18,221.0,171.0,212.0,190.0,INTERMEDIATE,4.0,True,02:05:37,Red Bull,VER,1,False,2021-08-28 14:50:39.343
18,02:10:18,33,00:01:59,19,5,,,00:00:33,00:00:54,00:00:31,02:08:52,02:09:47,02:10:18,305.0,169.0,214.0,283.0,INTERMEDIATE,5.0,True,02:08:18,Red Bull,VER,1,True,2021-08-28 14:53:20.775
19,00:30:59,11,,1,1,00:28:18,,,00:01:06,00:00:59,,00:29:59,00:30:59,240.0,157.0,201.0,229.0,WET,1.0,True,,Red Bull,PER,2,False,
20,00:33:09,11,00:02:10,2,1,,,00:00:35,00:01:00,00:00:34,00:31:34,00:32:35,00:33:09,287.0,167.0,206.0,262.0,WET,2.0,True,00:30:59,Red Bull,PER,2,True,2021-08-28 13:16:01.422
21,00:35:27,11,00:02:17,3,2,,00:35:23,00:00:34,00:01:01,00:00:40,00:33:44,00:34:46,00:35:27,278.0,167.0,,264.0,WET,1.0,True,00:33:09,Red Bull,PER,1,False,2021-08-28 13:18:11.557
22,00:38:07,11,,4,2,00:35:49,,00:00:56,00:01:01,00:00:42,00:36:23,00:37:25,00:38:07,220.0,170.0,210.0,223.0,INTERMEDIATE,2.0,True,00:35:27,Red Bull,PER,1,False,2021-08-28 13:20:29.041
23,00:40:09,11,00:02:02,5,2,,,00:00:33,00:00:55,00:00:32,00:38:41,00:39:36,00:40:09,304.0,181.0,214.0,275.0,INTERMEDIATE,3.0,True,00:38:07,Red Bull,PER,1,True,2021-08-28 13:23:09.233
