,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2021-08-29 16:17:00.242,04:15:59,,0.16750000000000004,,3975,0,0,0,0,1,interpolation,-3.6683212451118315e-19,-1.7758601213606053e-23,OnTrack,0,0,0
3,2021-08-29 16:17:00.305,04:15:59,,0.16750000000000004,00:00:00,3969,0,0,0,0,1,car,0.0,0.0,OnTrack,0,0,0
4,2021-08-29 16:17:00.339,04:15:59,,0.16750000000000004,00:00:00,3986,0,0,0,0,1,pos,3.0241939032670563e-19,1.4640335437443708e-23,OnTrack,0,0,0
5,2021-08-29 16:17:00.545,04:15:59,,0.16750000000000004,00:00:00,4004,0,0,0,0,1,car,0.0,0.0,OnTrack,0,0,0
6,2021-08-29 16:17:00.559,04:15:59,,0.16750000000000004,00:00:00,3985,0,0,0,0,1,pos,-5.899093970770571e-19,-2.855792891315023e-23,OnTrack,0,0,0
7,2021-08-29 16:17:00.779,04:15:59,,0.16750000000000004,00:00:00,3966,0,0,0,0,1,pos,-1.3076814932844904e-18,-6.330578104247837e-23,OnTrack,0,0,0
8,2021-08-29 16:17:00.785,04:15:59,,0.16750000000000004,00:00:00,3947,0,0,0,0,1,car,0.0,0.0,OnTrack,0,0,0
9,2021-08-29 16:17:00.999,04:15:59,,0.16750000000000004,00:00:00,3944,0,0,0,0,1,pos,2.898852233343175e-17,1.4033547595568705e-21,OnTrack,0,0,0
10,2021-08-29 16:17:01.025,04:15:59,,0.16750000000000004,00:00:00,3942,0,0,0,0,1,car,0.0,0.0,OnTrack,0,0,0
11,2021-08-29 16:17:01.219,04:16:00,,0.16750000000000004,00:00:00,3921,0,0,0,0,1,pos,-2.57321523994066e-16,-1.2457116001978371e-20,OnTrack,0,0,0
12,2021-08-29 16:17:01.265,04:16:00,,0.16750000000000004,00:00:01,3900,0,0,0,0,1,car,0.0,0.0,OnTrack,0,0,0
