,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,04:19:26,33,,1,2,04:16:05,,,00:01:36,00:00:53,,04:18:32,04:19:26,140.0,132.0,159.0,121.0,WET,2.0,False,04:15:59,Red Bull,VER,1,False,2021-08-29 16:17:00.242
1,04:22:44,33,,2,2,,,00:00:54,00:01:32,00:00:51,04:20:20,04:21:53,04:22:44,178.0,116.0,157.0,129.0,WET,3.0,False,04:19:26,Red Bull,VER,1,False,2021-08-29 16:20:27.604
2,04:26:08,33,,3,2,,04:26:04,00:00:52,00:01:32,00:00:59,04:23:37,04:25:09,04:26:09,166.0,110.0,,125.0,WET,4.0,False,04:22:44,Red Bull,VER,1,False,2021-08-29 16:23:45.953
3,04:19:28,63,,1,2,04:16:08,,,00:01:36,00:00:54,,04:18:33,04:19:28,150.0,119.0,162.0,119.0,WET,1.0,False,04:15:59,Williams,RUS,1,False,2021-08-29 16:17:00.242
4,04:22:47,63,,2,2,,,00:00:54,00:01:32,00:00:51,04:20:23,04:21:55,04:22:47,197.0,120.0,160.0,142.0,WET,2.0,False,04:19:28,Williams,RUS,1,False,2021-08-29 16:20:29.621
5,04:26:10,63,,3,2,,04:26:06,00:00:51,00:01:32,00:00:58,04:23:39,04:25:11,04:26:10,171.0,115.0,,146.0,WET,3.0,False,04:22:47,Williams,RUS,1,False,2021-08-29 16:23:48.340
6,04:19:29,44,,1,2,04:16:11,,,00:01:36,00:00:53,,04:18:35,04:19:29,144.0,104.0,154.0,120.0,WET,2.0,False,04:15:59,Mercedes,HAM,1,False,2021-08-29 16:17:00.242
7,04:22:48,44,,2,2,,,00:00:55,00:01:32,00:00:51,04:20:24,04:21:57,04:22:48,158.0,94.0,164.0,159.0,WET,3.0,False,04:19:29,Mercedes,HAM,1,False,2021-08-29 16:20:30.177
8,04:26:13,44,,3,2,,04:26:08,00:00:53,00:01:31,00:01:00,04:23:41,04:25:12,04:26:13,167.0,116.0,,114.0,WET,4.0,False,04:22:48,Mercedes,HAM,1,False,2021-08-29 16:23:49.318
9,04:19:30,3,,1,2,04:16:14,,,00:01:36,00:00:54,,04:18:36,04:19:31,132.0,125.0,136.0,150.0,WET,1.0,True,04:15:59,McLaren,RIC,1,False,2021-08-29 16:17:00.242
