,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:17:08,3,,1,1,00:14:45,,,00:00:52,00:00:47,,00:16:20,00:17:08,260.0,218.0,248.0,155.0,SOFT,1.0,True,,McLaren,RIC,1,False,
1,00:18:37,3,00:01:28,2,1,,,00:00:28,00:00:36,00:00:24,00:17:36,00:18:12,00:18:37,307.0,267.0,249.0,318.0,SOFT,2.0,True,00:17:08,McLaren,RIC,1,True,2021-07-16 17:02:54.952
2,00:21:06,3,00:02:29,3,1,,,00:00:43,00:01:06,00:00:40,00:19:20,00:20:26,00:21:06,241.0,94.0,251.0,271.0,SOFT,3.0,True,00:18:37,McLaren,RIC,1,True,2021-07-16 17:04:23.701
3,00:22:35,3,00:01:28,4,1,,,00:00:28,00:00:36,00:00:24,00:21:35,00:22:11,00:22:35,307.0,267.0,250.0,318.0,SOFT,4.0,True,00:21:06,McLaren,RIC,1,True,2021-07-16 17:06:53.582
4,00:24:19,3,00:01:43,5,2,,00:24:13,00:00:31,00:00:44,00:00:27,00:23:06,00:23:51,00:24:19,279.0,231.0,,298.0,SOFT,1.0,True,00:22:35,McLaren,RIC,1,False,2021-07-16 17:08:22.073
5,00:28:16,3,,6,2,00:26:20,,,00:00:50,00:00:29,,00:27:46,00:28:16,278.0,205.0,253.0,298.0,SOFT,2.0,True,00:24:19,McLaren,RIC,1,False,2021-07-16 17:10:05.969
6,00:29:43,3,00:01:27,7,2,,,00:00:28,00:00:35,00:00:24,00:28:44,00:29:19,00:29:43,310.0,271.0,252.0,319.0,SOFT,3.0,True,00:28:16,McLaren,RIC,1,True,2021-07-16 17:14:02.757
7,00:31:59,3,00:02:16,8,2,,,00:00:38,00:00:53,00:00:43,00:30:22,00:31:16,00:31:59,234.0,198.0,251.0,292.0,SOFT,4.0,True,00:29:43,McLaren,RIC,1,True,2021-07-16 17:15:30.372
8,00:33:27,3,00:01:27,9,2,,,00:00:27,00:00:35,00:00:24,00:32:27,00:33:03,00:33:27,313.0,270.0,252.0,326.0,SOFT,5.0,True,00:31:59,McLaren,RIC,1,True,2021-07-16 17:17:46.670
9,00:35:16,3,00:01:49,10,3,,00:35:10,00:00:33,00:00:45,00:00:30,00:34:00,00:34:46,00:35:16,248.0,231.0,,277.0,SOFT,1.0,True,00:33:27,McLaren,RIC,1,False,2021-07-16 17:19:13.993
