,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,01:04:28,44,,1.0,1.0,00:24:42,,,00:00:40,00:00:52,,01:03:35,01:04:28,299.0,160.0,88.0,132.0,MEDIUM,2.0,False,01:02:22,Mercedes,HAM,24,False,2021-07-18 14:03:22.569
1,01:07:06,44,,2.0,1.0,,01:07:00,00:00:43,00:01:10,00:00:43,01:05:12,01:06:22,01:07:06,151.0,112.0,,151.0,MEDIUM,3.0,False,01:04:28,Mercedes,HAM,45,False,2021-07-18 14:05:28.390
2,01:44:15,44,,3.0,2.0,01:41:08,,,00:01:15,00:01:08,,01:43:07,01:44:15,109.0,127.0,64.0,173.0,MEDIUM,1.0,False,01:07:06,Mercedes,HAM,5,False,2021-07-18 14:08:06.592
3,01:46:52,44,,4.0,2.0,,,00:01:33,00:00:37,00:00:25,01:45:49,01:46:27,01:46:53,296.0,255.0,249.0,309.0,MEDIUM,2.0,False,01:44:15,Mercedes,HAM,2,False,2021-07-18 14:45:15.728
4,01:48:25,44,00:01:33,5.0,2.0,,,00:00:29,00:00:38,00:00:25,01:47:22,01:48:00,01:48:25,288.0,254.0,249.0,302.0,MEDIUM,3.0,False,01:46:52,Mercedes,HAM,1,True,2021-07-18 14:47:52.944
5,01:49:59,44,00:01:33,6.0,2.0,,,00:00:29,00:00:38,00:00:25,01:48:55,01:49:33,01:49:59,292.0,254.0,249.0,302.0,MEDIUM,4.0,False,01:48:25,Mercedes,HAM,1,True,2021-07-18 14:49:25.993
6,01:51:31,44,00:01:32,7.0,2.0,,,00:00:29,00:00:37,00:00:25,01:50:28,01:51:06,01:51:31,295.0,255.0,249.0,303.0,MEDIUM,5.0,False,01:49:59,Mercedes,HAM,1,True,2021-07-18 14:50:59.106
7,01:53:04,44,00:01:32,8.0,2.0,,,00:00:29,00:00:37,00:00:25,01:52:01,01:52:39,01:53:04,296.0,255.0,249.0,305.0,MEDIUM,6.0,False,01:51:31,Mercedes,HAM,1,True,2021-07-18 14:52:31.844
8,01:54:37,44,00:01:33,9.0,2.0,,,00:00:29,00:00:37,00:00:25,01:53:34,01:54:12,01:54:37,297.0,258.0,247.0,306.0,MEDIUM,7.0,False,01:53:04,Mercedes,HAM,1,True,2021-07-18 14:54:04.772
9,01:56:11,44,00:01:33,10.0,2.0,,,00:00:29,00:00:38,00:00:25,01:55:07,01:55:45,01:56:11,295.0,257.0,246.0,305.0,MEDIUM,8.0,False,01:54:37,Mercedes,HAM,1,True,2021-07-18 14:55:37.785
10,01:57:44,44,00:01:32,11.0,2.0,,,00:00:29,00:00:37,00:00:25,01:56:40,01:57:18,01:57:44,296.0,255.0,248.0,308.0,MEDIUM,9.0,False,01:56:11,Mercedes,HAM,1,True,2021-07-18 14:57:11.243
11,01:59:17,44,00:01:32,12.0,2.0,,,00:00:29,00:00:37,00:00:25,01:58:13,01:58:51,01:59:17,292.0,256.0,249.0,304.0,MEDIUM,10.0,False,01:57:44,Mercedes,HAM,1,True,2021-07-18 14:58:44.193
12,02:00:50,44,00:01:33,13.0,2.0,,,00:00:29,00:00:37,00:00:25,01:59:46,02:00:24,02:00:50,,256.0,247.0,300.0,MEDIUM,11.0,False,01:59:17,Mercedes,HAM,1,True,2021-07-18 15:00:17.136
13,02:02:23,44,00:01:32,14.0,2.0,,,00:00:29,00:00:37,00:00:25,02:01:19,02:01:57,02:02:23,294.0,256.0,248.0,304.0,MEDIUM,12.0,False,02:00:50,Mercedes,HAM,1,True,2021-07-18 15:01:50.294
14,02:03:55,44,00:01:32,15.0,2.0,,,00:00:29,00:00:37,00:00:25,02:02:52,02:03:30,02:03:55,298.0,258.0,249.0,306.0,MEDIUM,13.0,False,02:02:23,Mercedes,HAM,1,True,2021-07-18 15:03:23.043
15,02:05:28,44,00:01:32,16.0,2.0,,,00:00:29,00:00:37,00:00:25,02:04:25,02:05:02,02:05:28,297.0,260.0,250.0,318.0,MEDIUM,14.0,False,02:03:55,Mercedes,HAM,1,True,2021-07-18 15:04:55.756
16,02:07:00,44,00:01:32,17.0,2.0,,,00:00:29,00:00:37,00:00:25,02:05:57,02:06:34,02:07:00,308.0,259.0,249.0,319.0,MEDIUM,15.0,False,02:05:28,Mercedes,HAM,1,True,2021-07-18 15:06:28.229
