,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:19:56,33,,1,1,00:18:22,,,00:00:35,00:00:27,,00:19:28,00:19:56,262.0,251.0,298.0,304.0,SOFT,1.0,True,,Red Bull,VER,1,False,
1,00:21:06,33,00:01:10,2,1,,,00:00:24,00:00:23,00:00:21,00:20:20,00:20:44,00:21:06,274.0,286.0,301.0,234.0,SOFT,2.0,True,00:19:56,Red Bull,VER,1,True,2021-09-04 13:04:56.299
2,00:22:47,33,00:01:41,3,2,,00:22:46,00:00:37,00:00:32,00:00:30,00:21:44,00:22:16,00:22:47,190.0,235.0,,,SOFT,1.0,True,00:21:06,Red Bull,VER,1,False,2021-09-04 13:06:06.335
3,00:42:00,33,,4,2,00:40:28,,,00:00:36,00:00:24,,00:41:36,00:42:00,211.0,247.0,298.0,304.0,SOFT,2.0,True,00:22:47,Red Bull,VER,1,False,2021-09-04 13:07:47.407
4,00:43:10,33,00:01:09,5,2,,,00:00:24,00:00:23,00:00:21,00:42:25,00:42:48,00:43:10,276.0,287.0,297.0,253.0,SOFT,3.0,True,00:42:00,Red Bull,VER,1,True,2021-09-04 13:27:00.973
5,00:44:49,33,00:01:39,6,3,,00:44:48,00:00:34,00:00:35,00:00:29,00:43:44,00:44:19,00:44:49,147.0,216.0,,,SOFT,1.0,True,00:43:10,Red Bull,VER,1,False,2021-09-04 13:28:10.044
6,01:02:53,33,,7,3,01:01:05,,,00:00:37,00:00:31,,01:02:21,01:02:53,202.0,256.0,299.0,306.0,SOFT,2.0,True,00:44:49,Red Bull,VER,25,False,2021-09-04 13:29:49.833
7,01:23:12,33,,8,4,,01:04:32,00:00:24,,,01:03:17,,,280.0,,,,SOFT,1.0,True,01:02:53,Red Bull,VER,25,False,2021-09-04 13:47:53.019
8,01:24:52,33,,9,4,01:23:12,,,00:00:36,00:00:29,,01:24:23,01:24:52,205.0,258.0,302.0,308.0,SOFT,2.0,True,01:23:12,Red Bull,VER,1,False,2021-09-04 14:08:12.989
9,01:26:01,33,00:01:08,10,4,,,00:00:23,00:00:23,00:00:21,01:25:16,01:25:39,01:26:01,279.0,289.0,306.0,251.0,SOFT,3.0,True,01:24:52,Red Bull,VER,1,True,2021-09-04 14:09:52.192
