,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:30:08,33,,1,2,00:20:56,00:22:41,,,,,,,,,,,SOFT,1.0,True,,Red Bull,VER,1,False,
1,,33,,2,2,00:30:08,,,00:00:29,00:00:34,,00:31:04,00:31:39,216.0,237.0,286.0,116.0,SOFT,2.0,False,00:30:08,Red Bull,VER,1,False,2021-04-17 12:15:08.940
2,00:32:54,33,00:01:15,3,2,,,00:00:24,00:00:25,00:00:25,00:32:03,00:32:28,00:32:54,232.0,260.0,287.0,291.0,SOFT,3.0,False,,Red Bull,VER,1,True,2021-04-17 12:16:39.008
3,00:34:29,33,00:01:35,4,2,,,00:00:31,00:00:34,00:00:29,00:33:25,00:34:00,00:34:29,195.0,225.0,279.0,264.0,SOFT,4.0,False,00:32:54,Red Bull,VER,1,True,2021-04-17 12:17:54.117
4,00:35:44,33,00:01:15,5,2,,,00:00:24,00:00:25,00:00:25,00:34:53,00:35:19,00:35:44,233.0,260.0,283.0,290.0,SOFT,5.0,False,00:34:29,Red Bull,VER,1,True,2021-04-17 12:19:29.826
5,00:37:14,33,00:01:29,6,3,,00:37:10,00:00:28,00:00:28,00:00:33,00:36:13,00:36:41,00:37:14,212.0,248.0,,252.0,SOFT,1.0,False,00:35:44,Red Bull,VER,1,False,2021-04-17 12:20:44.948
6,00:52:40,33,,7,3,00:51:13,,,00:00:29,00:00:33,,00:52:06,00:52:40,221.0,237.0,286.0,183.0,MEDIUM,2.0,True,00:37:14,Red Bull,VER,1,False,2021-04-17 12:22:14.914
7,00:53:55,33,00:01:14,8,3,,,00:00:23,00:00:25,00:00:25,00:53:04,00:53:30,00:53:55,233.0,262.0,286.0,291.0,MEDIUM,3.0,True,00:52:40,Red Bull,VER,1,True,2021-04-17 12:37:40.619
8,00:55:36,33,00:01:41,9,3,,,00:00:32,00:00:32,00:00:36,00:54:28,00:55:00,00:55:36,196.0,236.0,284.0,120.0,MEDIUM,4.0,True,00:53:55,Red Bull,VER,1,True,2021-04-17 12:38:55.503
9,00:56:51,33,00:01:15,10,3,,,00:00:23,00:00:25,00:00:25,00:56:00,00:56:26,00:56:51,234.0,261.0,285.0,291.0,MEDIUM,5.0,True,00:55:36,Red Bull,VER,1,True,2021-04-17 12:40:36.872
10,00:58:29,33,00:01:37,11,4,,00:58:24,00:00:32,00:00:31,00:00:33,00:57:23,00:57:55,00:58:29,195.0,228.0,,217.0,MEDIUM,1.0,True,00:56:51,Red Bull,VER,1,False,2021-04-17 12:41:51.906
11,01:03:38,33,,12,4,01:02:00,,,00:00:29,00:00:42,,01:02:55,01:03:38,192.0,241.0,286.0,179.0,SOFT,2.0,True,00:58:29,Red Bull,VER,1,False,2021-04-17 12:43:29.318
12,01:04:54,33,00:01:16,13,4,,,00:00:23,00:00:25,00:00:26,01:04:02,01:04:27,01:04:54,235.0,260.0,184.0,291.0,SOFT,3.0,True,01:03:38,Red Bull,VER,1,True,2021-04-17 12:48:38.504
13,01:06:31,33,00:01:36,14,5,,01:06:26,00:00:29,00:00:30,00:00:35,01:05:24,01:05:55,01:06:31,202.0,226.0,,231.0,SOFT,1.0,True,01:04:54,Red Bull,VER,1,False,2021-04-17 12:49:54.713
14,01:15:55,33,,15,5,01:14:28,,,00:00:35,00:00:26,,01:15:28,01:15:55,221.0,241.0,289.0,266.0,SOFT,2.0,True,01:06:31,Red Bull,VER,1,False,2021-04-17 12:51:31.067
15,01:17:10,33,00:01:14,16,5,,,00:00:23,00:00:25,00:00:24,01:16:19,01:16:45,01:17:10,233.0,261.0,283.0,288.0,SOFT,3.0,True,01:15:55,Red Bull,VER,1,True,2021-04-17 13:00:55.696
16,01:18:36,33,00:01:26,17,6,,01:18:32,00:00:26,00:00:28,00:00:31,01:17:36,01:18:05,01:18:36,208.0,237.0,,254.0,SOFT,1.0,True,01:17:10,Red Bull,VER,1,False,2021-04-17 13:02:10.198
17,01:24:06,33,,18,6,01:22:35,,,00:00:28,00:00:37,,01:23:28,01:24:06,215.0,242.0,289.0,209.0,SOFT,2.0,True,01:18:36,Red Bull,VER,1,False,2021-04-17 13:03:36.656
18,01:25:20,33,00:01:14,19,6,,,00:00:23,00:00:25,00:00:25,01:24:29,01:24:55,01:25:20,235.0,260.0,286.0,290.0,SOFT,3.0,True,01:24:06,Red Bull,VER,1,True,2021-04-17 13:09:06.155
19,00:20:34,4,,1,1,00:19:02,,,00:00:30,00:00:34,,00:19:59,00:20:34,207.0,240.0,284.0,102.0,SOFT,1.0,True,,McLaren,NOR,1,False,
20,00:31:20,4,,2,2,,00:22:15,00:00:24,,,00:20:58,,,233.0,,,,SOFT,1.0,True,00:20:34,McLaren,NOR,25,False,2021-04-17 12:05:34.532
21,00:32:52,4,,3,2,00:31:20,,,00:00:34,00:00:32,,00:32:19,00:32:52,217.0,73.0,291.0,86.0,SOFT,2.0,True,00:31:20,McLaren,NOR,1,False,2021-04-17 12:16:20.498
22,00:34:07,4,00:01:15,4,2,,,00:00:23,00:00:25,00:00:25,00:33:16,00:33:42,00:34:07,231.0,260.0,283.0,290.0,SOFT,3.0,True,00:32:52,McLaren,NOR,1,True,2021-04-17 12:17:52.570
