,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:34:58,44,,1.0,1.0,00:00:03,,,00:00:34,00:00:32,,00:34:26,00:34:58,187.0,237.0,196.0,256.0,INTERMEDIATE,1.0,True,00:33:15,Mercedes,HAM,24,False,2021-04-18 13:03:15.707
1,00:37:26,44,00:02:28,2.0,1.0,,,00:00:46,00:00:53,00:00:48,00:35:45,00:36:38,00:37:26,151.0,60.0,199.0,161.0,INTERMEDIATE,2.0,True,00:34:58,Mercedes,HAM,4,False,2021-04-18 13:04:58.451
2,00:39:48,44,00:02:21,3.0,1.0,,,00:00:41,00:00:53,00:00:46,00:38:08,00:39:01,00:39:48,128.0,71.0,156.0,168.0,INTERMEDIATE,3.0,True,00:37:26,Mercedes,HAM,4,False,2021-04-18 13:07:26.848
3,00:42:10,44,00:02:21,4.0,1.0,,,00:00:43,00:00:51,00:00:46,00:40:32,00:41:23,00:42:10,99.0,130.0,229.0,159.0,INTERMEDIATE,4.0,True,00:39:48,Mercedes,HAM,4,False,2021-04-18 13:09:48.679
4,00:44:35,44,00:02:25,5.0,1.0,,,00:00:45,00:00:52,00:00:47,00:42:55,00:43:48,00:44:35,120.0,132.0,219.0,126.0,INTERMEDIATE,5.0,True,00:42:10,Mercedes,HAM,4,False,2021-04-18 13:12:10.339
5,00:46:54,44,00:02:18,6.0,1.0,,,00:00:42,00:00:48,00:00:48,00:45:17,00:46:05,00:46:54,107.0,116.0,268.0,82.0,INTERMEDIATE,6.0,True,00:44:35,Mercedes,HAM,4,False,2021-04-18 13:14:35.485
6,00:48:33,44,00:01:39,7.0,1.0,,,00:00:31,00:00:35,00:00:32,00:47:26,00:48:01,00:48:33,178.0,236.0,267.0,246.0,INTERMEDIATE,7.0,True,00:46:54,Mercedes,HAM,1,False,2021-04-18 13:16:54.103
7,00:50:07,44,00:01:34,8.0,1.0,,,00:00:29,00:00:33,00:00:31,00:49:03,00:49:36,00:50:07,194.0,242.0,268.0,256.0,INTERMEDIATE,8.0,True,00:48:33,Mercedes,HAM,1,True,2021-04-18 13:18:33.328
8,00:51:39,44,00:01:31,9.0,1.0,,,00:00:29,00:00:31,00:00:30,00:50:36,00:51:08,00:51:39,193.0,244.0,270.0,284.0,INTERMEDIATE,9.0,True,00:50:07,Mercedes,HAM,1,True,2021-04-18 13:20:07.919
9,00:53:09,44,00:01:30,10.0,1.0,,,00:00:28,00:00:31,00:00:29,00:52:07,00:52:39,00:53:09,196.0,246.0,270.0,276.0,INTERMEDIATE,10.0,True,00:51:39,Mercedes,HAM,2,True,2021-04-18 13:21:39.221
10,00:54:38,44,00:01:28,11.0,1.0,,,00:00:28,00:00:31,00:00:29,00:53:37,00:54:08,00:54:38,198.0,247.0,271.0,283.0,INTERMEDIATE,11.0,True,00:53:09,Mercedes,HAM,1,True,2021-04-18 13:23:09.321
11,00:56:06,44,00:01:28,12.0,1.0,,,00:00:27,00:00:30,00:00:30,00:55:05,00:55:36,00:56:06,203.0,249.0,271.0,278.0,INTERMEDIATE,12.0,True,00:54:38,Mercedes,HAM,1,True,2021-04-18 13:24:38.045
12,00:57:34,44,00:01:28,13.0,1.0,,,00:00:27,00:00:30,00:00:29,00:56:34,00:57:05,00:57:34,,250.0,272.0,267.0,INTERMEDIATE,13.0,True,00:56:06,Mercedes,HAM,2,True,2021-04-18 13:26:06.637
13,00:59:02,44,00:01:28,14.0,1.0,,,00:00:27,00:00:30,00:00:29,00:58:02,00:58:33,00:59:02,199.0,246.0,272.0,284.0,INTERMEDIATE,14.0,True,00:57:34,Mercedes,HAM,1,True,2021-04-18 13:27:34.887
14,01:00:29,44,00:01:27,15.0,1.0,,,00:00:27,00:00:30,00:00:29,00:59:30,01:00:00,01:00:29,204.0,247.0,272.0,286.0,INTERMEDIATE,15.0,True,00:59:02,Mercedes,HAM,1,True,2021-04-18 13:29:02.916
15,01:01:56,44,00:01:26,16.0,1.0,,,00:00:27,00:00:30,00:00:28,01:00:57,01:01:27,01:01:56,,251.0,273.0,286.0,INTERMEDIATE,16.0,True,01:00:29,Mercedes,HAM,1,True,2021-04-18 13:30:29.988
16,01:03:24,44,00:01:27,17.0,1.0,,,00:00:27,00:00:30,00:00:28,01:02:24,01:02:55,01:03:24,203.0,249.0,273.0,282.0,INTERMEDIATE,17.0,True,01:01:56,Mercedes,HAM,1,True,2021-04-18 13:31:56.566
17,01:04:50,44,00:01:26,18.0,1.0,,,00:00:27,00:00:30,00:00:28,01:03:51,01:04:21,01:04:50,201.0,251.0,272.0,287.0,INTERMEDIATE,18.0,True,01:03:24,Mercedes,HAM,1,True,2021-04-18 13:33:24.067
18,01:06:17,44,00:01:27,19.0,1.0,,,00:00:27,00:00:30,00:00:28,01:05:18,01:05:48,01:06:17,204.0,251.0,274.0,286.0,INTERMEDIATE,19.0,True,01:04:50,Mercedes,HAM,1,True,2021-04-18 13:34:50.707
19,01:07:44,44,00:01:26,20.0,1.0,,,00:00:27,00:00:30,00:00:28,01:06:45,01:07:15,01:07:44,202.0,252.0,275.0,288.0,INTERMEDIATE,20.0,True,01:06:17,Mercedes,HAM,1,True,2021-04-18 13:36:17.728
20,01:09:12,44,00:01:28,21.0,1.0,,,00:00:27,00:00:30,00:00:29,01:08:12,01:08:43,01:09:12,195.0,253.0,276.0,277.0,INTERMEDIATE,21.0,True,01:07:44,Mercedes,HAM,1,True,2021-04-18 13:37:44.687
21,01:10:42,44,00:01:29,22.0,1.0,,,00:00:28,00:00:31,00:00:29,01:09:41,01:10:12,01:10:42,196.0,252.0,276.0,285.0,INTERMEDIATE,22.0,True,01:09:12,Mercedes,HAM,1,True,2021-04-18 13:39:12.970
22,01:12:10,44,00:01:28,23.0,1.0,,,00:00:27,00:00:31,00:00:29,01:11:10,01:11:41,01:12:10,199.0,247.0,275.0,286.0,INTERMEDIATE,23.0,True,01:10:42,Mercedes,HAM,1,True,2021-04-18 13:40:42.247
23,01:13:38,44,00:01:28,24.0,1.0,,,00:00:28,00:00:30,00:00:28,01:12:38,01:13:09,01:13:38,204.0,253.0,274.0,288.0,INTERMEDIATE,24.0,True,01:12:10,Mercedes,HAM,1,True,2021-04-18 13:42:10.668
24,01:15:07,44,00:01:28,25.0,1.0,,,00:00:27,00:00:32,00:00:28,01:14:06,,01:15:07,199.0,252.0,274.0,293.0,INTERMEDIATE,25.0,True,01:13:38,Mercedes,HAM,1,True,2021-04-18 13:43:38.807
25,01:16:34,44,00:01:27,26.0,1.0,,,00:00:27,00:00:30,00:00:28,01:15:35,01:16:06,01:16:34,174.0,252.0,276.0,282.0,INTERMEDIATE,26.0,True,01:15:07,Mercedes,HAM,1,True,2021-04-18 13:45:07.649
26,01:18:01,44,00:01:26,27.0,1.0,,,00:00:27,00:00:31,00:00:28,01:17:02,01:17:33,01:18:01,203.0,254.0,273.0,284.0,INTERMEDIATE,27.0,True,01:16:34,Mercedes,HAM,1,True,2021-04-18 13:46:34.722
27,01:19:32,44,00:01:30,28.0,1.0,,01:19:27,00:00:26,00:00:30,00:00:32,01:18:28,01:18:59,01:19:32,206.0,253.0,,285.0,INTERMEDIATE,28.0,True,01:18:01,Mercedes,HAM,1,False,2021-04-18 13:48:01.681
28,01:21:25,44,00:01:53,29.0,2.0,01:19:59,,00:00:55,00:00:30,00:00:27,01:20:27,01:20:57,01:21:25,201.0,254.0,276.0,289.0,MEDIUM,5.0,False,01:19:32,Mercedes,HAM,1,False,2021-04-18 13:49:32.106
29,01:22:48,44,00:01:23,30.0,2.0,,,00:00:26,00:00:28,00:00:27,01:21:51,01:22:20,01:22:48,211.0,255.0,290.0,282.0,MEDIUM,6.0,False,01:21:25,Mercedes,HAM,1,True,2021-04-18 13:51:25.387
30,01:25:35,44,,31.0,2.0,,01:25:31,00:00:27,00:01:38,00:00:40,01:23:15,01:24:54,01:25:35,210.0,148.0,,123.0,MEDIUM,7.0,False,01:22:48,Mercedes,HAM,24,False,2021-04-18 13:52:48.525
31,01:28:22,44,,32.0,3.0,01:26:09,01:28:18,00:01:22,00:00:33,00:00:51,01:26:58,01:27:31,01:28:23,173.0,245.0,,122.0,MEDIUM,,True,01:25:35,Mercedes,HAM,45,False,2021-04-18 13:55:35.560
32,01:54:53,44,,33.0,4.0,01:53:13,01:54:48,,00:00:31,00:00:35,,01:54:17,01:54:53,195.0,241.0,,254.0,MEDIUM,1.0,False,01:28:22,Mercedes,HAM,5,False,2021-04-18 13:58:22.958
33,01:57:52,44,,34.0,5.0,01:55:54,,00:01:29,00:00:40,00:00:49,01:56:22,01:57:03,01:57:52,203.0,61.0,244.0,166.0,MEDIUM,2.0,False,01:54:53,Mercedes,HAM,1,False,2021-04-18 14:24:53.260
34,01:59:21,44,00:01:28,35.0,5.0,,,00:00:30,00:00:29,00:00:27,01:58:23,01:58:53,01:59:21,205.0,258.0,279.0,279.0,MEDIUM,3.0,False,01:57:52,Mercedes,HAM,2,True,2021-04-18 14:27:52.814
35,02:00:44,44,00:01:23,36.0,5.0,,,00:00:27,00:00:28,00:00:27,01:59:48,02:00:17,02:00:44,207.0,257.0,279.0,273.0,MEDIUM,4.0,False,01:59:21,Mercedes,HAM,1,True,2021-04-18 14:29:21.278
36,02:02:05,44,00:01:20,37.0,5.0,,,00:00:26,00:00:27,00:00:26,02:01:10,02:01:38,02:02:05,212.0,255.0,280.0,285.0,MEDIUM,5.0,False,02:00:44,Mercedes,HAM,1,True,2021-04-18 14:30:44.496
37,02:03:26,44,00:01:21,38.0,5.0,,,00:00:26,00:00:28,00:00:26,02:02:32,02:03:00,02:03:26,207.0,256.0,285.0,286.0,MEDIUM,6.0,False,02:02:05,Mercedes,HAM,2,True,2021-04-18 14:32:05.468
38,02:04:46,44,00:01:19,39.0,5.0,,,00:00:25,00:00:27,00:00:26,02:03:52,02:04:20,02:04:46,213.0,254.0,279.0,283.0,MEDIUM,7.0,False,02:03:26,Mercedes,HAM,1,True,2021-04-18 14:33:26.912
39,02:06:05,44,00:01:19,40.0,5.0,,,00:00:25,00:00:27,00:00:26,02:05:12,02:05:39,02:06:05,217.0,257.0,281.0,285.0,MEDIUM,8.0,False,02:04:46,Mercedes,HAM,1,True,2021-04-18 14:34:46.391
40,02:07:24,44,00:01:19,41.0,5.0,,,00:00:25,00:00:27,00:00:26,02:06:31,02:06:58,02:07:24,216.0,260.0,289.0,288.0,MEDIUM,9.0,False,02:06:05,Mercedes,HAM,1,True,2021-04-18 14:36:05.694
41,02:08:43,44,00:01:18,42.0,5.0,,,00:00:24,00:00:27,00:00:26,02:07:49,02:08:16,02:08:43,218.0,253.0,279.0,280.0,MEDIUM,10.0,False,02:07:24,Mercedes,HAM,1,True,2021-04-18 14:37:24.900
42,02:10:01,44,00:01:18,43.0,5.0,,,00:00:25,00:00:27,00:00:26,02:09:08,02:09:35,02:10:01,219.0,257.0,280.0,282.0,MEDIUM,11.0,False,02:08:43,Mercedes,HAM,1,True,2021-04-18 14:38:43.232
43,02:11:20,44,00:01:18,44.0,5.0,,,00:00:25,00:00:27,00:00:26,02:10:27,02:10:54,02:11:20,221.0,260.0,281.0,285.0,MEDIUM,12.0,False,02:10:01,Mercedes,HAM,1,True,2021-04-18 14:40:01.880
44,02:12:39,44,00:01:18,45.0,5.0,,,00:00:25,00:00:27,00:00:26,02:11:45,02:12:12,02:12:39,219.0,261.0,280.0,284.0,MEDIUM,13.0,False,02:11:20,Mercedes,HAM,1,True,2021-04-18 14:41:20.495
45,02:13:57,44,00:01:18,46.0,5.0,,,00:00:25,00:00:26,00:00:26,02:13:04,02:13:31,02:13:57,224.0,261.0,280.0,291.0,MEDIUM,14.0,False,02:12:39,Mercedes,HAM,1,True,2021-04-18 14:42:39.211
46,02:15:16,44,00:01:18,47.0,5.0,,,00:00:25,00:00:27,00:00:26,02:14:22,02:14:50,02:15:16,221.0,259.0,281.0,285.0,MEDIUM,15.0,False,02:13:57,Mercedes,HAM,1,True,2021-04-18 14:43:57.617
47,02:16:35,44,00:01:18,48.0,5.0,,,00:00:25,00:00:26,00:00:26,02:15:41,02:16:08,02:16:35,223.0,261.0,287.0,288.0,MEDIUM,16.0,False,02:15:16,Mercedes,HAM,1,True,2021-04-18 14:45:16.155
48,02:17:54,44,00:01:19,49.0,5.0,,,00:00:25,00:00:27,00:00:26,02:17:00,02:17:27,02:17:54,221.0,262.0,290.0,287.0,MEDIUM,17.0,False,02:16:35,Mercedes,HAM,1,True,2021-04-18 14:46:35.023
49,02:19:12,44,00:01:17,50.0,5.0,,,00:00:24,00:00:27,00:00:26,02:18:18,02:18:45,02:19:12,219.0,258.0,285.0,285.0,MEDIUM,18.0,False,02:17:54,Mercedes,HAM,1,True,2021-04-18 14:47:54.177
50,02:20:30,44,00:01:18,51.0,5.0,,,00:00:25,00:00:27,00:00:26,02:19:37,02:20:04,02:20:30,223.0,261.0,291.0,288.0,MEDIUM,19.0,False,02:19:12,Mercedes,HAM,1,True,2021-04-18 14:49:12.035
51,02:21:49,44,00:01:19,52.0,5.0,,,00:00:25,00:00:27,00:00:26,02:20:55,02:21:23,02:21:49,216.0,260.0,292.0,289.0,MEDIUM,20.0,False,02:20:30,Mercedes,HAM,1,True,2021-04-18 14:50:30.547
52,02:23:08,44,00:01:18,53.0,5.0,,,00:00:25,00:00:27,00:00:26,02:22:14,02:22:42,02:23:08,220.0,259.0,291.0,288.0,MEDIUM,21.0,False,02:21:49,Mercedes,HAM,1,True,2021-04-18 14:51:49.548
53,02:24:27,44,00:01:19,54.0,5.0,,,00:00:25,00:00:27,00:00:26,02:23:33,02:24:00,02:24:27,,260.0,290.0,291.0,MEDIUM,22.0,False,02:23:08,Mercedes,HAM,1,True,2021-04-18 14:53:08.353
54,02:25:45,44,00:01:17,55.0,5.0,,,00:00:24,00:00:27,00:00:26,02:24:52,02:25:19,02:25:45,221.0,259.0,281.0,284.0,MEDIUM,23.0,False,02:24:27,Mercedes,HAM,1,True,2021-04-18 14:54:27.559
55,02:27:03,44,00:01:18,56.0,5.0,,,00:00:25,00:00:27,00:00:26,02:26:10,02:26:37,02:27:03,225.0,261.0,288.0,288.0,MEDIUM,24.0,False,02:25:45,Mercedes,HAM,1,True,2021-04-18 14:55:45.509
56,02:28:22,44,00:01:18,57.0,5.0,,,00:00:25,00:00:27,00:00:26,02:27:29,02:27:56,02:28:22,219.0,259.0,289.0,284.0,MEDIUM,25.0,False,02:27:03,Mercedes,HAM,1,True,2021-04-18 14:57:04.014
57,02:29:41,44,00:01:18,58.0,5.0,,,00:00:25,00:00:27,00:00:26,02:28:48,02:29:15,02:29:41,217.0,257.0,288.0,283.0,MEDIUM,26.0,False,02:28:22,Mercedes,HAM,1,True,2021-04-18 14:58:22.636
58,02:31:00,44,00:01:18,59.0,5.0,,,00:00:25,00:00:27,00:00:26,02:30:06,02:30:33,02:31:00,219.0,259.0,288.0,285.0,MEDIUM,27.0,False,02:29:41,Mercedes,HAM,1,True,2021-04-18 14:59:41.593
59,02:32:16,44,00:01:16,60.0,5.0,,,00:00:24,00:00:26,00:00:25,02:31:24,02:31:51,02:32:16,227.0,260.0,277.0,284.0,MEDIUM,28.0,False,02:31:00,Mercedes,HAM,1,True,2021-04-18 15:01:00.127
60,02:33:35,44,00:01:18,61.0,5.0,,,00:00:25,00:00:27,00:00:26,02:32:42,02:33:09,02:33:35,221.0,259.0,278.0,281.0,MEDIUM,29.0,False,02:32:16,Mercedes,HAM,2,True,2021-04-18 15:02:16.829
61,02:34:54,44,00:01:18,62.0,5.0,,,00:00:25,00:00:27,00:00:26,02:34:01,02:34:28,02:34:54,220.0,257.0,279.0,277.0,MEDIUM,30.0,False,02:33:35,Mercedes,HAM,1,True,2021-04-18 15:03:35.653
62,02:36:12,44,00:01:18,63.0,5.0,,,00:00:25,00:00:27,00:00:25,02:35:19,02:35:46,02:36:12,223.0,260.0,278.0,281.0,MEDIUM,31.0,False,02:34:54,Mercedes,HAM,1,True,2021-04-18 15:04:54.440
63,00:35:03,11,,1.0,1.0,00:00:03,,,00:00:36,00:00:35,,00:34:28,00:35:03,176.0,233.0,195.0,216.0,INTERMEDIATE,1.0,True,00:33:15,Red Bull,PER,24,False,2021-04-18 13:03:15.707
64,00:37:29,11,00:02:26,2.0,1.0,,,00:00:46,00:00:51,00:00:48,00:35:49,00:36:41,00:37:29,170.0,62.0,164.0,159.0,INTERMEDIATE,2.0,True,00:35:03,Red Bull,PER,4,False,2021-04-18 13:05:03.684
65,00:39:50,11,00:02:20,3.0,1.0,,,00:00:42,00:00:51,00:00:46,00:38:12,00:39:03,00:39:50,162.0,70.0,207.0,156.0,INTERMEDIATE,3.0,True,00:37:29,Red Bull,PER,4,False,2021-04-18 13:07:29.911
66,00:42:13,11,00:02:22,4.0,1.0,,,00:00:43,00:00:52,00:00:46,00:40:34,00:41:26,00:42:13,95.0,93.0,197.0,159.0,INTERMEDIATE,4.0,True,00:39:50,Red Bull,PER,4,False,2021-04-18 13:09:50.652
67,00:44:38,11,00:02:25,5.0,1.0,,,00:00:43,00:00:54,00:00:46,00:42:57,00:43:51,00:44:38,148.0,94.0,185.0,119.0,INTERMEDIATE,5.0,True,00:42:13,Red Bull,PER,4,False,2021-04-18 13:12:13.545
68,00:46:55,11,00:02:16,6.0,1.0,,,00:00:42,00:00:46,00:00:47,00:45:21,00:46:07,00:46:55,116.0,121.0,265.0,90.0,INTERMEDIATE,6.0,True,00:44:38,Red Bull,PER,4,False,2021-04-18 13:14:38.802
69,00:48:37,11,00:01:42,7.0,1.0,,,00:00:32,00:00:36,00:00:32,00:47:27,00:48:04,00:48:37,182.0,231.0,263.0,228.0,INTERMEDIATE,7.0,True,00:46:55,Red Bull,PER,1,False,2021-04-18 13:16:55.146
70,00:50:15,11,00:01:37,8.0,1.0,,,00:00:31,00:00:34,00:00:32,00:49:08,00:49:42,00:50:15,189.0,239.0,264.0,242.0,INTERMEDIATE,8.0,True,00:48:37,Red Bull,PER,1,True,2021-04-18 13:18:37.321
71,00:51:49,11,00:01:34,9.0,1.0,,,00:00:30,00:00:33,00:00:31,00:50:45,00:51:18,00:51:49,196.0,242.0,265.0,251.0,INTERMEDIATE,9.0,True,00:50:15,Red Bull,PER,1,True,2021-04-18 13:20:15.243
72,00:53:22,11,00:01:33,10.0,1.0,,,00:00:29,00:00:32,00:00:30,00:52:19,00:52:51,00:53:22,197.0,243.0,264.0,274.0,INTERMEDIATE,10.0,True,00:51:49,Red Bull,PER,2,True,2021-04-18 13:21:49.640
73,00:54:54,11,00:01:31,11.0,1.0,,,00:00:29,00:00:31,00:00:30,00:53:51,00:54:23,00:54:54,199.0,246.0,266.0,268.0,INTERMEDIATE,11.0,True,00:53:22,Red Bull,PER,1,True,2021-04-18 13:23:22.759
74,00:56:24,11,00:01:30,12.0,1.0,,,00:00:29,00:00:31,00:00:29,00:55:23,00:55:54,00:56:24,200.0,246.0,266.0,278.0,INTERMEDIATE,12.0,True,00:54:54,Red Bull,PER,1,True,2021-04-18 13:24:54.322
75,00:57:54,11,00:01:29,13.0,1.0,,,00:00:28,00:00:31,00:00:29,00:56:53,00:57:24,00:57:54,201.0,246.0,267.0,280.0,INTERMEDIATE,13.0,True,00:56:24,Red Bull,PER,2,True,2021-04-18 13:26:24.666
76,00:59:23,11,00:01:29,14.0,1.0,,,00:00:28,00:00:31,00:00:29,00:58:23,00:58:54,00:59:23,203.0,245.0,267.0,281.0,INTERMEDIATE,14.0,True,00:57:54,Red Bull,PER,1,True,2021-04-18 13:27:54.488
77,01:00:52,11,00:01:28,15.0,1.0,,,00:00:28,00:00:30,00:00:29,00:59:52,01:00:22,01:00:52,200.0,247.0,267.0,281.0,INTERMEDIATE,15.0,True,00:59:23,Red Bull,PER,1,True,2021-04-18 13:29:23.903
78,01:02:20,11,00:01:27,16.0,1.0,,,00:00:28,00:00:30,00:00:29,01:01:20,01:01:51,01:02:20,,247.0,270.0,282.0,INTERMEDIATE,16.0,True,01:00:52,Red Bull,PER,1,True,2021-04-18 13:30:52.562
79,01:03:47,11,00:01:27,17.0,1.0,,,00:00:28,00:00:30,00:00:28,01:02:48,01:03:18,01:03:47,202.0,250.0,273.0,283.0,INTERMEDIATE,17.0,True,01:02:20,Red Bull,PER,1,True,2021-04-18 13:32:20.485
80,01:05:16,11,00:01:28,18.0,1.0,,,00:00:28,00:00:31,00:00:28,01:04:16,01:04:47,01:05:16,201.0,247.0,270.0,285.0,INTERMEDIATE,18.0,True,01:03:47,Red Bull,PER,1,True,2021-04-18 13:33:47.933
