,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,00:00:41,9.8,68.7,1011.7,True,18.1,61,0.2
1,00:01:41,9.7,70.0,1011.6,True,18.1,261,0.1
2,00:02:41,9.6,69.2,1011.6,True,18.0,243,0.4
3,00:03:41,9.4,68.3,1011.6,True,17.7,250,0.4
4,00:04:41,9.3,67.9,1011.7,True,17.6,259,0.5
5,00:05:41,9.3,69.1,1011.6,True,17.6,256,0.5
6,00:06:41,9.3,69.4,1011.6,True,17.5,248,0.4
7,00:07:41,9.2,70.6,1011.6,True,17.5,268,0.4
8,00:08:41,9.2,70.5,1011.6,True,17.5,214,0.4
9,00:09:41,9.2,70.7,1011.7,True,17.5,237,0.2
10,00:10:41,9.2,71.8,1011.7,True,17.5,285,0.3
11,00:11:41,9.3,70.5,1011.6,True,17.6,260,0.5
12,00:12:41,9.2,71.9,1011.6,True,17.5,241,0.3
13,00:13:41,9.2,74.0,1011.7,True,17.4,241,0.1
14,00:14:41,9.2,73.8,1011.6,True,17.4,234,0.3
15,00:15:41,9.2,74.9,1011.7,True,17.4,260,0.2
16,00:16:41,9.2,75.0,1011.6,True,17.4,258,0.3
17,00:17:41,9.2,73.1,1011.5,True,17.5,270,0.6
18,00:18:41,9.2,74.0,1011.5,True,17.5,244,0.2
19,00:19:41,9.2,75.4,1011.5,True,17.4,266,0.3
20,00:20:41,9.2,76.2,1011.5,True,17.4,272,0.4
21,00:21:41,9.2,74.9,1011.5,True,17.4,271,0.5
22,00:22:41,9.3,74.8,1011.5,True,17.5,259,0.5
23,00:23:41,9.2,74.6,1011.5,True,17.4,271,0.4
24,00:24:41,9.2,73.1,1011.5,True,17.3,273,0.4
25,00:25:41,9.3,74.7,1011.5,True,17.5,244,0.3
26,00:26:41,9.3,74.3,1011.5,True,17.5,281,0.2
27,00:27:41,9.4,76.0,1011.5,True,17.5,248,0.2
28,00:28:41,9.4,76.4,1011.5,True,17.7,258,0.2
29,00:29:41,9.4,75.5,1011.5,True,17.8,273,0.2
30,00:30:41,9.4,74.6,1011.5,True,17.8,0,0.1
31,00:31:41,9.4,75.7,1011.5,True,17.7,177,0.1
32,00:32:41,9.5,77.1,1011.5,True,17.7,0,0.4
33,00:33:41,9.6,75.0,1011.5,True,17.7,178,0.1
34,00:34:41,9.6,75.4,1011.5,True,17.3,203,0.2
35,00:35:41,9.5,75.7,1011.5,True,17.2,199,0.1
36,00:36:41,9.5,74.2,1011.4,True,17.1,226,0.3
37,00:37:41,9.4,74.4,1011.5,True,16.9,122,0.2
38,00:38:41,9.6,75.6,1011.6,True,16.7,206,0.5
39,00:39:41,9.6,76.8,1011.5,True,16.5,91,0.3
40,00:40:41,9.8,76.5,1011.5,True,16.5,218,0.2
41,00:41:41,9.7,74.8,1011.5,True,16.4,238,0.2
42,00:42:41,9.6,75.9,1011.5,True,16.4,197,0.3
43,00:43:41,9.7,74.0,1011.5,True,16.4,268,0.2
44,00:44:41,9.7,74.7,1011.5,True,16.3,95,0.2
45,00:45:41,9.7,74.9,1011.4,True,16.2,288,0.4
46,00:46:41,9.7,73.2,1011.5,True,16.2,359,0.1
47,00:47:41,9.8,74.3,1011.5,True,16.2,77,0.3
48,00:48:41,9.9,72.5,1011.4,True,16.2,0,0.1
49,00:49:41,9.9,72.5,1011.5,True,16.2,85,0.6
50,00:50:41,10.0,72.2,1011.4,True,16.2,83,0.3
51,00:51:41,10.0,71.3,1011.5,True,16.1,99,0.7
52,00:52:41,10.0,71.2,1011.3,True,15.7,97,0.7
53,00:53:41,10.1,67.7,1011.4,True,15.2,81,0.8
54,00:54:41,10.1,69.9,1011.4,True,15.2,99,0.8
55,00:55:41,10.2,68.8,1011.3,True,15.0,87,0.6
56,00:56:41,10.2,68.2,1011.4,True,14.9,91,0.9
57,00:57:41,10.2,69.2,1011.4,True,14.6,89,0.9
58,00:58:41,10.3,69.6,1011.5,True,14.5,90,0.7
59,00:59:41,10.3,68.5,1011.3,True,14.3,82,0.8
60,01:00:41,10.3,68.8,1011.3,True,14.3,103,0.8
61,01:01:41,10.4,69.6,1011.3,True,14.1,93,0.7
62,01:02:41,10.4,69.1,1011.3,True,14.0,75,0.8
63,01:03:41,10.4,69.3,1011.3,True,14.1,67,0.8
64,01:04:41,10.4,67.7,1011.1,True,14.0,88,0.6
65,01:05:41,10.4,68.8,1011.3,True,13.9,83,0.8
66,01:06:41,10.4,68.9,1011.4,True,13.8,89,0.9
67,01:07:41,10.5,67.7,1011.6,True,13.9,70,0.6
68,01:08:41,10.4,67.3,1011.2,True,13.9,79,0.7
69,01:09:41,10.5,68.6,1011.3,True,13.9,78,0.9
70,01:10:41,10.6,66.5,1011.3,True,14.1,89,0.7
71,01:11:41,10.6,68.1,1011.0,True,14.2,81,0.9
72,01:12:41,10.7,68.9,1011.3,True,14.2,85,0.7
73,01:13:41,10.7,68.7,1011.4,True,14.4,99,0.8
74,01:14:41,10.8,69.2,1011.1,True,14.6,105,0.7
75,01:15:41,10.9,68.6,1011.3,True,14.7,92,1.0
76,01:16:41,10.9,67.7,1011.2,True,14.9,112,1.0
77,01:17:41,11.0,67.7,1011.3,True,15.0,95,1.0
78,01:18:41,11.1,67.6,1011.2,True,15.2,102,1.0
79,01:19:41,11.1,67.3,1011.1,True,15.3,97,1.1
80,01:20:41,11.1,65.9,1011.2,True,15.4,88,1.1
81,01:21:41,11.1,65.0,1011.3,True,15.5,84,0.8
82,01:22:41,11.1,66.0,1011.3,True,15.5,105,0.7
83,01:23:41,11.0,66.1,1011.2,True,15.4,100,0.7
84,01:24:41,11.1,66.0,1011.3,True,15.6,91,1.0
85,01:25:41,11.1,65.9,1011.2,True,15.7,97,0.9
86,01:26:41,11.2,66.0,1011.2,True,15.8,117,0.8
87,01:27:41,11.1,66.5,1011.0,True,15.9,155,0.5
