,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:28:44,33,,1,2,00:17:39,00:19:43,,,,,,,,,,,SOFT,1.0,True,,Red Bull,VER,1,False,
1,00:31:14,33,,2,2,00:28:44,,00:00:35,00:00:33,00:01:22,00:29:19,00:29:52,00:31:15,96.0,236.0,302.0,284.0,SOFT,3.0,False,00:28:44,Red Bull,VER,1,False,2021-06-19 13:14:12.111
2,00:32:45,33,00:01:31,3,2,,,00:00:22,00:00:27,00:00:40,00:31:37,00:32:05,00:32:45,125.0,283.0,301.0,322.0,SOFT,4.0,False,00:31:14,Red Bull,VER,1,True,2021-06-19 13:16:42.112
3,00:50:42,33,,4,3,,00:34:24,00:00:29,00:00:31,,00:33:15,00:33:47,,106.0,256.0,,274.0,SOFT,2.0,False,00:32:45,Red Bull,VER,25,False,2021-06-19 13:18:13.113
4,00:52:59,33,00:02:17,5,3,00:50:43,,00:00:34,00:00:42,00:01:00,00:51:16,00:51:58,00:52:59,84.0,223.0,302.0,256.0,MEDIUM,2.0,True,00:50:42,Red Bull,VER,1,False,2021-06-19 13:36:09.532
5,00:54:30,33,00:01:31,6,3,,,00:00:22,00:00:27,00:00:40,00:53:22,00:53:50,00:54:30,120.0,283.0,302.0,325.0,MEDIUM,3.0,True,00:52:59,Red Bull,VER,1,True,2021-06-19 13:38:26.732
6,01:01:44,33,,7,4,,00:56:11,00:00:26,00:00:31,,00:54:56,00:55:28,,99.0,256.0,,268.0,MEDIUM,1.0,True,00:54:30,Red Bull,VER,1,False,2021-06-19 13:39:57.812
7,01:03:52,33,00:02:07,8,4,01:01:45,,00:00:31,00:00:31,00:01:05,01:02:16,01:02:47,01:03:52,109.0,272.0,304.0,294.0,MEDIUM,2.0,True,01:01:44,Red Bull,VER,1,False,2021-06-19 13:47:11.873
8,01:05:26,33,00:01:34,9,4,,,00:00:22,00:00:27,00:00:44,01:04:15,01:04:42,01:05:26,119.0,285.0,201.0,328.0,MEDIUM,3.0,True,01:03:52,Red Bull,VER,1,True,2021-06-19 13:49:19.738
9,01:13:46,33,,10,5,,01:07:08,00:00:30,00:00:34,,01:05:56,01:06:31,,107.0,256.0,,216.0,MEDIUM,1.0,True,01:05:26,Red Bull,VER,1,False,2021-06-19 13:50:53.955
10,01:15:51,33,00:02:04,11,5,01:13:47,,00:00:34,00:00:36,00:00:53,01:14:21,01:14:57,01:15:51,96.0,229.0,303.0,295.0,SOFT,2.0,True,01:13:46,Red Bull,VER,1,False,2021-06-19 13:59:13.995
11,01:17:21,33,00:01:30,12,5,,,00:00:22,00:00:27,00:00:40,01:16:13,01:16:41,01:17:21,125.0,284.0,302.0,325.0,SOFT,3.0,True,01:15:51,Red Bull,VER,1,True,2021-06-19 14:01:18.370
12,01:21:19,33,,13,6,,01:18:55,00:00:26,00:00:32,,01:17:48,01:18:20,,102.0,255.0,,239.0,SOFT,1.0,True,01:17:21,Red Bull,VER,1,False,2021-06-19 14:02:48.695
13,01:23:55,33,,14,6,01:21:19,,00:00:40,00:00:48,00:01:07,01:21:59,01:22:47,01:23:55,90.0,248.0,305.0,108.0,UNKNOWN,2.0,False,01:21:19,Red Bull,VER,1,False,2021-06-19 14:06:46.910
14,01:25:25,33,00:01:29,15,6,,,00:00:22,00:00:27,00:00:40,01:24:17,01:24:44,01:25:25,126.0,284.0,303.0,328.0,SOFT,4.0,True,01:23:55,Red Bull,VER,1,True,2021-06-19 14:09:22.263
15,00:28:07,77,,1,2,00:17:52,00:20:13,,,,,,,,,,,SOFT,1.0,True,,Mercedes,BOT,1,False,
16,00:30:38,77,,2,2,00:28:07,,00:00:41,00:00:34,00:01:16,00:28:47,00:29:21,00:30:38,95.0,260.0,299.0,271.0,SOFT,3.0,False,00:28:07,Mercedes,BOT,1,False,2021-06-19 13:13:34.956
17,00:32:10,77,00:01:31,3,2,,,00:00:22,00:00:27,00:00:41,00:31:01,00:31:28,00:32:10,125.0,281.0,300.0,319.0,SOFT,4.0,False,00:30:38,Mercedes,BOT,1,True,2021-06-19 13:16:05.649
18,00:50:20,77,,4,3,,00:33:55,00:00:29,00:00:33,,00:32:39,00:33:13,,90.0,255.0,,283.0,SOFT,2.0,False,00:32:10,Mercedes,BOT,25,False,2021-06-19 13:17:37.318
19,00:52:31,77,00:02:10,5,3,00:50:21,,00:00:33,00:00:32,00:01:04,00:50:54,00:51:26,00:52:31,95.0,269.0,300.0,305.0,MEDIUM,2.0,True,00:50:20,Mercedes,BOT,1,False,2021-06-19 13:35:48.075
20,00:54:02,77,00:01:31,6,3,,,00:00:22,00:00:27,00:00:40,00:52:54,00:53:21,00:54:02,122.0,281.0,301.0,321.0,MEDIUM,3.0,True,00:52:31,Mercedes,BOT,1,True,2021-06-19 13:37:58.556
21,01:00:51,77,,7,4,,00:55:56,00:00:28,00:00:36,,00:54:31,00:55:07,,100.0,252.0,,206.0,MEDIUM,1.0,True,00:54:02,Mercedes,BOT,1,False,2021-06-19 13:39:29.862
22,01:03:31,77,,8,4,01:00:51,,00:00:37,00:00:36,00:01:26,01:01:27,01:02:04,01:03:31,99.0,265.0,300.0,181.0,MEDIUM,2.0,True,01:00:51,Mercedes,BOT,1,False,2021-06-19 13:46:18.398
23,01:05:01,77,00:01:30,9,4,,,00:00:22,00:00:27,00:00:40,01:03:53,01:04:21,01:05:01,122.0,281.0,300.0,326.0,MEDIUM,3.0,True,01:03:31,Mercedes,BOT,1,True,2021-06-19 13:48:58.258
24,01:14:02,77,,10,5,,01:06:48,00:00:27,00:00:34,,01:05:29,01:06:03,,98.0,252.0,,294.0,MEDIUM,1.0,True,01:05:01,Mercedes,BOT,1,False,2021-06-19 13:50:28.993
25,01:16:07,77,00:02:05,11,5,01:14:02,,00:00:35,00:00:36,00:00:53,01:14:37,01:15:14,01:16:07,94.0,252.0,302.0,264.0,SOFT,2.0,True,01:14:02,Mercedes,BOT,1,False,2021-06-19 13:59:29.358
26,01:17:38,77,00:01:31,12,5,,,00:00:22,00:00:27,00:00:40,01:16:30,01:16:58,01:17:38,127.0,282.0,302.0,324.0,SOFT,3.0,True,01:16:07,Mercedes,BOT,1,True,2021-06-19 14:01:35.070
27,01:21:43,77,,13,6,,01:19:14,00:00:25,00:00:32,,01:18:04,01:18:36,,115.0,253.0,,296.0,SOFT,1.0,True,01:17:38,Mercedes,BOT,1,False,2021-06-19 14:03:06.196
28,01:24:11,77,00:02:27,14,6,01:21:44,,00:00:36,,00:01:12,01:22:19,01:22:58,01:24:11,92.0,216.0,301.0,251.0,SOFT,,True,01:21:43,Mercedes,BOT,1,False,2021-06-19 14:07:10.916
29,01:25:41,77,00:01:30,15,6,,,00:00:22,00:00:27,00:00:40,01:24:33,01:25:01,01:25:41,124.0,282.0,301.0,326.0,SOFT,,True,01:24:11,Mercedes,BOT,1,True,2021-06-19 14:09:38.441
30,00:27:37,55,,1,2,00:16:22,00:18:42,00:00:42,00:00:43,,00:17:04,00:17:48,,80.0,194.0,,262.0,SOFT,1.0,True,,Ferrari,SAI,1,False,
31,00:30:01,55,00:02:23,2,2,00:27:38,,00:00:41,00:00:39,00:01:03,00:28:18,00:28:58,00:30:01,89.0,241.0,295.0,288.0,SOFT,3.0,False,00:27:37,Ferrari,SAI,1,False,2021-06-19 13:13:05.024
32,00:31:33,55,00:01:32,3,2,,,00:00:22,00:00:28,00:00:41,00:30:24,00:30:52,00:31:33,126.0,280.0,301.0,320.0,SOFT,4.0,False,00:30:01,Ferrari,SAI,1,True,2021-06-19 13:15:28.369
33,00:34:43,55,,4,2,,,00:00:45,00:01:09,00:01:14,00:32:18,00:33:28,00:34:43,80.0,129.0,294.0,128.0,SOFT,5.0,False,00:31:33,Ferrari,SAI,1,False,2021-06-19 13:17:00.658
34,00:36:15,55,00:01:32,5,2,,,00:00:23,00:00:27,00:00:41,00:35:06,00:35:34,00:36:15,123.0,280.0,296.0,321.0,SOFT,6.0,False,00:34:43,Ferrari,SAI,1,True,2021-06-19 13:20:10.246
35,00:39:02,55,,6,3,,00:37:45,00:00:25,00:00:31,,00:36:40,00:37:11,,110.0,249.0,,287.0,SOFT,2.0,False,00:36:15,Ferrari,SAI,1,False,2021-06-19 13:21:42.325
36,00:49:45,55,,7,4,00:39:02,00:43:52,00:00:40,00:00:43,,00:39:42,00:40:25,,91.0,234.0,,173.0,SOFT,1.0,True,00:39:02,Ferrari,SAI,25,False,2021-06-19 13:24:29.224
37,00:52:25,55,,8,4,00:49:45,,00:00:47,00:00:39,00:01:13,00:50:32,00:51:11,00:52:25,91.0,239.0,297.0,248.0,MEDIUM,2.0,True,00:49:45,Ferrari,SAI,1,False,2021-06-19 13:35:12.830
38,00:53:56,55,00:01:31,9,4,,,00:00:22,00:00:27,00:00:40,00:52:47,00:53:15,00:53:56,123.0,281.0,297.0,323.0,MEDIUM,3.0,True,00:52:25,Ferrari,SAI,1,True,2021-06-19 13:37:52.594
39,01:00:43,55,,10,5,,00:55:50,00:00:28,00:00:40,,00:54:25,00:55:05,,91.0,213.0,,187.0,MEDIUM,1.0,True,00:53:56,Ferrari,SAI,1,False,2021-06-19 13:39:23.740
40,01:03:19,55,,11,5,01:00:43,,00:00:41,00:00:37,00:01:18,01:01:23,01:02:01,01:03:19,95.0,233.0,296.0,295.0,MEDIUM,2.0,True,01:00:43,Ferrari,SAI,1,False,2021-06-19 13:46:10.262
41,01:04:50,55,00:01:31,12,5,,,00:00:22,00:00:27,00:00:40,01:03:42,01:04:10,01:04:50,118.0,280.0,296.0,325.0,MEDIUM,3.0,True,01:03:19,Ferrari,SAI,1,True,2021-06-19 13:48:46.569
42,01:12:43,55,,13,6,,01:06:46,00:00:28,00:00:40,,01:05:19,01:06:00,,86.0,207.0,,219.0,MEDIUM,1.0,True,01:04:50,Ferrari,SAI,1,False,2021-06-19 13:50:18.083
43,01:15:21,55,,14,6,01:12:43,,00:00:49,00:00:45,00:01:03,01:13:32,01:14:18,01:15:21,77.0,211.0,296.0,258.0,SOFT,2.0,True,01:12:43,Ferrari,SAI,1,False,2021-06-19 13:58:11.120
