,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,00:00:46,28.6,49.8,966.6,True,44.1,239,0.4
1,00:01:46,28.6,49.8,966.6,True,44.1,239,0.4
2,00:02:46,28.6,50.2,966.4,True,44.8,284,0.5
3,00:03:46,28.6,50.2,966.4,True,44.8,284,0.5
4,00:04:46,28.6,50.2,966.6,True,44.6,243,0.5
5,00:05:46,28.7,50.2,966.6,True,44.6,243,0.5
6,00:06:46,28.7,50.1,966.5,True,43.9,237,0.3
7,00:07:46,28.5,50.1,966.5,True,43.9,237,0.3
8,00:08:46,28.5,50.0,966.3,True,43.3,208,0.2
9,00:09:46,28.2,50.0,966.3,True,43.3,208,0.2
10,00:10:46,28.2,50.1,966.3,True,43.5,238,0.4
11,00:11:46,28.4,51.5,966.3,True,44.5,236,0.7
12,00:12:46,28.4,52.4,966.5,True,44.2,281,0.3
13,00:13:46,28.4,52.4,966.5,True,44.2,281,0.3
14,00:14:46,28.4,50.5,966.4,True,45.0,216,0.4
15,00:15:46,28.5,49.8,966.5,True,45.7,203,0.4
16,00:16:46,28.6,50.1,966.5,True,45.7,228,0.2
17,00:17:46,28.7,49.9,966.4,True,45.2,244,0.5
18,00:18:46,28.8,50.4,966.4,True,44.9,178,0.4
19,00:19:46,28.8,50.6,966.4,True,44.2,0,0.4
20,00:20:46,28.8,50.0,966.4,True,44.0,255,0.2
21,00:21:46,28.8,49.3,966.5,True,44.0,257,0.3
22,00:22:46,28.8,49.0,966.6,True,44.2,297,0.5
23,00:23:46,28.6,48.7,966.4,True,44.2,281,0.3
24,00:24:46,28.7,48.3,966.5,True,44.4,247,0.3
25,00:25:46,28.7,47.7,966.5,True,44.4,238,0.2
26,00:26:46,28.8,47.8,966.4,True,44.4,274,0.3
27,00:27:46,28.8,47.4,966.5,True,44.4,202,0.3
28,00:28:46,28.8,47.0,966.4,True,44.7,254,0.4
29,00:29:46,28.8,46.3,966.5,True,45.1,237,0.3
30,00:30:46,28.9,45.0,966.5,True,45.1,236,0.3
31,00:31:46,29.1,45.0,966.5,True,45.1,236,0.3
32,00:32:46,29.1,44.0,966.5,True,45.7,137,0.6
33,00:33:46,29.2,43.3,966.4,True,46.0,136,0.8
34,00:34:46,29.4,42.7,966.4,True,46.0,112,0.5
35,00:35:46,29.4,42.9,966.5,True,45.3,150,0.5
36,00:36:46,29.4,42.9,966.4,True,45.3,139,0.8
37,00:37:46,29.4,42.1,966.4,True,45.2,139,0.6
38,00:38:46,29.4,41.7,966.4,True,44.5,131,0.6
39,00:39:46,29.3,42.0,966.4,True,44.2,140,0.2
40,00:40:46,29.4,41.3,966.3,True,44.5,142,0.4
41,00:41:46,29.4,41.5,966.4,True,44.9,133,0.5
42,00:42:46,29.4,41.2,966.4,True,44.9,148,0.5
43,00:43:46,29.5,41.6,966.4,True,45.2,187,0.4
44,00:44:46,29.7,42.0,966.4,True,44.9,203,0.2
45,00:45:46,29.7,42.3,966.4,True,44.4,192,0.1
46,00:46:46,29.8,41.9,966.4,True,44.7,0,0.2
47,00:47:46,29.9,41.0,966.4,True,44.8,170,0.1
48,00:48:46,29.9,41.1,966.4,True,44.7,265,0.1
49,00:49:46,29.9,41.6,966.5,True,44.7,166,0.2
50,00:50:46,29.8,41.8,966.4,True,44.3,191,0.2
51,00:51:46,29.8,42.4,966.5,True,44.1,214,0.2
52,00:52:46,29.7,42.7,966.5,True,44.4,168,0.3
53,00:53:46,29.6,42.4,966.4,True,44.4,94,0.2
54,00:54:46,29.5,41.5,966.5,True,44.6,168,0.2
55,00:55:46,29.8,41.7,966.5,True,45.2,162,0.2
56,00:56:46,29.9,42.5,966.5,True,44.7,31,0.1
57,00:57:46,29.9,42.0,966.6,True,44.0,83,0.3
58,00:58:46,29.9,42.0,966.6,True,44.0,83,0.3
59,00:59:46,29.9,42.1,966.6,True,43.8,116,0.1
60,01:00:46,29.8,42.1,966.6,True,43.8,116,0.1
61,01:01:46,29.8,41.8,966.6,True,44.5,89,0.5
62,01:02:46,29.9,41.8,966.6,True,44.5,89,0.5
63,01:03:46,29.9,41.2,966.6,True,45.4,30,0.4
64,01:04:46,30.0,41.2,966.6,True,45.4,30,0.4
65,01:05:46,30.0,41.6,966.7,True,45.3,74,0.3
66,01:06:46,30.0,41.6,966.7,True,45.3,74,0.3
67,01:07:46,30.1,42.0,966.8,True,45.0,143,0.3
68,01:08:46,30.3,42.0,966.8,True,45.0,143,0.3
69,01:09:46,30.3,43.0,966.8,True,44.1,89,0.3
70,01:10:46,30.2,43.0,966.8,True,44.1,89,0.3
71,01:11:46,30.2,42.6,966.7,True,45.1,65,0.3
72,01:12:46,30.0,42.6,966.7,True,45.1,65,0.3
73,01:13:46,30.0,42.5,966.9,True,44.2,121,0.3
74,01:14:46,29.8,42.5,966.9,True,44.2,121,0.3
75,01:15:46,29.8,41.7,966.8,True,43.5,108,0.3
76,01:16:46,29.9,42.1,966.9,True,43.4,97,0.3
77,01:17:46,29.8,42.1,966.9,True,43.4,97,0.3
78,01:18:46,29.7,42.9,966.9,True,43.5,85,0.6
79,01:19:46,29.5,43.7,966.9,True,43.0,110,0.6
80,01:20:46,29.4,44.4,966.8,True,42.8,97,0.7
81,01:21:46,29.4,44.9,966.8,True,42.3,102,0.5
82,01:22:46,29.2,44.2,966.8,True,42.0,104,0.6
83,01:23:46,29.2,44.7,966.9,True,42.0,120,0.5
84,01:24:46,29.1,44.7,966.8,True,41.9,132,0.6
85,01:25:46,29.1,44.7,966.8,True,42.1,93,0.6
86,01:26:46,29.2,44.7,966.7,True,41.9,103,0.5
87,01:27:46,29.2,44.7,966.9,True,41.8,0,0.4
