,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:35:12,33,,1,1,00:00:06,,,00:00:29,00:00:44,,00:34:28,00:35:12,111.0,275.0,293.0,304.0,MEDIUM,4.0,False,00:33:26,Red Bull,VER,1,False,2021-06-20 13:03:26.320
1,00:36:52,33,00:01:39,2,1,,,00:00:25,00:00:29,00:00:44,00:35:38,00:36:07,00:36:52,108.0,274.0,293.0,300.0,MEDIUM,5.0,False,00:35:12,Red Bull,VER,1,True,2021-06-20 13:05:12.819
2,00:38:31,33,00:01:39,3,1,,,00:00:25,00:00:29,00:00:44,00:37:17,00:37:47,00:38:31,106.0,273.0,294.0,299.0,MEDIUM,6.0,False,00:36:52,Red Bull,VER,1,True,2021-06-20 13:06:52.432
3,00:40:12,33,00:01:40,4,1,,,00:00:25,00:00:29,00:00:44,00:38:57,00:39:27,00:40:12,,274.0,294.0,296.0,MEDIUM,7.0,False,00:38:31,Red Bull,VER,1,True,2021-06-20 13:08:32.003
4,00:41:51,33,00:01:39,5,1,,,00:00:25,00:00:29,00:00:44,00:40:37,00:41:07,00:41:51,107.0,277.0,294.0,297.0,MEDIUM,8.0,False,00:40:12,Red Bull,VER,1,True,2021-06-20 13:10:12.027
5,00:43:30,33,00:01:38,6,1,,,00:00:25,00:00:29,00:00:44,00:42:16,00:42:45,00:43:30,101.0,277.0,294.0,303.0,MEDIUM,9.0,False,00:41:51,Red Bull,VER,1,True,2021-06-20 13:11:51.435
6,00:45:09,33,00:01:39,7,1,,,00:00:25,00:00:29,00:00:44,00:43:55,00:44:24,00:45:09,108.0,273.0,293.0,300.0,MEDIUM,10.0,False,00:43:30,Red Bull,VER,1,True,2021-06-20 13:13:30.162
7,00:46:48,33,00:01:39,8,1,,,00:00:25,00:00:29,00:00:44,00:45:34,00:46:04,00:46:48,106.0,275.0,293.0,297.0,MEDIUM,11.0,False,00:45:09,Red Bull,VER,1,True,2021-06-20 13:15:09.592
8,00:48:27,33,00:01:39,9,1,,,00:00:25,00:00:29,00:00:44,00:47:13,00:47:43,00:48:27,,277.0,293.0,300.0,MEDIUM,12.0,False,00:46:48,Red Bull,VER,1,True,2021-06-20 13:16:48.651
9,00:50:06,33,00:01:38,10,1,,,00:00:25,00:00:29,00:00:44,00:48:52,00:49:22,00:50:06,107.0,277.0,295.0,303.0,MEDIUM,13.0,False,00:48:27,Red Bull,VER,1,True,2021-06-20 13:18:27.773
10,00:51:45,33,00:01:39,11,1,,,00:00:25,00:00:29,00:00:44,00:50:32,00:51:01,00:51:45,104.0,277.0,292.0,301.0,MEDIUM,14.0,False,00:50:06,Red Bull,VER,1,True,2021-06-20 13:20:06.723
11,00:53:25,33,00:01:39,12,1,,,00:00:25,00:00:29,00:00:44,00:52:11,00:52:41,00:53:25,99.0,278.0,292.0,301.0,MEDIUM,15.0,False,00:51:45,Red Bull,VER,1,True,2021-06-20 13:21:45.937
12,00:55:04,33,00:01:39,13,1,,,00:00:25,00:00:29,00:00:44,00:53:50,00:54:20,00:55:04,101.0,276.0,295.0,302.0,MEDIUM,16.0,False,00:53:25,Red Bull,VER,1,True,2021-06-20 13:23:25.244
13,00:56:43,33,00:01:39,14,1,,,00:00:25,00:00:29,00:00:44,00:55:29,00:55:59,00:56:43,103.0,276.0,294.0,300.0,MEDIUM,17.0,False,00:55:04,Red Bull,VER,1,True,2021-06-20 13:25:04.458
14,00:58:23,33,00:01:40,15,1,,,00:00:25,00:00:29,00:00:44,00:57:09,00:57:39,00:58:23,104.0,277.0,294.0,303.0,MEDIUM,18.0,False,00:56:43,Red Bull,VER,1,True,2021-06-20 13:26:43.473
15,01:00:02,33,00:01:39,16,1,,,00:00:25,00:00:29,00:00:44,00:58:48,00:59:18,01:00:02,106.0,275.0,293.0,299.0,MEDIUM,19.0,False,00:58:23,Red Bull,VER,1,True,2021-06-20 13:28:23.770
16,01:01:42,33,00:01:39,17,1,,,00:00:25,00:00:29,00:00:44,01:00:28,01:00:58,01:01:42,101.0,277.0,295.0,301.0,MEDIUM,20.0,False,01:00:02,Red Bull,VER,1,True,2021-06-20 13:30:02.969
17,01:03:40,33,00:01:58,18,1,,01:03:11,00:00:25,00:00:29,00:01:03,01:02:07,01:02:37,01:03:40,99.0,278.0,,304.0,MEDIUM,21.0,False,01:01:42,Red Bull,VER,1,False,2021-06-20 13:31:42.215
18,01:05:20,33,00:01:39,19,2,01:03:41,,00:00:28,00:00:29,00:00:42,01:04:08,01:04:37,01:05:20,112.0,277.0,296.0,298.0,HARD,1.0,True,01:03:40,Red Bull,VER,1,False,2021-06-20 13:33:40.314
19,01:06:58,33,00:01:37,20,2,,,00:00:24,00:00:29,00:00:43,01:05:45,01:06:14,01:06:58,110.0,278.0,293.0,300.0,HARD,2.0,True,01:05:20,Red Bull,VER,1,True,2021-06-20 13:35:20.280
20,01:08:35,33,00:01:37,21,2,,,00:00:24,00:00:29,00:00:43,01:07:22,01:07:51,01:08:35,105.0,278.0,294.0,301.0,HARD,3.0,True,01:06:58,Red Bull,VER,1,True,2021-06-20 13:36:58.056
21,01:10:12,33,00:01:37,22,2,,,00:00:24,00:00:29,00:00:43,01:09:00,01:09:29,01:10:12,108.0,278.0,296.0,306.0,HARD,4.0,True,01:08:35,Red Bull,VER,1,True,2021-06-20 13:38:35.572
22,01:11:50,33,00:01:38,23,2,,,00:00:24,00:00:29,00:00:44,01:10:37,01:11:06,01:11:50,109.0,278.0,295.0,300.0,HARD,5.0,True,01:10:12,Red Bull,VER,1,True,2021-06-20 13:40:12.624
23,01:13:28,33,00:01:37,24,2,,,00:00:24,00:00:29,00:00:43,01:12:15,01:12:44,01:13:28,110.0,279.0,295.0,300.0,HARD,6.0,True,01:11:50,Red Bull,VER,1,True,2021-06-20 13:41:50.710
