,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:20:48,44,,1.0,1.0,00:18:50,,,00:00:49,00:00:27,,00:20:20,00:20:48,210.0,179.0,256.0,300.0,SOFT,1.0,True,,Mercedes,HAM,1,False,
1,00:22:05,44,00:01:16,2.0,1.0,,,00:00:27,00:00:27,00:00:21,00:21:16,00:21:43,00:22:05,283.0,253.0,256.0,280.0,SOFT,2.0,True,00:20:48,Mercedes,HAM,1,True,2021-07-31 13:05:50.296
2,00:23:48,44,00:01:43,3.0,2.0,,00:23:46,00:00:37,00:00:31,00:00:34,00:22:42,00:23:13,00:23:48,257.0,207.0,,,SOFT,1.0,True,00:22:05,Mercedes,HAM,1,False,2021-07-31 13:07:06.720
3,00:32:23,44,,4.0,2.0,00:29:57,,,00:00:54,00:00:44,,00:31:39,00:32:23,188.0,162.0,256.0,300.0,SOFT,5.0,False,00:23:48,Mercedes,HAM,1,False,2021-07-31 13:08:49.833
4,00:33:40,44,00:01:16,5.0,2.0,,,00:00:27,00:00:27,00:00:21,00:32:51,00:33:18,00:33:40,283.0,252.0,259.0,286.0,SOFT,6.0,False,00:32:23,Mercedes,HAM,1,True,2021-07-31 13:17:25.405
5,00:35:18,44,00:01:38,6.0,3.0,,00:35:16,00:00:31,00:00:33,00:00:33,00:34:11,00:34:44,00:35:18,251.0,219.0,,,SOFT,4.0,False,00:33:40,Mercedes,HAM,1,False,2021-07-31 13:18:42.025
6,00:43:06,44,,7.0,3.0,00:41:19,,,00:00:42,00:00:26,,00:42:39,00:43:06,230.0,201.0,257.0,301.0,MEDIUM,2.0,True,00:35:18,Mercedes,HAM,1,False,2021-07-31 13:20:20.056
7,00:44:22,44,00:01:16,8.0,3.0,,,00:00:27,00:00:27,00:00:21,00:43:34,00:44:01,00:44:22,283.0,251.0,260.0,280.0,MEDIUM,3.0,True,00:43:06,Mercedes,HAM,1,True,2021-07-31 13:28:07.983
8,00:46:06,44,00:01:43,9.0,4.0,,00:46:03,00:00:36,00:00:35,00:00:31,00:44:59,00:45:35,00:46:06,221.0,199.0,,,MEDIUM,1.0,True,00:44:22,Mercedes,HAM,1,False,2021-07-31 13:29:24.536
9,01:02:26,44,,10.0,4.0,01:00:09,,,00:00:44,00:00:55,,01:01:30,01:02:26,229.0,174.0,258.0,305.0,SOFT,2.0,True,00:46:06,Mercedes,HAM,25,False,2021-07-31 13:31:08.267
10,01:03:46,44,00:01:20,11.0,4.0,,,00:00:27,00:00:26,00:00:26,01:02:53,01:03:20,01:03:46,284.0,254.0,152.0,246.0,SOFT,3.0,True,01:02:26,Mercedes,HAM,1,True,2021-07-31 13:47:27.831
11,01:05:21,44,00:01:34,12.0,5.0,,01:05:19,00:00:32,00:00:30,00:00:31,01:04:19,01:04:50,01:05:21,255.0,239.0,,,SOFT,1.0,True,01:03:46,Mercedes,HAM,1,False,2021-07-31 13:48:48.435
12,01:14:56,44,,13.0,5.0,01:12:41,,,00:00:52,00:00:43,,01:14:12,01:14:56,199.0,66.0,258.0,303.0,SOFT,2.0,True,01:05:21,Mercedes,HAM,1,False,2021-07-31 13:50:23.146
13,01:16:11,44,00:01:15,14.0,5.0,,,00:00:27,00:00:26,00:00:21,01:15:23,01:15:50,01:16:11,284.0,256.0,259.0,283.0,SOFT,3.0,True,01:14:56,Mercedes,HAM,1,True,2021-07-31 13:59:57.884
14,01:17:41,44,00:01:29,15.0,6.0,,01:17:39,00:00:30,00:00:31,00:00:26,01:16:42,01:17:14,01:17:41,249.0,226.0,,,SOFT,1.0,True,01:16:11,Mercedes,HAM,1,False,2021-07-31 14:01:13.303
15,01:22:52,44,,16.0,6.0,01:20:42,,,00:00:45,00:00:41,,01:22:10,01:22:52,218.0,205.0,257.0,302.0,SOFT,2.0,True,01:17:41,Mercedes,HAM,1,False,2021-07-31 14:02:42.892
16,01:24:10,44,00:01:17,17.0,6.0,,,00:00:27,00:00:27,00:00:22,01:23:20,01:23:48,01:24:10,284.0,248.0,253.0,218.0,SOFT,3.0,True,01:22:52,Mercedes,HAM,1,True,2021-07-31 14:07:54.467
17,01:26:07,44,00:01:57,18.0,7.0,,01:26:07,00:00:36,00:00:34,00:00:45,01:24:46,01:25:21,01:26:07,205.0,189.0,23.0,,SOFT,1.0,True,01:24:10,Mercedes,HAM,1,False,2021-07-31 14:09:12.221
18,00:21:25,33,,1.0,1.0,00:19:26,,,00:00:54,00:00:33,,00:20:52,00:21:25,269.0,99.0,260.0,299.0,SOFT,1.0,True,,Red Bull,VER,1,False,
19,00:22:41,33,00:01:16,2.0,1.0,,,00:00:27,00:00:27,00:00:21,00:21:53,00:22:20,00:22:41,281.0,251.0,258.0,212.0,SOFT,2.0,True,00:21:25,Red Bull,VER,1,True,2021-07-31 13:06:27.361
20,00:24:31,33,00:01:49,3.0,2.0,,00:24:29,00:00:34,00:00:36,00:00:38,00:23:16,00:23:53,00:24:31,208.0,169.0,,,SOFT,1.0,True,00:22:41,Red Bull,VER,1,False,2021-07-31 13:07:43.575
21,00:43:12,33,,4.0,2.0,00:41:25,,,00:00:43,00:00:27,,00:42:44,00:43:12,238.0,159.0,260.0,300.0,MEDIUM,2.0,True,00:24:31,Red Bull,VER,1,False,2021-07-31 13:09:33.456
22,00:44:29,33,00:01:16,5.0,2.0,,,00:00:27,00:00:27,00:00:21,00:43:40,00:44:07,00:44:29,280.0,251.0,261.0,245.0,MEDIUM,3.0,True,00:43:12,Red Bull,VER,1,True,2021-07-31 13:28:13.923
23,00:46:30,33,00:02:01,6.0,2.0,,,00:00:44,00:00:47,00:00:28,00:45:13,00:46:01,00:46:30,147.0,179.0,261.0,298.0,MEDIUM,4.0,True,00:44:29,Red Bull,VER,1,True,2021-07-31 13:29:30.692
24,00:47:47,33,00:01:16,7.0,2.0,,,00:00:27,00:00:27,00:00:21,00:46:58,00:47:25,00:47:47,281.0,251.0,258.0,272.0,MEDIUM,5.0,True,00:46:30,Red Bull,VER,1,True,2021-07-31 13:31:31.970
25,00:59:09,33,,8.0,3.0,,00:49:35,,,,,,,,,,,MEDIUM,1.0,True,00:47:47,Red Bull,VER,25,False,2021-07-31 13:32:48.849
26,01:01:12,33,,9.0,3.0,00:59:09,,,00:00:49,00:00:35,,01:00:36,01:01:12,212.0,128.0,262.0,302.0,SOFT,2.0,True,00:59:09,Red Bull,VER,1,False,2021-07-31 13:44:11.142
