,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2021-08-01 13:03:12.833,01:02:12,,1.8733333333333335,,10904,0,2,15,100,1,interpolation,0.0034076048748056496,2.5994597115640584e-07,OnTrack,-547,-941,2390
3,2021-08-01 13:03:12.884,01:02:12,,1.8733333333333335,00:00:00,10904,0,2,15,100,1,car,0.0,0.0,OnTrack,-547,-941,2390
4,2021-08-01 13:03:12.981,01:02:12,,1.8733333333333335,00:00:00,10864,0,2,15,50,1,pos,-0.010702527990104595,-8.164324017687139e-07,OnTrack,-547,-942,2390
5,2021-08-01 13:03:13.124,01:02:13,99,1.8733333333333335,00:00:00,10824,0,2,15,0,1,car,0.0,0.0,OnTrack,-546,-942,2389
6,2021-08-01 13:03:13.201,01:02:13,99,0.9366666666666668,00:00:00,10264,1,2,15,0,1,pos,0.04384044366081266,3.344327503342832e-06,OnTrack,-547,-942,2390
7,2021-08-01 13:03:13.364,01:02:13,22,0.0,00:00:00,9704,3,2,15,0,1,car,0.19999999999999998,1.525681413818447e-05,OnTrack,-547,-941,2390
8,2021-08-01 13:03:13.421,01:02:13,22,0.033333333333333326,00:00:00,9564,3,2,14,0,1,pos,0.2616236052884288,1.995771360023647e-05,OnTrack,-548,-941,2390
9,2021-08-01 13:03:13.604,01:02:13,31,0.06666666666666665,00:00:00,9424,4,2,14,0,1,car,0.4666666666666667,3.55992329890971e-05,OnTrack,-548,-939,2389
10,2021-08-01 13:03:13.641,01:02:13,31,0.10000000000000014,00:00:00,9611,4,2,14,0,1,pos,0.5051659321058504,3.853611367540837e-05,OnTrack,-549,-939,2389
11,2021-08-01 13:03:13.844,01:02:13,14,0.13333333333333364,00:00:01,9799,4,2,14,0,1,car,0.7333333333333334,5.5941651840009736e-05,OnTrack,-550,-938,2388
12,2021-08-01 13:03:13.861,01:02:13,14,0.3333333333333336,00:00:01,9279,5,2,15,0,1,pos,0.7593224117845345,5.7924204537773074e-05,OnTrack,-551,-938,2389
13,2021-08-01 13:03:14.081,01:02:14,14,0.5333333333333337,00:00:01,8759,6,2,16,0,1,pos,1.1933391694283404,9.103276955891809e-05,OnTrack,-554,-936,2390
14,2021-08-01 13:03:14.084,01:02:14,14,0.7333333333333336,00:00:01,8240,7,2,18,0,1,car,1.2,9.154088482910683e-05,OnTrack,-554,-935,2390
15,2021-08-01 13:03:14.300,01:02:14,14,1.1333333333333333,00:00:01,8919,8,2,20,0,1,pos,1.7304513928220304,0.00013200587637724083,OnTrack,-557,-932,2390
16,2021-08-01 13:03:14.324,01:02:14,47,1.5333333333333332,00:00:01,9599,9,2,22,0,1,car,1.7999999999999998,0.00013731132724366024,OnTrack,-557,-931,2389
17,2021-08-01 13:03:14.520,01:02:14,47,1.9000000000000001,00:00:01,9972,11,2,23,0,1,pos,2.4764014845224636,0.00018890998590441672,OnTrack,-562,-928,2390
18,2021-08-01 13:03:14.564,01:02:14,5,2.266666666666667,00:00:01,10345,13,2,24,0,1,car,2.6666666666666665,0.0002034241885091263,OnTrack,-563,-926,2390
19,2021-08-01 13:03:14.740,01:02:14,5,2.566666666666667,00:00:01,9875,16,2,23,0,1,pos,3.5791054447739605,0.0002730287327594019,OnTrack,-569,-922,2390
20,2021-08-01 13:03:14.804,01:02:14,5,2.8666666666666667,00:00:01,9405,19,2,22,0,1,car,3.933333333333333,0.00030005067805096125,OnTrack,-571,-919,2389
21,2021-08-01 13:03:14.960,01:02:14,5,3.2333333333333343,00:00:02,8845,20,2,21,0,1,pos,4.803659798290249,0.00036644272362791516,OnTrack,-578,-914,2390
22,2021-08-01 13:03:15.044,01:02:15,5,3.6000000000000014,00:00:02,8285,21,2,21,0,1,car,5.333333333333334,0.00040684837701825263,OnTrack,-582,-910,2390
23,2021-08-01 13:03:15.180,01:02:15,5,3.2673611111111125,00:00:02,8384,24,2,22,0,1,pos,6.336199408281028,0.00048335108357309037,OnTrack,-589,-904,2390
24,2021-08-01 13:03:15.285,01:02:15,99,2.9347222222222236,00:00:02,8484,27,2,23,0,1,car,7.140833333333331,0.0005447318347920946,OnTrack,-594,-898,2390
25,2021-08-01 13:03:15.381,01:02:15,99,2.301388888888889,00:00:02,8484,27,2,23,0,1,pos,7.842714100957523,0.0005982741568861373,OnTrack,-600,-894,2390
26,2021-08-01 13:03:15.525,01:02:15,99,1.6680555555555543,00:00:02,8484,27,2,23,0,1,car,8.940833333333334,0.0006820431620357551,OnTrack,-609,-885,2389
27,2021-08-01 13:03:15.601,01:02:15,99,3.966805555555556,00:00:02,8542,31,2,23,0,1,pos,9.611743247206448,0.0007332229013328924,OnTrack,-615,-881,2390
28,2021-08-01 13:03:15.764,01:02:15,5,6.265555555555558,00:00:02,8600,35,2,23,0,1,car,11.264444444444443,0.0008592976762939675,OnTrack,-627,-869,2390
29,2021-08-01 13:03:15.821,01:02:15,5,6.765555555555559,00:00:02,8816,39,2,24,0,1,pos,11.909020333595645,0.000908468548987642,OnTrack,-632,-865,2390
30,2021-08-01 13:03:16.004,01:02:15,5,7.26555555555556,00:00:03,9033,43,2,26,0,1,car,14.131111111111112,0.0010779786789412785,OnTrack,-646,-850,2389
31,2021-08-01 13:03:16.041,01:02:16,5,7.732222222222226,00:00:03,9240,43,2,26,0,1,pos,14.582728220403824,0.0011124298704317938,OnTrack,-650,-848,2390
32,2021-08-01 13:03:16.261,01:02:16,5,8.198888888888892,00:00:03,9448,44,2,26,0,1,pos,17.323192722836048,0.0013214836582612968,OnTrack,-671,-830,2390
33,2021-08-01 13:03:16.284,01:02:16,5,8.665555555555557,00:00:03,9656,45,2,27,0,1,car,17.63111111111111,0.0013449729263595065,OnTrack,-673,-827,2389
34,2021-08-01 13:03:16.481,01:02:16,5,9.332222222222224,00:00:03,9472,48,2,26,0,1,pos,20.45697165798301,0.001560541072079771,OnTrack,-693,-809,2389
35,2021-08-01 13:03:16.524,01:02:16,5,9.998888888888892,00:00:03,9289,52,2,26,0,1,car,21.09777777777778,0.001609424371421371,OnTrack,-697,-804,2388
36,2021-08-01 13:03:16.701,01:02:16,5,10.732222222222225,00:00:03,9282,54,2,26,0,1,pos,23.799719039335553,0.0018155394496207637,OnTrack,-718,-787,2389
37,2021-08-01 13:03:16.764,01:02:16,5,11.465555555555557,00:00:03,9276,56,2,26,0,1,car,24.83111111111111,0.0018942182353341476,OnTrack,-725,-780,2388
38,2021-08-01 13:03:16.921,01:02:16,5,12.098888888888894,00:00:04,9685,60,2,28,0,1,pos,27.61514145388865,0.0021065954028082617,OnTrack,-744,-762,2389
39,2021-08-01 13:03:17.004,01:02:16,5,12.73222222222223,00:00:04,10094,65,2,31,0,1,car,29.164444444444445,0.002224782541661478,OnTrack,-754,-752,2389
40,2021-08-01 13:03:17.141,01:02:17,5,13.498888888888898,00:00:04,10070,67,2,30,0,1,pos,31.79324625531121,0.002425318244834063,OnTrack,-773,-736,2390
41,2021-08-01 13:03:17.244,01:02:17,5,14.265555555555565,00:00:04,10047,70,2,30,0,1,car,33.83111111111111,0.0025807748715524492,OnTrack,-787,-722,2389
42,2021-08-01 13:03:17.361,01:02:17,5,14.965555555555564,00:00:04,9767,72,2,29,0,1,pos,36.21227954796901,0.0027624200929167106,OnTrack,-804,-707,2389
