,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,01:04:11,44,,1.0,1.0,00:26:11,,,00:00:38,00:00:41,,01:03:30,01:04:11,256.0,71.0,103.0,239.0,INTERMEDIATE,1.0,True,01:02:12,Mercedes,HAM,24,False,2021-08-01 13:03:12.833
1,01:07:00,44,,2.0,1.0,,01:06:57,00:01:04,00:00:56,00:00:47,01:05:15,01:06:12,01:07:00,122.0,172.0,,191.0,INTERMEDIATE,2.0,True,01:04:11,Mercedes,HAM,45,False,2021-08-01 13:05:11.131
2,01:33:46,44,,3.0,2.0,01:31:06,,,00:00:53,00:00:55,,01:32:51,01:33:47,100.0,206.0,48.0,,INTERMEDIATE,,True,01:07:00,Mercedes,HAM,5,False,2021-08-01 13:08:00.115
3,01:35:36,44,00:01:49,4.0,2.0,,01:35:35,00:00:49,00:00:31,00:00:28,01:34:36,01:35:08,01:35:36,274.0,226.0,,245.0,INTERMEDIATE,,True,01:33:46,Mercedes,HAM,1,False,2021-08-01 13:34:46.958
4,01:37:19,44,00:01:43,5.0,3.0,01:35:56,,00:00:50,00:00:30,00:00:23,01:36:26,01:36:56,01:37:19,277.0,237.0,244.0,293.0,MEDIUM,4.0,False,01:35:36,Mercedes,HAM,1,False,2021-08-01 13:36:36.670
5,01:38:43,44,00:01:23,6.0,3.0,,,00:00:29,00:00:30,00:00:23,01:37:49,01:38:19,01:38:43,279.0,233.0,248.0,296.0,MEDIUM,5.0,False,01:37:19,Mercedes,HAM,1,True,2021-08-01 13:38:19.902
6,01:40:09,44,00:01:25,7.0,3.0,,,00:00:30,00:00:31,00:00:24,01:39:13,01:39:44,01:40:09,282.0,232.0,251.0,312.0,MEDIUM,6.0,False,01:38:43,Mercedes,HAM,1,True,2021-08-01 13:39:43.539
7,01:41:34,44,00:01:25,8.0,3.0,,,00:00:30,00:00:31,00:00:24,01:40:39,01:41:10,01:41:34,,232.0,251.0,313.0,MEDIUM,7.0,False,01:40:09,Mercedes,HAM,1,True,2021-08-01 13:41:09.136
8,01:43:00,44,00:01:25,9.0,3.0,,,00:00:29,00:00:31,00:00:24,01:42:04,01:42:36,01:43:00,249.0,232.0,254.0,314.0,MEDIUM,8.0,False,01:41:34,Mercedes,HAM,1,True,2021-08-01 13:42:34.872
9,01:44:25,44,00:01:24,10.0,3.0,,,00:00:29,00:00:31,00:00:24,01:43:30,01:44:01,01:44:25,263.0,229.0,256.0,317.0,MEDIUM,9.0,False,01:43:00,Mercedes,HAM,1,True,2021-08-01 13:44:00.582
