,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2021-09-12 13:03:16.241,01:02:14,,0.0,,10888,0,1,13,100,1,interpolation,0.010792297426481896,7.519949091571974e-08,OnTrack,-1132,2101,1885
3,2021-09-12 13:03:16.270,01:02:14,,0.0,00:00:00,10895,0,1,13,100,1,pos,0.01286051576473266,8.961059913419598e-08,OnTrack,-1132,2102,1886
4,2021-09-12 13:03:16.413,01:02:14,,0.0,00:00:00,10908,0,1,13,100,1,car,0.0,0.0,OnTrack,-1131,2102,1886
5,2021-09-12 13:03:16.490,01:02:14,,0.0,00:00:00,10571,0,1,13,50,1,pos,-0.022630798438199786,-1.576888084452704e-07,OnTrack,-1132,2102,1886
6,2021-09-12 13:03:16.653,01:02:15,,0.0,00:00:00,10234,0,1,13,0,1,car,0.0,0.0,OnTrack,-1132,2101,1885
7,2021-09-12 13:03:16.710,01:02:15,,0.0,00:00:00,9819,4,1,13,0,1,pos,0.08450365334257172,5.888117664629034e-07,OnTrack,-1132,2102,1886
8,2021-09-12 13:03:16.893,01:02:15,6,0.0,00:00:00,9404,9,1,13,0,1,car,0.6,4.180731198041127e-06,OnTrack,-1130,2102,1886
9,2021-09-12 13:03:16.930,01:02:15,6,0.0,00:00:00,8494,12,1,14,0,1,pos,0.7362415275546539,5.130046539235329e-06,OnTrack,-1130,2103,1886
10,2021-09-12 13:03:17.133,01:02:15,3,0.0,00:00:00,7584,16,1,16,0,1,car,1.6666666666666665,1.1613142216780907e-05,OnTrack,-1122,2105,1885
11,2021-09-12 13:03:17.150,01:02:15,3,0.0,00:00:00,6954,19,1,18,0,1,pos,1.7593338777588556,1.2258836717528539e-05,OnTrack,-1122,2107,1886
12,2021-09-12 13:03:17.334,01:02:15,99,0.0,00:00:01,6324,23,1,20,0,1,car,2.9508333333333328,2.0561068294810594e-05,OnTrack,-1129,2129,1886
13,2021-09-12 13:03:17.370,01:02:15,99,0.03722222222222241,00:00:01,5764,26,1,21,0,1,pos,3.2420331767644774,2.259011541197273e-05,OnTrack,-1130,2134,1886
14,2021-09-12 13:03:17.571,01:02:15,99,0.07444444444444483,00:00:01,5204,30,1,22,0,1,pos,5.185955723954219,3.613514481132561e-05,OnTrack,-1128,2151,1886
15,2021-09-12 13:03:17.574,01:02:15,44,0.11166666666666725,00:00:01,4644,34,1,23,0,1,car,5.217500000000001,3.635494170963264e-05,OnTrack,-1127,2151,1886
16,2021-09-12 13:03:17.791,01:02:16,44,0.2116666666666669,00:00:01,4915,37,1,26,0,1,pos,7.668291663144316,5.34317769863102e-05,OnTrack,-1125,2175,1886
17,2021-09-12 13:03:17.814,01:02:16,44,0.31166666666666654,00:00:01,5187,41,1,29,0,1,car,7.9508333333333345,5.5400494945153335e-05,OnTrack,-1124,2177,1885
18,2021-09-12 13:03:18.011,01:02:16,44,0.3783333333333334,00:00:01,6027,45,1,35,0,1,pos,10.578883270148637,7.371244554657625e-05,OnTrack,-1123,2201,1886
19,2021-09-12 13:03:18.054,01:02:16,44,0.4450000000000003,00:00:01,6867,49,1,41,0,1,car,11.217500000000001,7.816225369004391e-05,OnTrack,-1122,2204,1886
20,2021-09-12 13:03:18.231,01:02:16,44,0.22250000000000014,00:00:01,7588,54,1,42,0,1,pos,14.11247582200051,9.833411325106438e-05,OnTrack,-1122,2220,1886
21,2021-09-12 13:03:18.294,01:02:16,99,0.0,00:00:02,8310,60,1,44,0,1,car,15.217499999999998,0.00010603379501031807,OnTrack,-1121,2227,1885
22,2021-09-12 13:03:18.451,01:02:16,99,0.027916666666666146,00:00:02,8004,64,1,41,0,1,pos,18.107522665432864,0.00012617114154435334,OnTrack,-1119,2254,1886
23,2021-09-12 13:03:18.534,01:02:16,63,0.05583333333333229,00:00:02,7698,68,1,39,0,1,car,19.750833333333336,0.00013762154183996218,OnTrack,-1117,2270,1886
24,2021-09-12 13:03:18.671,01:02:17,63,0.194583333333334,00:00:02,8189,73,1,48,0,1,pos,22.674289455283958,0.00015799184886520102,OnTrack,-1115,2300,1887
25,2021-09-12 13:03:18.774,01:02:17,14,0.3333333333333357,00:00:02,8680,79,1,57,0,1,car,25.017500000000005,0.00017431907124498987,OnTrack,-1113,2322,1887
26,2021-09-12 13:03:18.891,01:02:17,14,0.21083333333333343,00:00:02,9240,83,1,66,0,1,pos,27.80754583599008,0.00019375979069580394,OnTrack,-1111,2348,1887
27,2021-09-12 13:03:19.014,01:02:17,5,0.08833333333333115,00:00:02,9800,88,1,76,0,1,car,30.884166666666665,0.00021519733184805861,OnTrack,-1108,2373,1887
