,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,01:03:54,33,,1.0,1.0,00:24:40,,,00:00:30,00:00:39,,01:03:15,01:03:54,321.0,314.0,227.0,282.0,MEDIUM,1.0,True,01:02:14,Red Bull,VER,26,False,2021-09-12 13:03:16.241
1,01:05:24,33,00:01:30,2.0,1.0,,,00:00:32,00:00:29,00:00:28,01:04:26,01:04:55,01:05:24,309.0,313.0,309.0,291.0,MEDIUM,2.0,True,01:03:54,Red Bull,VER,67,False,2021-09-12 13:04:55.933
2,01:06:50,33,00:01:25,3.0,1.0,,,00:00:28,00:00:29,00:00:28,01:05:52,01:06:21,01:06:50,314.0,324.0,309.0,318.0,MEDIUM,3.0,True,01:05:24,Red Bull,VER,1,True,2021-09-12 13:06:26.058
3,01:08:16,33,00:01:26,4.0,1.0,,,00:00:28,00:00:29,00:00:28,01:07:18,01:07:47,01:08:16,313.0,323.0,307.0,323.0,MEDIUM,4.0,True,01:06:50,Red Bull,VER,1,True,2021-09-12 13:07:51.866
4,01:09:43,33,00:01:26,5.0,1.0,,,00:00:28,00:00:29,00:00:28,01:08:44,01:09:14,01:09:43,314.0,323.0,308.0,325.0,MEDIUM,5.0,True,01:08:16,Red Bull,VER,1,True,2021-09-12 13:09:18.261
5,01:11:09,33,00:01:26,6.0,1.0,,,00:00:28,00:00:29,00:00:28,01:10:11,01:10:40,01:11:09,312.0,324.0,309.0,322.0,MEDIUM,6.0,True,01:09:43,Red Bull,VER,1,True,2021-09-12 13:10:44.638
6,01:12:36,33,00:01:27,7.0,1.0,,,00:00:28,00:00:29,00:00:29,01:11:37,01:12:07,01:12:36,314.0,323.0,308.0,337.0,MEDIUM,7.0,True,01:11:09,Red Bull,VER,1,True,2021-09-12 13:12:10.979
7,01:14:02,33,00:01:26,8.0,1.0,,,00:00:28,00:00:29,00:00:28,01:13:04,01:13:34,01:14:02,313.0,316.0,310.0,318.0,MEDIUM,8.0,True,01:12:36,Red Bull,VER,1,True,2021-09-12 13:13:38.138
8,01:15:29,33,00:01:26,9.0,1.0,,,00:00:28,00:00:29,00:00:28,01:14:30,01:15:00,01:15:29,,321.0,307.0,324.0,MEDIUM,9.0,True,01:14:02,Red Bull,VER,1,True,2021-09-12 13:15:04.471
9,01:16:55,33,00:01:26,10.0,1.0,,,00:00:28,00:00:29,00:00:28,01:15:57,01:16:27,01:16:55,314.0,323.0,308.0,326.0,MEDIUM,10.0,True,01:15:29,Red Bull,VER,1,True,2021-09-12 13:16:31.002
