,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:17:45,33,00:01:35,1.0,1.0,00:16:10,,00:00:24,00:00:38,00:00:32,00:16:34,00:17:12,00:17:45,186.0,181.0,269.0,258.0,SOFT,1.0,True,,Red Bull,VER,1,False,
1,00:18:58,33,00:01:12,2.0,1.0,,,00:00:19,00:00:34,00:00:19,00:18:04,00:18:38,00:18:58,215.0,197.0,268.0,280.0,SOFT,2.0,True,00:17:45,Red Bull,VER,1,True,2021-05-22 13:02:45.897
2,00:20:30,33,00:01:32,3.0,1.0,,,00:00:21,00:00:43,00:00:27,00:19:19,00:20:03,00:20:30,189.0,161.0,271.0,248.0,SOFT,3.0,True,00:18:58,Red Bull,VER,1,True,2021-05-22 13:03:58.884
3,00:21:42,33,00:01:11,4.0,1.0,,,00:00:18,00:00:33,00:00:18,00:20:49,00:21:23,00:21:42,222.0,202.0,269.0,282.0,SOFT,4.0,True,00:20:30,Red Bull,VER,1,True,2021-05-22 13:05:31.442
4,00:23:19,33,00:01:37,5.0,1.0,,,00:00:23,00:00:45,00:00:28,00:22:05,00:22:51,00:23:19,117.0,161.0,269.0,243.0,SOFT,5.0,True,00:21:42,Red Bull,VER,1,True,2021-05-22 13:06:42.964
5,00:24:30,33,00:01:11,6.0,1.0,,,00:00:18,00:00:33,00:00:19,00:23:38,00:24:11,00:24:30,222.0,205.0,268.0,280.0,SOFT,6.0,True,00:23:19,Red Bull,VER,1,True,2021-05-22 13:08:20.442
6,00:41:07,33,,7.0,2.0,,00:25:45,00:00:21,00:00:37,,00:24:52,00:25:29,,180.0,179.0,,254.0,SOFT,1.0,True,00:24:30,Red Bull,VER,2,False,2021-05-22 13:09:31.566
7,00:42:44,33,00:01:36,8.0,2.0,00:41:09,,00:00:26,00:00:39,00:00:30,00:41:34,00:42:13,00:42:44,197.0,95.0,270.0,260.0,SOFT,2.0,True,00:41:07,Red Bull,VER,1,False,2021-05-22 13:26:08.694
8,00:43:55,33,00:01:11,9.0,2.0,,,00:00:18,00:00:33,00:00:19,00:43:02,00:43:36,00:43:55,224.0,205.0,269.0,283.0,SOFT,3.0,True,00:42:44,Red Bull,VER,1,True,2021-05-22 13:27:44.768
9,00:45:34,33,00:01:39,10.0,2.0,,,00:00:26,00:00:43,00:00:29,00:44:21,00:45:05,00:45:34,181.0,120.0,270.0,256.0,SOFT,4.0,True,00:43:55,Red Bull,VER,1,True,2021-05-22 13:28:55.808
10,00:46:45,33,00:01:10,11.0,2.0,,,00:00:18,00:00:33,00:00:18,00:45:53,00:46:26,00:46:45,224.0,207.0,271.0,281.0,SOFT,5.0,True,00:45:34,Red Bull,VER,1,True,2021-05-22 13:30:35.314
11,00:50:10,33,,12.0,3.0,,00:47:58,00:00:20,00:00:37,,00:47:06,00:47:43,,172.0,177.0,,256.0,SOFT,1.0,True,00:46:45,Red Bull,VER,1,False,2021-05-22 13:31:45.964
12,00:51:46,33,00:01:36,13.0,3.0,00:50:11,,00:00:24,00:00:39,00:00:31,00:50:35,00:51:15,00:51:46,201.0,108.0,269.0,256.0,SOFT,2.0,True,00:50:10,Red Bull,VER,1,False,2021-05-22 13:35:11.455
13,00:52:58,33,00:01:11,14.0,3.0,,,00:00:18,00:00:33,00:00:18,00:52:05,00:52:39,00:52:58,220.0,198.0,269.0,280.0,SOFT,3.0,True,00:51:46,Red Bull,VER,1,True,2021-05-22 13:36:47.716
14,00:54:36,33,00:01:38,15.0,3.0,,,00:00:24,00:00:44,00:00:28,00:53:22,00:54:07,00:54:36,165.0,166.0,269.0,248.0,SOFT,4.0,True,00:52:58,Red Bull,VER,1,True,2021-05-22 13:37:58.799
15,01:03:06,33,,16.0,4.0,,00:55:43,00:00:18,00:00:33,,00:54:54,00:55:28,,223.0,201.0,,281.0,SOFT,1.0,True,00:54:36,Red Bull,VER,2,False,2021-05-22 13:39:37.031
16,01:04:28,33,00:01:22,17.0,4.0,01:03:06,,00:00:24,00:00:36,00:00:20,01:03:30,01:04:07,01:04:28,204.0,188.0,268.0,250.0,SOFT,2.0,True,01:03:06,Red Bull,VER,1,False,2021-05-22 13:48:06.994
17,01:05:39,33,00:01:10,18.0,4.0,,,00:00:18,00:00:33,00:00:18,01:04:46,01:05:20,01:05:39,222.0,207.0,270.0,280.0,SOFT,3.0,True,01:04:28,Red Bull,VER,1,True,2021-05-22 13:49:29.212
18,01:10:06,33,,19.0,5.0,,01:06:52,00:00:20,00:00:37,,01:05:59,01:06:36,,190.0,178.0,,257.0,SOFT,1.0,True,01:05:39,Red Bull,VER,1,False,2021-05-22 13:50:39.788
19,01:11:27,33,00:01:21,20.0,5.0,01:10:07,,00:00:23,00:00:37,00:00:20,01:10:30,01:11:07,01:11:27,205.0,195.0,268.0,251.0,SOFT,2.0,True,01:10:06,Red Bull,VER,1,False,2021-05-22 13:55:07.304
20,01:12:42,33,00:01:14,21.0,5.0,,,00:00:18,00:00:33,00:00:22,01:11:46,01:12:20,01:12:42,222.0,203.0,233.0,278.0,SOFT,3.0,True,01:11:27,Red Bull,VER,1,True,2021-05-22 13:56:28.643
21,01:14:06,33,00:01:23,22.0,5.0,,,00:00:23,00:00:39,00:00:20,01:13:05,01:13:45,01:14:06,168.0,182.0,270.0,231.0,SOFT,4.0,True,01:12:42,Red Bull,VER,1,True,2021-05-22 13:57:43.181
22,00:19:30,55,00:01:43,1.0,1.0,00:17:47,,00:00:30,00:00:43,00:00:28,00:18:17,00:19:01,00:19:30,149.0,159.0,268.0,262.0,SOFT,1.0,True,,Ferrari,SAI,1,False,
23,00:20:45,55,00:01:15,2.0,1.0,,,00:00:19,00:00:35,00:00:21,00:19:49,00:20:24,00:20:45,212.0,194.0,268.0,279.0,SOFT,2.0,True,00:19:30,Ferrari,SAI,1,True,2021-05-22 13:04:30.850
24,00:21:57,55,00:01:11,3.0,1.0,,,00:00:18,00:00:33,00:00:19,00:21:04,00:21:37,00:21:57,221.0,204.0,270.0,282.0,SOFT,3.0,True,00:20:45,Ferrari,SAI,1,True,2021-05-22 13:05:46.421
25,00:23:41,55,00:01:44,4.0,1.0,,,00:00:25,00:00:51,00:00:27,00:22:22,00:23:14,00:23:41,63.0,177.0,269.0,241.0,SOFT,4.0,True,00:21:57,Ferrari,SAI,1,True,2021-05-22 13:06:57.762
26,00:24:52,55,00:01:11,5.0,1.0,,,00:00:18,00:00:33,00:00:18,00:23:59,00:24:33,00:24:52,221.0,208.0,269.0,283.0,SOFT,5.0,True,00:23:41,Ferrari,SAI,1,True,2021-05-22 13:08:41.848
27,00:26:37,55,00:01:44,6.0,1.0,,,00:00:24,00:00:52,00:00:27,00:25:17,00:26:09,00:26:37,108.0,138.0,267.0,222.0,SOFT,6.0,True,00:24:52,Ferrari,SAI,1,True,2021-05-22 13:09:53.172
28,00:28:18,55,00:01:41,7.0,1.0,,,00:00:19,00:00:49,00:00:32,00:26:56,00:27:45,00:28:18,179.0,156.0,268.0,218.0,SOFT,7.0,True,00:26:37,Ferrari,SAI,1,True,2021-05-22 13:11:37.935
29,00:40:06,55,,8.0,2.0,,00:29:32,00:00:18,00:00:34,,00:28:37,00:29:12,,220.0,165.0,,282.0,SOFT,1.0,True,00:28:18,Ferrari,SAI,2,False,2021-05-22 13:13:19.591
30,00:41:41,55,00:01:34,9.0,2.0,00:40:08,,00:00:29,00:00:41,00:00:23,00:40:36,00:41:18,00:41:41,174.0,185.0,266.0,266.0,SOFT,2.0,True,00:40:06,Ferrari,SAI,1,False,2021-05-22 13:25:07.724
31,00:43:03,55,00:01:21,10.0,2.0,,,00:00:19,00:00:40,00:00:22,00:42:01,00:42:41,00:43:03,197.0,179.0,270.0,255.0,SOFT,3.0,True,00:41:41,Ferrari,SAI,1,True,2021-05-22 13:26:42.665
32,00:44:14,55,00:01:10,11.0,2.0,,,00:00:18,00:00:33,00:00:18,00:43:22,00:43:55,00:44:14,222.0,208.0,271.0,282.0,SOFT,4.0,True,00:43:03,Ferrari,SAI,1,True,2021-05-22 13:28:04.643
33,00:45:54,55,00:01:39,12.0,2.0,,,00:00:25,00:00:48,00:00:26,00:44:40,00:45:28,00:45:54,126.0,167.0,270.0,238.0,SOFT,5.0,True,00:44:14,Ferrari,SAI,1,True,2021-05-22 13:29:15.449
34,00:47:05,55,00:01:11,13.0,2.0,,,00:00:18,00:00:33,00:00:19,00:46:13,00:46:46,00:47:05,222.0,209.0,270.0,283.0,SOFT,6.0,True,00:45:54,Ferrari,SAI,1,True,2021-05-22 13:30:55.226
35,00:50:38,55,,14.0,3.0,,00:48:24,00:00:22,00:00:40,,00:47:27,00:48:08,,157.0,164.0,,255.0,SOFT,1.0,True,00:47:05,Ferrari,SAI,1,False,2021-05-22 13:32:06.280
36,00:52:12,55,00:01:33,15.0,3.0,00:50:39,,00:00:25,00:00:42,00:00:26,00:51:04,00:51:46,00:52:12,174.0,178.0,269.0,263.0,SOFT,2.0,True,00:50:38,Ferrari,SAI,1,False,2021-05-22 13:35:39.608
37,00:53:39,55,00:01:27,16.0,3.0,,,00:00:20,00:00:41,00:00:25,00:52:33,00:53:14,00:53:39,164.0,177.0,269.0,255.0,SOFT,3.0,True,00:52:12,Ferrari,SAI,1,True,2021-05-22 13:37:13.355
38,00:54:52,55,00:01:12,17.0,3.0,,,00:00:18,00:00:33,00:00:20,00:53:58,00:54:32,00:54:52,221.0,207.0,270.0,280.0,SOFT,4.0,True,00:53:39,Ferrari,SAI,1,True,2021-05-22 13:38:40.442
39,01:03:20,55,,18.0,4.0,,00:56:12,00:00:21,00:00:41,,00:55:13,00:55:55,,155.0,158.0,,242.0,SOFT,1.0,True,00:54:52,Ferrari,SAI,2,False,2021-05-22 13:39:52.961
40,01:04:57,55,00:01:36,19.0,4.0,01:03:21,,00:00:32,00:00:40,00:00:23,01:03:52,01:04:33,01:04:57,168.0,172.0,264.0,267.0,SOFT,,True,01:03:20,Ferrari,SAI,1,False,2021-05-22 13:48:21.390
41,01:06:23,55,00:01:26,20.0,4.0,,,00:00:19,00:00:39,00:00:27,01:05:17,01:05:56,01:06:23,182.0,181.0,268.0,276.0,SOFT,,True,01:04:57,Ferrari,SAI,1,True,2021-05-22 13:49:57.881
42,01:07:34,55,00:01:10,21.0,4.0,,,00:00:18,00:00:33,00:00:19,01:06:42,01:07:15,01:07:34,222.0,208.0,268.0,280.0,SOFT,,True,01:06:23,Ferrari,SAI,1,True,2021-05-22 13:51:24.410
43,01:10:36,55,,22.0,5.0,,01:08:53,00:00:23,00:00:40,,01:07:57,01:08:38,,148.0,165.0,,249.0,SOFT,,True,01:07:34,Ferrari,SAI,1,False,2021-05-22 13:52:35.021
44,01:12:12,55,00:01:36,23.0,5.0,01:10:37,,00:00:27,00:00:42,00:00:26,01:11:03,01:11:46,01:12:12,164.0,159.0,265.0,267.0,SOFT,2.0,True,01:10:36,Ferrari,SAI,1,False,2021-05-22 13:55:37.340
45,01:13:44,55,00:01:31,24.0,5.0,,,00:00:19,00:00:41,00:00:29,01:12:32,01:13:14,01:13:44,172.0,170.0,271.0,275.0,SOFT,3.0,True,01:12:12,Ferrari,SAI,1,True,2021-05-22 13:57:13.398
