,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:34:16,33,,1.0,1.0,00:00:04,,,00:00:36,00:00:20,,00:33:56,00:34:17,192.0,187.0,250.0,258.0,SOFT,6.0,False,00:32:54,Red Bull,VER,1,False,2021-05-23 13:02:55.440
1,00:35:34,33,00:01:17,2.0,1.0,,,00:00:20,00:00:36,00:00:20,00:34:37,00:35:13,00:35:34,193.0,191.0,250.0,259.0,SOFT,7.0,False,00:34:16,Red Bull,VER,1,True,2021-05-23 13:04:17.578
2,00:36:51,33,00:01:17,3.0,1.0,,,00:00:20,00:00:36,00:00:20,00:35:54,00:36:31,00:36:51,199.0,191.0,251.0,258.0,SOFT,8.0,False,00:35:34,Red Bull,VER,1,True,2021-05-23 13:05:35.058
3,00:38:08,33,00:01:17,4.0,1.0,,,00:00:20,00:00:36,00:00:20,00:37:12,00:37:48,00:38:08,,192.0,251.0,260.0,SOFT,9.0,False,00:36:51,Red Bull,VER,1,True,2021-05-23 13:06:52.356
4,00:39:25,33,00:01:16,5.0,1.0,,,00:00:20,00:00:36,00:00:20,00:38:29,00:39:05,00:39:25,196.0,191.0,252.0,260.0,SOFT,10.0,False,00:38:08,Red Bull,VER,1,True,2021-05-23 13:08:09.593
5,00:40:42,33,00:01:17,6.0,1.0,,,00:00:20,00:00:36,00:00:20,00:39:46,00:40:22,00:40:42,197.0,191.0,251.0,259.0,SOFT,11.0,False,00:39:25,Red Bull,VER,1,True,2021-05-23 13:09:26.485
6,00:41:59,33,00:01:16,7.0,1.0,,,00:00:20,00:00:35,00:00:20,00:41:03,00:41:39,00:41:59,198.0,193.0,252.0,261.0,SOFT,12.0,False,00:40:42,Red Bull,VER,1,True,2021-05-23 13:10:43.632
7,00:43:16,33,00:01:17,8.0,1.0,,,00:00:20,00:00:36,00:00:20,00:42:20,00:42:56,00:43:16,200.0,191.0,251.0,261.0,SOFT,13.0,False,00:41:59,Red Bull,VER,1,True,2021-05-23 13:12:00.354
8,00:44:33,33,00:01:16,9.0,1.0,,,00:00:20,00:00:36,00:00:20,00:43:37,00:44:13,00:44:33,196.0,191.0,251.0,260.0,SOFT,14.0,False,00:43:16,Red Bull,VER,1,True,2021-05-23 13:13:17.474
9,00:45:50,33,00:01:16,10.0,1.0,,,00:00:20,00:00:36,00:00:20,00:44:53,00:45:30,00:45:50,197.0,191.0,252.0,261.0,SOFT,15.0,False,00:44:33,Red Bull,VER,1,True,2021-05-23 13:14:34.384
10,00:47:06,33,00:01:16,11.0,1.0,,,00:00:20,00:00:35,00:00:20,00:46:10,00:46:46,00:47:06,200.0,191.0,253.0,260.0,SOFT,16.0,False,00:45:50,Red Bull,VER,1,True,2021-05-23 13:15:51.328
11,00:48:23,33,00:01:16,12.0,1.0,,,00:00:20,00:00:35,00:00:20,00:47:26,00:48:02,00:48:23,202.0,192.0,252.0,261.0,SOFT,17.0,False,00:47:06,Red Bull,VER,1,True,2021-05-23 13:17:07.593
12,00:49:39,33,00:01:15,13.0,1.0,,,00:00:20,00:00:35,00:00:20,00:48:43,00:49:18,00:49:39,201.0,191.0,252.0,261.0,SOFT,18.0,False,00:48:23,Red Bull,VER,1,True,2021-05-23 13:18:23.932
13,00:50:55,33,00:01:16,14.0,1.0,,,00:00:20,00:00:35,00:00:20,00:49:59,00:50:35,00:50:55,,192.0,253.0,261.0,SOFT,19.0,False,00:49:39,Red Bull,VER,1,True,2021-05-23 13:19:39.886
14,00:52:11,33,00:01:15,15.0,1.0,,,00:00:20,00:00:35,00:00:20,00:51:15,00:51:51,00:52:11,200.0,194.0,252.0,263.0,SOFT,20.0,False,00:50:55,Red Bull,VER,1,True,2021-05-23 13:20:56.191
15,00:53:27,33,00:01:15,16.0,1.0,,,00:00:20,00:00:35,00:00:20,00:52:31,00:53:06,00:53:27,203.0,193.0,253.0,262.0,SOFT,21.0,False,00:52:11,Red Bull,VER,1,True,2021-05-23 13:22:12.009
16,00:54:42,33,00:01:15,17.0,1.0,,,00:00:20,00:00:35,00:00:20,00:53:47,00:54:22,00:54:42,206.0,194.0,253.0,262.0,SOFT,22.0,False,00:53:27,Red Bull,VER,1,True,2021-05-23 13:23:27.769
17,00:55:58,33,00:01:15,18.0,1.0,,,00:00:19,00:00:35,00:00:20,00:55:02,00:55:38,00:55:58,204.0,192.0,253.0,263.0,SOFT,23.0,False,00:54:42,Red Bull,VER,1,True,2021-05-23 13:24:43.759
18,00:57:14,33,00:01:15,19.0,1.0,,,00:00:19,00:00:35,00:00:20,00:56:18,00:56:54,00:57:14,203.0,194.0,254.0,264.0,SOFT,24.0,False,00:55:58,Red Bull,VER,1,True,2021-05-23 13:25:59.676
19,00:58:30,33,00:01:16,20.0,1.0,,,00:00:20,00:00:35,00:00:20,00:57:34,00:58:10,00:58:30,206.0,192.0,254.0,265.0,SOFT,25.0,False,00:57:14,Red Bull,VER,1,True,2021-05-23 13:27:15.331
20,00:59:46,33,00:01:16,21.0,1.0,,,00:00:20,00:00:35,00:00:20,00:58:50,00:59:26,00:59:46,200.0,192.0,255.0,265.0,SOFT,26.0,False,00:58:30,Red Bull,VER,1,True,2021-05-23 13:28:31.415
21,01:01:02,33,00:01:16,22.0,1.0,,,,00:00:35,00:00:20,,01:00:42,01:01:03,203.0,192.0,255.0,266.0,SOFT,27.0,False,00:59:46,Red Bull,VER,1,False,2021-05-23 13:29:47.599
22,01:02:19,33,00:01:16,23.0,1.0,,,00:00:20,00:00:35,00:00:20,01:01:22,01:01:58,01:02:19,199.0,193.0,254.0,265.0,SOFT,28.0,False,01:01:02,Red Bull,VER,1,True,2021-05-23 13:31:03.743
23,01:03:35,33,00:01:16,24.0,1.0,,,00:00:20,00:00:35,00:00:20,01:02:39,01:03:15,01:03:35,203.0,191.0,254.0,266.0,SOFT,29.0,False,01:02:19,Red Bull,VER,1,True,2021-05-23 13:32:20.015
24,01:04:52,33,00:01:16,25.0,1.0,,,00:00:20,00:00:35,00:00:20,01:03:55,01:04:31,01:04:52,204.0,193.0,254.0,269.0,SOFT,30.0,False,01:03:35,Red Bull,VER,1,True,2021-05-23 13:33:36.259
25,01:06:08,33,00:01:16,26.0,1.0,,,00:00:19,00:00:35,00:00:20,01:05:11,01:05:47,01:06:08,203.0,192.0,256.0,266.0,SOFT,31.0,False,01:04:52,Red Bull,VER,1,True,2021-05-23 13:34:52.790
26,01:07:24,33,,27.0,1.0,,,00:00:19,00:00:35,00:00:20,01:06:28,01:07:03,01:07:24,202.0,192.0,255.0,267.0,SOFT,32.0,False,01:06:08,Red Bull,VER,1,True,2021-05-23 13:36:09.112
