,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:20:09,33,,1,1,00:18:45,,,00:00:32,00:00:26,,00:19:42,00:20:09,268.0,180.0,291.0,,SOFT,1.0,True,,Red Bull,VER,1,False,
1,00:21:28,33,00:01:19,2,1,,,00:00:22,00:00:30,00:00:26,00:20:32,00:21:02,00:21:28,290.0,187.0,292.0,310.0,SOFT,2.0,True,00:20:09,Red Bull,VER,1,True,2021-05-01 14:05:10.194
2,00:23:08,33,00:01:39,3,1,,,00:00:27,00:00:39,00:00:31,00:21:56,00:22:36,00:23:08,248.0,173.0,294.0,275.0,SOFT,3.0,True,00:21:28,Red Bull,VER,1,True,2021-05-01 14:06:29.684
3,00:24:27,33,00:01:19,4,1,,,00:00:22,00:00:30,00:00:26,00:23:31,00:24:01,00:24:27,290.0,190.0,287.0,311.0,SOFT,4.0,True,00:23:08,Red Bull,VER,1,True,2021-05-01 14:08:09.167
4,00:26:00,33,00:01:32,5,1,,,00:00:28,00:00:36,00:00:27,00:24:56,00:25:32,00:26:00,247.0,168.0,287.0,254.0,SOFT,5.0,True,00:24:27,Red Bull,VER,2,True,2021-05-01 14:09:28.652
5,00:27:29,33,00:01:29,6,2,,00:27:26,00:00:25,00:00:31,00:00:31,00:26:26,00:26:58,00:27:29,257.0,190.0,,295.0,SOFT,1.0,True,00:26:00,Red Bull,VER,2,False,2021-05-01 14:11:01.166
6,00:42:34,33,,7,2,00:41:08,,,00:00:33,00:00:28,,00:42:05,00:42:34,252.0,162.0,291.0,,MEDIUM,2.0,True,00:27:29,Red Bull,VER,1,False,2021-05-01 14:12:30.468
7,00:43:53,33,00:01:19,8,2,,,00:00:22,00:00:30,00:00:25,00:42:57,00:43:27,00:43:53,289.0,188.0,292.0,311.0,MEDIUM,3.0,True,00:42:34,Red Bull,VER,1,True,2021-05-01 14:27:35.220
8,00:45:34,33,00:01:41,9,2,,,00:00:34,00:00:39,00:00:27,00:44:27,00:45:06,00:45:34,159.0,172.0,295.0,278.0,MEDIUM,4.0,True,00:43:53,Red Bull,VER,1,True,2021-05-01 14:28:54.319
9,00:46:53,33,00:01:18,10,2,,,00:00:22,00:00:30,00:00:25,00:45:57,00:46:27,00:46:53,289.0,193.0,293.0,314.0,MEDIUM,5.0,True,00:45:34,Red Bull,VER,1,True,2021-05-01 14:30:35.414
10,00:48:29,33,00:01:36,11,3,,00:48:26,00:00:28,00:00:36,00:00:31,00:47:21,00:47:58,00:48:29,247.0,175.0,,276.0,MEDIUM,1.0,True,00:46:53,Red Bull,VER,1,False,2021-05-01 14:31:54.064
