,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:34:27,77,,1,1,00:00:06,,,00:00:32,00:00:26,,00:34:01,00:34:28,269.0,176.0,286.0,231.0,MEDIUM,5.0,False,00:33:02,Mercedes,BOT,1,False,2021-05-02 14:03:02.851
1,00:36:14,77,00:01:46,2,1,,00:36:11,00:00:24,00:00:39,00:00:42,00:34:52,00:35:32,00:36:14,271.0,126.0,,274.0,MEDIUM,6.0,False,00:34:27,Mercedes,BOT,4,False,2021-05-02 14:04:27.962
2,00:38:37,77,00:02:22,3,2,00:36:33,00:38:34,00:00:51,00:00:46,00:00:44,00:37:06,00:37:52,00:38:37,172.0,137.0,,,MEDIUM,7.0,False,00:36:14,Mercedes,BOT,4,False,2021-05-02 14:06:14.837
3,00:40:52,77,00:02:15,4,3,00:38:56,,00:00:49,00:00:45,00:00:39,00:39:27,00:40:12,00:40:52,239.0,171.0,236.0,,MEDIUM,8.0,False,00:38:37,Mercedes,BOT,4,False,2021-05-02 14:08:37.521
4,00:42:54,77,00:02:01,5,3,,,00:00:35,00:00:45,00:00:39,00:41:28,00:42:14,00:42:54,226.0,134.0,232.0,188.0,MEDIUM,9.0,False,00:40:52,Mercedes,BOT,4,False,2021-05-02 14:10:52.852
5,00:45:04,77,00:02:10,6,3,,,00:00:34,00:00:46,00:00:49,00:43:28,00:44:14,00:45:04,229.0,157.0,237.0,197.0,MEDIUM,10.0,False,00:42:54,Mercedes,BOT,4,False,2021-05-02 14:12:54.246
6,00:46:28,77,00:01:23,7,3,,,00:00:24,00:00:31,00:00:26,00:45:29,00:46:01,00:46:28,271.0,177.0,287.0,283.0,MEDIUM,11.0,False,00:45:04,Mercedes,BOT,1,False,2021-05-02 14:15:04.618
7,00:47:51,77,00:01:23,8,3,,,00:00:24,00:00:32,00:00:26,00:46:52,00:47:25,00:47:51,261.0,181.0,289.0,277.0,MEDIUM,12.0,False,00:46:28,Mercedes,BOT,1,True,2021-05-02 14:16:28.168
8,00:49:14,77,00:01:23,9,3,,,00:00:24,00:00:32,00:00:26,00:48:15,00:48:48,00:49:14,269.0,174.0,290.0,295.0,MEDIUM,13.0,False,00:47:51,Mercedes,BOT,1,True,2021-05-02 14:17:51.646
9,00:50:38,77,00:01:23,10,3,,,00:00:24,00:00:32,00:00:26,00:49:39,00:50:11,00:50:38,268.0,180.0,289.0,,MEDIUM,14.0,False,00:49:14,Mercedes,BOT,1,True,2021-05-02 14:19:14.927
