,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:18:54,3,,1,1,00:16:10,,,00:00:44,00:01:11,,00:17:42,00:18:54,202.0,253.0,110.0,201.0,INTERMEDIATE,1.0,True,,McLaren,RIC,1,False,
1,00:20:46,3,00:01:52,2,1,,,00:00:39,00:00:39,00:00:33,00:19:34,00:20:13,00:20:46,247.0,295.0,142.0,279.0,INTERMEDIATE,2.0,True,00:18:54,McLaren,RIC,1,True,2021-09-25 12:03:54.237
2,00:23:14,3,00:02:27,3,1,,,00:00:50,00:00:46,00:00:49,00:21:37,00:22:24,00:23:14,85.0,279.0,126.0,240.0,INTERMEDIATE,3.0,True,00:20:46,McLaren,RIC,2,True,2021-09-25 12:05:47.039
3,00:25:03,3,00:01:49,4,1,,,00:00:38,00:00:37,00:00:33,00:23:52,00:24:30,00:25:03,237.0,292.0,141.0,276.0,INTERMEDIATE,4.0,True,00:23:14,McLaren,RIC,1,True,2021-09-25 12:08:14.227
4,00:27:09,3,00:02:06,5,2,,00:27:01,00:00:42,00:00:41,00:00:42,00:25:46,00:26:27,00:27:09,219.0,279.0,,262.0,INTERMEDIATE,1.0,True,00:25:03,McLaren,RIC,2,False,2021-09-25 12:10:03.753
5,00:29:50,3,,6,2,00:27:39,,00:01:14,00:00:41,00:00:44,00:28:24,00:29:06,00:29:50,214.0,274.0,133.0,246.0,INTERMEDIATE,2.0,True,00:27:09,McLaren,RIC,1,False,2021-09-25 12:12:10.036
6,00:31:38,3,00:01:48,7,2,,,00:00:38,00:00:37,00:00:32,00:30:29,00:31:06,00:31:38,237.0,292.0,140.0,291.0,INTERMEDIATE,3.0,True,00:29:50,McLaren,RIC,2,True,2021-09-25 12:14:50.590
7,00:34:01,3,00:02:22,8,3,,00:33:52,00:00:53,00:00:44,00:00:43,00:32:32,00:33:17,00:34:01,205.0,262.0,,99.0,INTERMEDIATE,1.0,True,00:31:38,McLaren,RIC,1,False,2021-09-25 12:16:38.935
8,00:43:43,3,,9,3,00:41:24,,,00:00:44,00:00:49,,00:42:54,00:43:44,210.0,276.0,132.0,241.0,INTERMEDIATE,2.0,True,00:34:01,McLaren,RIC,1,False,2021-09-25 12:19:01.561
9,00:45:31,3,00:01:47,10,3,,,00:00:38,00:00:37,00:00:32,00:44:22,00:44:59,00:45:31,252.0,288.0,139.0,285.0,INTERMEDIATE,3.0,True,00:43:43,McLaren,RIC,1,True,2021-09-25 12:28:44.054
10,00:47:50,3,00:02:18,11,3,,,00:00:44,00:00:47,00:00:47,00:46:16,00:47:03,00:47:50,199.0,261.0,140.0,256.0,INTERMEDIATE,4.0,True,00:45:31,McLaren,RIC,1,True,2021-09-25 12:30:31.596
11,00:49:56,3,00:02:05,12,3,,,00:00:47,00:00:42,00:00:35,00:48:37,00:49:20,00:49:56,86.0,276.0,147.0,288.0,INTERMEDIATE,5.0,True,00:47:50,McLaren,RIC,2,True,2021-09-25 12:32:50.450
12,00:51:42,3,00:01:46,13,3,,,00:00:37,00:00:36,00:00:32,00:50:33,00:51:10,00:51:42,244.0,289.0,143.0,286.0,INTERMEDIATE,6.0,True,00:49:56,McLaren,RIC,1,True,2021-09-25 12:34:56.093
13,00:53:56,3,00:02:13,14,3,,,00:00:50,00:00:47,00:00:36,00:52:33,00:53:20,00:53:56,153.0,267.0,151.0,253.0,INTERMEDIATE,7.0,True,00:51:42,McLaren,RIC,1,True,2021-09-25 12:36:43.069
14,00:55:43,3,00:01:46,15,3,,,00:00:37,00:00:36,00:00:32,00:54:34,00:55:11,00:55:43,246.0,293.0,136.0,286.0,INTERMEDIATE,8.0,True,00:53:56,McLaren,RIC,1,True,2021-09-25 12:38:57.059
15,00:57:54,3,00:02:11,16,4,,00:57:45,00:00:46,00:00:41,00:00:42,00:56:29,00:57:11,00:57:54,223.0,275.0,,266.0,INTERMEDIATE,1.0,True,00:55:43,McLaren,RIC,1,False,2021-09-25 12:40:43.420
16,01:05:57,3,,17,4,01:03:38,,,00:00:47,00:00:39,,01:05:18,01:05:57,195.0,146.0,142.0,248.0,INTERMEDIATE,2.0,True,00:57:54,McLaren,RIC,1,False,2021-09-25 12:42:54.808
17,01:07:43,3,00:01:46,18,4,,,00:00:37,00:00:36,00:00:31,01:06:35,01:07:11,01:07:43,250.0,288.0,143.0,289.0,INTERMEDIATE,3.0,True,01:05:57,McLaren,RIC,1,True,2021-09-25 12:50:57.845
18,01:10:00,3,00:02:16,19,5,,01:09:52,00:00:52,00:00:44,00:00:39,01:08:36,01:09:21,01:10:00,91.0,275.0,,234.0,INTERMEDIATE,1.0,True,01:07:43,McLaren,RIC,1,False,2021-09-25 12:52:43.913
19,01:12:31,3,,20,5,01:10:24,,00:01:10,00:00:41,00:00:38,01:11:11,01:11:52,01:12:31,208.0,274.0,123.0,190.0,SOFT,2.0,True,01:10:00,McLaren,RIC,1,False,2021-09-25 12:55:00.816
20,01:14:22,3,00:01:51,21,5,,,00:00:39,00:00:37,00:00:35,01:13:10,01:13:47,01:14:22,236.0,269.0,137.0,243.0,SOFT,3.0,True,01:12:31,McLaren,RIC,1,True,2021-09-25 12:57:31.153
21,01:16:07,3,00:01:44,22,5,,,00:00:37,00:00:35,00:00:31,01:15:00,01:15:35,01:16:07,260.0,293.0,145.0,287.0,SOFT,4.0,True,01:14:22,McLaren,RIC,1,True,2021-09-25 12:59:23.057
22,00:18:48,4,,1,1,00:16:05,,,00:00:47,00:01:07,,00:17:41,00:18:48,166.0,271.0,118.0,178.0,INTERMEDIATE,1.0,True,,McLaren,NOR,1,False,
