,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,01:04:26,4,,1,1,00:21:52,,,00:00:35,00:00:29,,01:03:56,01:04:26,242.0,276.0,166.0,287.0,MEDIUM,1.0,True,01:02:41,McLaren,NOR,1,False,2021-09-26 12:03:43.826
1,01:06:08,4,00:01:42,2,1,,,00:00:36,00:00:35,00:00:29,01:05:03,01:05:38,01:06:08,,279.0,164.0,278.0,MEDIUM,2.0,True,01:04:26,McLaren,NOR,2,True,2021-09-26 12:05:28.306
2,01:07:50,4,00:01:41,3,1,,,00:00:36,00:00:35,00:00:29,01:06:45,01:07:20,01:07:50,243.0,278.0,158.0,281.0,MEDIUM,3.0,True,01:06:08,McLaren,NOR,1,True,2021-09-26 12:07:10.510
3,01:09:32,4,00:01:41,4,1,,,00:00:36,00:00:35,00:00:29,01:08:26,01:09:02,01:09:32,249.0,280.0,158.0,286.0,MEDIUM,4.0,True,01:07:50,McLaren,NOR,1,True,2021-09-26 12:08:52.207
4,01:11:13,4,00:01:41,5,1,,,00:00:36,00:00:35,00:00:29,01:10:08,01:10:43,01:11:13,250.0,281.0,160.0,,MEDIUM,5.0,True,01:09:32,McLaren,NOR,1,True,2021-09-26 12:10:34.047
5,01:12:55,4,00:01:41,6,1,,,00:00:36,00:00:35,00:00:30,01:11:50,01:12:25,01:12:55,243.0,280.0,157.0,284.0,MEDIUM,6.0,True,01:11:13,McLaren,NOR,1,True,2021-09-26 12:12:15.786
6,01:14:37,4,00:01:41,7,1,,,00:00:36,00:00:35,00:00:29,01:13:32,01:14:07,01:14:37,248.0,281.0,157.0,283.0,MEDIUM,7.0,True,01:12:55,McLaren,NOR,1,True,2021-09-26 12:13:57.669
7,01:16:19,4,00:01:41,8,1,,,00:00:36,00:00:35,00:00:30,01:15:13,01:15:49,01:16:19,242.0,284.0,157.0,284.0,MEDIUM,8.0,True,01:14:37,McLaren,NOR,1,True,2021-09-26 12:15:39.473
8,01:18:01,4,00:01:42,9,1,,,00:00:36,00:00:34,00:00:30,01:16:56,01:17:31,01:18:01,246.0,308.0,158.0,276.0,MEDIUM,9.0,True,01:16:19,McLaren,NOR,1,True,2021-09-26 12:17:21.228
9,01:19:43,4,00:01:42,10,1,,,00:00:36,00:00:34,00:00:30,01:18:38,01:19:13,01:19:43,242.0,309.0,155.0,296.0,MEDIUM,10.0,True,01:18:01,McLaren,NOR,1,True,2021-09-26 12:19:03.430
10,01:21:27,4,00:01:43,11,1,,,00:00:36,00:00:36,00:00:30,01:20:20,01:20:56,01:21:27,239.0,280.0,154.0,319.0,MEDIUM,11.0,True,01:19:43,McLaren,NOR,1,True,2021-09-26 12:20:45.708
11,01:23:09,4,00:01:42,12,1,,,00:00:36,00:00:35,00:00:30,01:22:04,01:22:39,01:23:09,247.0,280.0,160.0,278.0,MEDIUM,12.0,True,01:21:27,McLaren,NOR,1,True,2021-09-26 12:22:29.161
12,01:24:50,4,00:01:41,13,1,,,00:00:36,00:00:34,00:00:29,01:23:46,01:24:21,01:24:50,248.0,317.0,162.0,281.0,MEDIUM,13.0,True,01:23:09,McLaren,NOR,1,True,2021-09-26 12:24:11.719
13,01:26:32,4,00:01:41,14,1,,,00:00:36,00:00:35,00:00:29,01:25:27,01:26:02,01:26:32,250.0,275.0,153.0,279.0,MEDIUM,14.0,True,01:24:50,McLaren,NOR,1,True,2021-09-26 12:25:52.861
14,01:28:13,4,00:01:41,15,1,,,00:00:36,00:00:35,00:00:29,01:27:09,01:27:44,01:28:13,253.0,278.0,159.0,280.0,MEDIUM,15.0,True,01:26:32,McLaren,NOR,1,True,2021-09-26 12:27:34.392
15,01:29:55,4,00:01:41,16,1,,,00:00:36,00:00:35,00:00:29,01:28:50,01:29:25,01:29:55,,276.0,158.0,279.0,MEDIUM,16.0,True,01:28:13,McLaren,NOR,1,True,2021-09-26 12:29:15.753
16,01:31:35,4,00:01:40,17,1,,,00:00:36,00:00:35,00:00:29,01:30:31,01:31:06,01:31:35,254.0,276.0,160.0,280.0,MEDIUM,17.0,True,01:29:55,McLaren,NOR,1,True,2021-09-26 12:30:56.928
17,01:33:16,4,00:01:40,18,1,,,00:00:36,00:00:35,00:00:29,01:32:12,01:32:47,01:33:16,251.0,276.0,157.0,281.0,MEDIUM,18.0,True,01:31:35,McLaren,NOR,1,True,2021-09-26 12:32:37.757
18,01:34:57,4,00:01:40,19,1,,,00:00:36,00:00:35,00:00:29,01:33:53,01:34:28,01:34:57,252.0,275.0,161.0,278.0,MEDIUM,19.0,True,01:33:16,McLaren,NOR,1,True,2021-09-26 12:34:18.620
19,01:36:38,4,00:01:40,20,1,,,00:00:36,00:00:34,00:00:29,01:35:34,01:36:08,01:36:38,,275.0,156.0,276.0,MEDIUM,20.0,True,01:34:57,McLaren,NOR,1,True,2021-09-26 12:35:59.469
20,01:38:19,4,00:01:40,21,1,,,00:00:36,00:00:34,00:00:29,01:37:14,01:37:49,01:38:19,251.0,277.0,159.0,280.0,MEDIUM,21.0,True,01:36:38,McLaren,NOR,1,True,2021-09-26 12:37:40.335
21,01:40:00,4,00:01:40,22,1,,,00:00:36,00:00:34,00:00:29,01:38:55,01:39:30,01:40:00,254.0,277.0,160.0,278.0,MEDIUM,22.0,True,01:38:19,McLaren,NOR,1,True,2021-09-26 12:39:21.024
22,01:41:40,4,00:01:40,23,1,,,00:00:36,00:00:35,00:00:29,01:40:36,01:41:11,01:41:40,252.0,277.0,158.0,282.0,MEDIUM,23.0,True,01:40:00,McLaren,NOR,1,True,2021-09-26 12:41:01.930
23,01:43:21,4,00:01:40,24,1,,,00:00:36,00:00:34,00:00:29,01:42:17,01:42:52,01:43:21,254.0,278.0,161.0,283.0,MEDIUM,24.0,True,01:41:40,McLaren,NOR,1,True,2021-09-26 12:42:42.718
24,01:45:02,4,00:01:41,25,1,,,00:00:36,00:00:35,00:00:29,01:43:57,01:44:32,01:45:02,250.0,275.0,155.0,,MEDIUM,25.0,True,01:43:21,McLaren,NOR,1,True,2021-09-26 12:44:23.356
25,01:46:43,4,00:01:41,26,1,,,00:00:36,00:00:35,00:00:29,01:45:39,01:46:14,01:46:43,252.0,278.0,161.0,282.0,MEDIUM,26.0,True,01:45:02,McLaren,NOR,1,True,2021-09-26 12:46:04.413
