,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:30:09,33,,1,1,00:28:08,,,00:00:48,00:00:45,,00:29:24,00:30:09,234.0,234.0,283.0,235.0,SOFT,1.0,True,,Red Bull,VER,1,False,
1,00:31:27,33,00:01:18,2,1,,,00:00:21,00:00:29,00:00:27,00:30:31,00:31:00,00:31:27,286.0,305.0,285.0,311.0,SOFT,2.0,True,00:30:09,Red Bull,VER,1,True,2021-05-08 13:15:09.655
2,00:33:46,33,00:02:18,3,1,,,00:00:35,00:00:56,00:00:46,00:32:03,00:33:00,00:33:46,124.0,141.0,182.0,186.0,SOFT,3.0,True,00:31:27,Red Bull,VER,1,True,2021-05-08 13:16:27.745
3,00:35:49,33,00:02:02,4,1,,,00:00:41,00:00:46,00:00:34,00:34:28,00:35:14,00:35:49,174.0,240.0,282.0,211.0,SOFT,4.0,True,00:33:46,Red Bull,VER,1,True,2021-05-08 13:18:46.159
4,00:37:15,33,00:01:26,5,2,,00:37:12,00:00:22,00:00:29,00:00:35,00:36:11,00:36:40,00:37:15,287.0,305.0,,311.0,SOFT,1.0,True,00:35:49,Red Bull,VER,1,False,2021-05-08 13:20:49.049
5,00:54:10,33,,6,2,00:52:17,,,00:00:41,00:00:41,,00:53:29,00:54:10,205.0,230.0,284.0,226.0,SOFT,2.0,True,00:37:15,Red Bull,VER,1,False,2021-05-08 13:22:15.544
6,00:55:27,33,00:01:16,7,2,,,00:00:21,00:00:28,00:00:26,00:54:31,00:55:00,00:55:27,288.0,305.0,282.0,312.0,SOFT,3.0,True,00:54:10,Red Bull,VER,1,True,2021-05-08 13:39:10.110
7,00:57:04,33,00:01:37,8,3,,00:57:02,00:00:26,00:00:35,00:00:36,00:55:53,00:56:28,00:57:04,217.0,197.0,,275.0,SOFT,1.0,True,00:55:27,Red Bull,VER,1,False,2021-05-08 13:40:27.032
8,01:16:50,33,,9,3,01:14:57,,,00:00:40,00:00:39,,01:16:11,01:16:50,229.0,238.0,285.0,204.0,SOFT,2.0,True,00:57:04,Red Bull,VER,1,False,2021-05-08 13:42:04.980
9,01:18:07,33,00:01:16,10,3,,,00:00:21,00:00:28,00:00:26,01:17:12,01:17:41,01:18:07,288.0,305.0,284.0,312.0,SOFT,3.0,True,01:16:50,Red Bull,VER,1,True,2021-05-08 14:01:50.881
10,01:19:37,33,00:01:30,11,4,,01:19:35,00:00:25,00:00:32,00:00:32,01:18:33,01:19:05,01:19:37,221.0,240.0,,273.0,SOFT,1.0,True,01:18:07,Red Bull,VER,1,False,2021-05-08 14:03:07.658
11,01:24:34,33,,12,4,01:22:42,,,00:00:37,00:00:40,,01:23:53,01:24:34,186.0,248.0,284.0,184.0,SOFT,2.0,True,01:19:37,Red Bull,VER,1,False,2021-05-08 14:04:37.977
12,01:25:51,33,00:01:16,13,4,,,00:00:21,00:00:28,00:00:26,01:24:55,01:25:24,01:25:51,288.0,307.0,283.0,313.0,SOFT,3.0,True,01:24:34,Red Bull,VER,1,True,2021-05-08 14:09:34.138
13,00:30:03,44,,1,1,00:28:26,,,00:00:33,00:00:37,,00:29:26,00:30:04,225.0,255.0,283.0,158.0,MEDIUM,1.0,True,,Mercedes,HAM,1,False,
14,00:31:22,44,00:01:18,2,1,,,00:00:22,00:00:29,00:00:27,00:30:25,00:30:55,00:31:22,287.0,305.0,284.0,313.0,MEDIUM,2.0,True,00:30:03,Mercedes,HAM,1,True,2021-05-08 13:15:03.986
15,00:33:17,44,00:01:54,3,1,,,00:00:32,00:00:43,00:00:38,00:31:54,00:32:38,00:33:17,182.0,205.0,230.0,267.0,MEDIUM,3.0,True,00:31:22,Mercedes,HAM,1,True,2021-05-08 13:16:22.231
16,00:35:02,44,00:01:45,4,1,,,00:00:30,00:00:42,00:00:32,00:33:47,00:34:29,00:35:02,212.0,217.0,285.0,283.0,MEDIUM,4.0,True,00:33:17,Mercedes,HAM,1,True,2021-05-08 13:18:17.147
17,00:36:22,44,00:01:20,5,1,,,00:00:21,00:00:29,00:00:29,00:35:24,00:35:53,00:36:22,289.0,303.0,254.0,317.0,MEDIUM,5.0,True,00:35:02,Mercedes,HAM,1,True,2021-05-08 13:20:02.394
18,00:38:03,44,00:01:40,6,2,,00:37:57,00:00:27,00:00:34,00:00:38,00:36:49,00:37:24,00:38:03,235.0,227.0,,285.0,MEDIUM,1.0,True,00:36:22,Mercedes,HAM,1,False,2021-05-08 13:21:22.899
19,00:42:30,44,,7,3,00:40:49,00:42:28,,00:00:35,00:00:35,,00:41:54,00:42:31,213.0,218.0,,225.0,SOFT,1.0,True,00:38:03,Mercedes,HAM,1,False,2021-05-08 13:23:03.395
20,00:53:07,44,,8,3,00:51:28,,,00:00:38,00:00:32,,00:52:34,00:53:07,229.0,217.0,282.0,230.0,SOFT,2.0,True,00:42:30,Mercedes,HAM,1,False,2021-05-08 13:27:30.778
21,00:54:24,44,00:01:17,9,3,,,00:00:22,00:00:28,00:00:26,00:53:29,00:53:57,00:54:24,287.0,301.0,285.0,308.0,SOFT,3.0,True,00:53:07,Mercedes,HAM,1,True,2021-05-08 13:38:07.014
22,00:56:05,44,00:01:40,10,4,,00:56:02,00:00:29,00:00:35,00:00:36,00:54:53,00:55:29,00:56:05,210.0,212.0,,203.0,SOFT,1.0,True,00:54:24,Mercedes,HAM,1,False,2021-05-08 13:39:24.646
23,01:04:16,44,,11,4,01:02:23,,,00:00:37,00:00:43,,01:03:32,01:04:16,222.0,227.0,283.0,215.0,SOFT,3.0,False,00:56:05,Mercedes,HAM,1,False,2021-05-08 13:41:05.356
24,01:05:33,44,00:01:17,12,4,,,00:00:21,00:00:28,00:00:26,01:04:38,01:05:06,01:05:33,288.0,302.0,283.0,312.0,SOFT,4.0,False,01:04:16,Mercedes,HAM,1,True,2021-05-08 13:49:16.196
25,01:07:12,44,00:01:38,13,5,,01:07:09,00:00:26,00:00:36,00:00:36,01:05:59,01:06:35,01:07:12,217.0,207.0,,290.0,SOFT,2.0,False,01:05:33,Mercedes,HAM,1,False,2021-05-08 13:50:33.362
26,01:16:45,44,,14,5,01:14:54,,,00:00:41,00:00:37,,01:16:08,01:16:45,205.0,206.0,284.0,212.0,SOFT,2.0,True,01:07:12,Mercedes,HAM,1,False,2021-05-08 13:52:12.348
27,01:18:02,44,00:01:16,15,5,,,00:00:21,00:00:28,00:00:26,01:17:07,01:17:36,01:18:02,287.0,304.0,285.0,313.0,SOFT,3.0,True,01:16:45,Mercedes,HAM,1,True,2021-05-08 14:01:45.692
28,01:19:33,44,00:01:31,16,6,,01:19:30,00:00:24,00:00:33,00:00:33,01:18:26,01:19:00,01:19:33,239.0,221.0,,292.0,SOFT,1.0,True,01:18:02,Mercedes,HAM,1,False,2021-05-08 14:03:02.433
29,01:24:21,44,,17,6,01:22:34,,,00:00:40,00:00:32,,01:23:49,01:24:22,217.0,235.0,283.0,192.0,SOFT,2.0,True,01:19:33,Mercedes,HAM,1,False,2021-05-08 14:04:33.790
30,01:25:39,44,00:01:17,18,6,,,00:00:21,00:00:28,00:00:26,01:24:43,01:25:12,01:25:39,283.0,302.0,283.0,312.0,SOFT,3.0,True,01:24:21,Mercedes,HAM,1,True,2021-05-08 14:09:21.985
31,00:31:30,16,,1,1,00:29:41,,,00:00:44,00:00:34,,00:30:56,00:31:30,210.0,190.0,284.0,232.0,SOFT,,True,,Ferrari,LEC,1,False,
32,00:32:48,16,00:01:18,2,1,,,00:00:22,00:00:29,00:00:26,00:31:52,00:32:21,00:32:48,284.0,300.0,285.0,318.0,SOFT,,True,00:31:30,Ferrari,LEC,1,True,2021-05-08 13:16:30.127
33,00:34:30,16,00:01:41,3,2,,00:34:27,00:00:28,00:00:37,00:00:35,00:33:17,00:33:54,00:34:30,194.0,222.0,,272.0,SOFT,,True,00:32:48,Ferrari,LEC,1,False,2021-05-08 13:17:48.548
34,00:41:23,16,,4,2,00:39:37,,,00:00:40,00:00:37,,00:40:46,00:41:24,224.0,177.0,281.0,233.0,SOFT,2.0,True,00:34:30,Ferrari,LEC,1,False,2021-05-08 13:19:30.074
35,00:42:42,16,00:01:18,5,2,,,00:00:22,00:00:29,00:00:26,00:41:46,00:42:15,00:42:42,286.0,302.0,282.0,311.0,SOFT,3.0,True,00:41:23,Ferrari,LEC,1,True,2021-05-08 13:26:23.997
36,00:44:28,16,00:01:46,6,3,,00:44:25,00:00:27,00:00:39,00:00:39,00:43:09,00:43:49,00:44:28,183.0,174.0,,274.0,SOFT,1.0,True,00:42:42,Ferrari,LEC,1,False,2021-05-08 13:27:42.038
37,00:56:30,16,,7,3,00:54:35,,,00:00:43,00:00:41,,00:55:49,00:56:30,194.0,176.0,281.0,215.0,SOFT,2.0,True,00:44:28,Ferrari,LEC,1,False,2021-05-08 13:29:28.287
38,00:57:48,16,00:01:17,8,3,,,00:00:21,00:00:28,00:00:26,00:56:52,00:57:21,00:57:48,285.0,303.0,281.0,312.0,SOFT,3.0,True,00:56:30,Ferrari,LEC,1,True,2021-05-08 13:41:30.476
39,00:59:26,16,00:01:38,9,4,,00:59:24,00:00:26,00:00:35,00:00:35,00:58:15,00:58:51,00:59:26,216.0,224.0,,288.0,SOFT,1.0,True,00:57:48,Ferrari,LEC,1,False,2021-05-08 13:42:48.395
40,01:03:07,16,,10,4,01:01:24,,,00:00:38,00:00:31,,01:02:36,01:03:07,216.0,237.0,278.0,180.0,SOFT,2.0,True,00:59:26,Ferrari,LEC,1,False,2021-05-08 13:44:26.862
41,01:04:25,16,00:01:17,11,4,,,00:00:22,00:00:29,00:00:26,01:03:29,01:03:58,01:04:25,284.0,301.0,277.0,307.0,SOFT,3.0,True,01:03:07,Ferrari,LEC,1,True,2021-05-08 13:48:07.690
42,01:06:14,16,00:01:49,12,5,,01:06:12,00:00:29,00:00:38,00:00:41,01:04:54,01:05:33,01:06:14,206.0,145.0,,205.0,SOFT,1.0,True,01:04:25,Ferrari,LEC,1,False,2021-05-08 13:49:25.407
43,01:15:58,16,,13,5,01:14:15,,,00:00:37,00:00:35,,01:15:22,01:15:58,227.0,198.0,281.0,156.0,SOFT,5.0,False,01:06:14,Ferrari,LEC,1,False,2021-05-08 13:51:14.882
44,01:17:15,16,00:01:17,14,5,,,00:00:22,00:00:28,00:00:26,01:16:20,01:16:49,01:17:15,288.0,303.0,282.0,309.0,SOFT,6.0,False,01:15:58,Ferrari,LEC,1,True,2021-05-08 14:00:58.243
45,01:18:51,16,00:01:35,15,6,,01:18:49,00:00:27,00:00:35,00:00:33,01:17:42,01:18:18,01:18:51,224.0,204.0,,290.0,SOFT,4.0,False,01:17:15,Ferrari,LEC,1,False,2021-05-08 14:02:15.951
46,01:24:49,16,,16,6,01:22:40,,,00:00:43,00:00:52,,01:23:56,01:24:49,171.0,181.0,282.0,177.0,SOFT,2.0,True,01:18:51,Ferrari,LEC,1,False,2021-05-08 14:03:51.872
47,01:26:06,16,00:01:17,17,6,,,00:00:21,00:00:28,00:00:26,01:25:11,01:25:40,01:26:06,287.0,302.0,278.0,313.0,SOFT,3.0,True,01:24:49,Ferrari,LEC,1,True,2021-05-08 14:09:49.379
48,00:31:24,55,,1,1,00:29:39,,,00:00:39,00:00:35,,00:30:48,00:31:24,206.0,136.0,283.0,229.0,SOFT,1.0,True,,Ferrari,SAI,1,False,
49,00:32:42,55,00:01:18,2,1,,,00:00:21,00:00:29,00:00:27,00:31:46,00:32:15,00:32:42,284.0,298.0,283.0,317.0,SOFT,2.0,True,00:31:24,Ferrari,SAI,1,True,2021-05-08 13:16:24.244
50,00:34:21,55,00:01:39,3,2,,00:34:19,00:00:26,00:00:35,00:00:36,00:33:08,00:33:44,00:34:21,207.0,215.0,,276.0,SOFT,1.0,True,00:32:42,Ferrari,SAI,1,False,2021-05-08 13:17:42.449
51,00:56:23,55,,4,2,00:54:33,,,00:00:38,00:00:40,,00:55:43,00:56:23,210.0,207.0,281.0,213.0,SOFT,2.0,True,00:34:21,Ferrari,SAI,1,False,2021-05-08 13:19:21.711
52,00:57:41,55,00:01:17,5,2,,,00:00:21,00:00:28,00:00:26,00:56:45,00:57:14,00:57:41,285.0,302.0,279.0,311.0,SOFT,3.0,True,00:56:23,Ferrari,SAI,1,True,2021-05-08 13:41:23.692
53,00:59:24,55,00:01:42,6,3,,00:59:21,00:00:27,00:00:38,00:00:37,00:58:08,00:58:46,00:59:24,201.0,204.0,,284.0,SOFT,1.0,True,00:57:41,Ferrari,SAI,1,False,2021-05-08 13:42:41.539
54,01:03:13,55,,7,3,01:01:22,,,00:00:40,00:00:34,,01:02:38,01:03:13,189.0,236.0,280.0,209.0,SOFT,2.0,True,00:59:24,Ferrari,SAI,1,False,2021-05-08 13:44:24.531
55,01:04:30,55,00:01:17,8,3,,,00:00:21,00:00:29,00:00:26,01:03:35,01:04:04,01:04:30,287.0,303.0,282.0,309.0,SOFT,3.0,True,01:03:13,Ferrari,SAI,1,True,2021-05-08 13:48:13.089
56,01:06:17,55,00:01:46,9,4,,01:06:14,00:00:28,00:00:38,00:00:39,01:04:59,01:05:38,01:06:17,188.0,182.0,,241.0,SOFT,1.0,True,01:04:30,Ferrari,SAI,1,False,2021-05-08 13:49:30.745
57,01:16:04,55,,10,4,01:14:13,,,00:00:42,00:00:38,,01:15:25,01:16:04,205.0,233.0,282.0,220.0,SOFT,2.0,True,01:06:17,Ferrari,SAI,1,False,2021-05-08 13:51:17.601
