,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:34:45,44,,1,1,00:00:05,,,00:00:31,00:00:28,,00:34:17,00:34:46,266.0,270.0,273.0,273.0,SOFT,5.0,False,00:33:18,Mercedes,HAM,1,False,2021-05-09 13:03:18.095
1,00:36:09,44,00:01:23,2,1,,,00:00:23,00:00:31,00:00:28,00:35:09,00:35:41,00:36:09,274.0,271.0,273.0,281.0,SOFT,6.0,False,00:34:45,Mercedes,HAM,1,True,2021-05-09 13:04:45.964
2,00:37:33,44,00:01:23,3,1,,,00:00:23,00:00:31,00:00:28,00:36:33,00:37:04,00:37:33,272.0,276.0,273.0,300.0,SOFT,7.0,False,00:36:09,Mercedes,HAM,1,True,2021-05-09 13:06:09.762
3,00:38:56,44,00:01:22,4,1,,,00:00:23,00:00:31,00:00:28,00:37:56,00:38:27,00:38:56,268.0,272.0,274.0,301.0,SOFT,8.0,False,00:37:33,Mercedes,HAM,1,True,2021-05-09 13:07:33.187
4,00:40:19,44,00:01:23,5,1,,,00:00:23,00:00:31,00:00:28,00:39:19,00:39:51,00:40:19,273.0,268.0,274.0,303.0,SOFT,9.0,False,00:38:56,Mercedes,HAM,1,True,2021-05-09 13:08:56.125
5,00:41:42,44,00:01:23,6,1,,,00:00:23,00:00:31,00:00:28,00:40:42,00:41:13,00:41:42,272.0,276.0,275.0,300.0,SOFT,10.0,False,00:40:19,Mercedes,HAM,1,True,2021-05-09 13:10:19.243
6,00:43:05,44,00:01:23,7,1,,,00:00:23,00:00:31,00:00:28,00:42:05,00:42:37,00:43:05,274.0,274.0,276.0,306.0,SOFT,11.0,False,00:41:42,Mercedes,HAM,1,True,2021-05-09 13:11:42.305
7,00:44:34,44,00:01:29,8,1,,,00:00:23,00:00:31,00:00:34,00:43:28,00:44:00,00:44:34,,251.0,110.0,303.0,SOFT,12.0,False,00:43:05,Mercedes,HAM,24,False,2021-05-09 13:13:05.566
8,00:46:46,44,00:02:11,9,1,,,00:00:36,00:00:50,00:00:44,00:45:11,00:46:01,00:46:46,131.0,166.0,208.0,217.0,SOFT,13.0,False,00:44:34,Mercedes,HAM,4,False,2021-05-09 13:14:34.819
9,00:49:04,44,00:02:18,10,1,,,00:00:36,00:00:52,00:00:48,00:47:23,00:48:16,00:49:04,94.0,142.0,277.0,172.0,SOFT,14.0,False,00:46:46,Mercedes,HAM,4,False,2021-05-09 13:16:46.430
10,00:50:28,44,00:01:23,11,1,,,00:00:23,00:00:31,00:00:28,00:49:28,00:50:00,00:50:28,275.0,274.0,277.0,309.0,SOFT,15.0,False,00:49:04,Mercedes,HAM,1,False,2021-05-09 13:19:04.846
