,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,00:00:31,22.3,55.0,994.5,True,34.1,252,0.2
1,00:01:31,22.1,55.9,994.8,True,33.6,272,0.5
2,00:02:31,22.1,56.9,995.0,True,33.3,209,0.4
3,00:03:31,21.9,57.2,995.1,True,32.9,243,0.4
4,00:04:31,21.9,57.4,995.2,True,32.8,212,0.4
5,00:05:31,21.8,57.0,995.2,True,32.8,248,0.2
6,00:06:31,21.8,57.1,995.2,True,33.0,22,0.2
7,00:07:31,21.6,57.0,995.2,True,33.0,81,0.3
8,00:08:31,21.6,58.1,995.1,True,32.9,12,0.1
9,00:09:31,21.8,56.9,995.0,True,32.9,3,0.2
10,00:10:31,21.8,56.9,994.9,True,33.0,108,0.2
11,00:11:31,21.7,56.7,994.9,True,33.0,40,0.2
12,00:12:31,21.7,56.5,994.9,True,32.8,48,0.2
13,00:13:31,21.7,56.3,994.9,True,32.8,43,0.4
14,00:14:31,21.6,56.2,994.7,True,32.5,60,0.4
15,00:15:31,21.6,56.6,994.6,True,32.2,56,0.5
16,00:16:31,21.6,56.3,994.5,True,32.2,40,0.3
17,00:17:31,21.6,56.2,994.3,True,32.2,18,0.3
18,00:18:31,21.6,56.5,994.2,True,32.2,57,0.2
19,00:19:31,21.6,56.7,994.2,True,31.9,38,0.4
20,00:20:31,21.4,55.9,994.1,True,31.9,19,0.8
21,00:21:31,21.4,57.2,994.1,True,31.8,43,0.5
22,00:22:31,21.3,57.9,994.1,True,31.4,51,0.5
23,00:23:31,21.3,57.9,994.2,True,31.3,51,0.4
24,00:24:31,21.3,57.9,994.3,True,31.3,82,0.4
25,00:25:31,21.3,57.9,994.4,True,31.6,64,0.3
26,00:26:31,21.4,57.3,994.5,True,31.6,137,0.1
27,00:27:31,21.4,58.1,994.6,True,31.4,123,0.1
28,00:28:31,21.3,57.7,994.5,True,31.4,29,0.1
29,00:29:31,21.3,57.7,994.4,True,31.2,51,0.1
30,00:30:31,21.4,57.9,994.5,True,31.2,0,0.1
31,00:31:31,21.5,57.9,994.5,True,31.5,0,0.0
32,00:32:31,21.4,57.9,994.4,True,31.5,296,0.0
33,00:33:31,21.4,57.8,994.3,True,31.7,25,0.2
34,00:34:31,21.5,57.7,994.4,True,31.7,233,0.1
35,00:35:31,21.5,58.6,994.5,True,31.6,84,0.3
36,00:36:31,21.7,58.0,994.8,True,31.6,233,0.2
37,00:37:31,21.7,57.9,994.8,True,31.8,172,0.4
38,00:38:31,21.8,58.0,995.0,True,31.7,116,0.2
39,00:39:31,21.8,58.5,994.8,True,31.6,71,0.5
40,00:40:31,21.8,57.9,994.8,True,31.6,61,0.3
41,00:41:31,21.8,58.4,994.6,True,31.0,41,0.2
42,00:42:31,21.7,58.1,994.4,True,31.4,57,0.5
43,00:43:31,21.7,58.1,994.5,True,30.8,173,0.5
44,00:44:31,21.6,58.2,994.4,True,30.7,66,0.7
45,00:45:31,21.7,58.1,994.4,True,31.0,52,0.6
46,00:46:31,21.7,57.4,994.2,True,31.0,71,0.6
47,00:47:31,21.7,57.5,994.0,True,31.3,58,0.5
48,00:48:31,21.8,57.7,994.1,True,31.3,103,0.6
49,00:49:31,21.8,57.7,993.9,True,31.4,61,0.3
50,00:50:31,21.9,57.3,993.8,True,31.6,135,0.2
51,00:51:31,21.9,57.7,993.8,True,31.8,41,0.5
52,00:52:31,21.9,57.1,993.6,True,32.2,78,0.4
53,00:53:31,22.0,57.7,993.7,True,32.5,92,0.4
54,00:54:31,22.0,57.0,993.9,True,32.7,70,0.6
55,00:55:31,22.3,56.4,993.9,True,32.7,58,0.5
56,00:56:31,22.3,55.9,993.8,True,32.7,73,0.4
57,00:57:31,22.3,56.0,993.7,True,32.4,78,0.3
58,00:58:31,22.3,56.6,993.7,True,32.4,338,0.3
59,00:59:31,22.3,55.9,993.6,True,32.4,69,0.7
60,01:00:31,22.3,57.5,993.7,True,32.2,69,0.5
61,01:01:31,22.3,57.0,993.5,True,31.9,20,0.7
62,01:02:31,22.4,57.1,993.7,True,32.2,61,0.5
63,01:03:31,22.4,57.4,993.7,True,32.2,74,0.6
64,01:04:31,22.4,58.1,993.7,True,32.1,113,0.7
65,01:05:31,22.3,57.6,993.6,True,31.8,55,0.5
66,01:06:31,22.3,57.4,993.5,True,31.9,56,0.6
67,01:07:31,22.2,57.4,993.5,True,31.9,56,0.6
68,01:08:31,22.2,57.4,993.5,True,31.9,56,0.6
69,01:09:31,22.0,57.4,993.5,True,31.9,56,0.6
70,01:10:31,22.1,57.4,993.5,True,31.9,56,0.6
71,01:11:31,22.3,56.8,993.6,True,32.8,73,0.3
72,01:12:31,22.4,56.3,993.5,True,32.6,9,0.2
73,01:13:31,22.5,58.4,993.7,True,32.9,66,0.1
74,01:14:31,22.6,57.1,993.6,True,33.2,41,0.3
75,01:15:31,22.7,57.1,993.6,True,33.8,16,0.3
76,01:16:31,22.7,56.9,993.7,True,34.0,184,0.4
77,01:17:31,22.7,56.6,993.6,True,34.4,75,0.4
78,01:18:31,22.9,55.8,993.6,True,34.6,42,0.2
79,01:19:31,22.9,54.2,993.5,True,34.7,28,0.6
80,01:20:31,22.6,56.5,993.5,True,34.4,35,0.4
81,01:21:31,22.6,57.6,993.4,True,33.2,57,0.4
82,01:22:31,22.8,56.7,993.4,True,33.3,3,0.5
83,01:23:31,22.8,56.7,993.3,True,33.6,67,0.3
84,01:24:31,22.7,57.0,993.4,True,33.6,32,0.8
85,01:25:31,22.6,58.1,993.3,True,33.5,34,0.5
86,01:26:31,22.6,58.0,993.2,True,32.7,66,0.4
87,01:27:31,22.6,58.1,993.2,True,32.9,99,0.3
88,01:28:31,22.6,57.8,993.2,True,33.2,73,0.5
89,01:29:31,22.5,57.9,993.2,True,33.2,64,0.7
90,01:30:31,22.5,57.5,993.2,True,33.0,68,0.7
91,01:31:31,22.5,58.1,992.9,True,33.0,69,0.6
92,01:32:31,22.5,58.2,993.0,True,33.0,52,0.8
93,01:33:31,22.4,58.4,993.0,True,32.5,52,0.7
94,01:34:31,22.4,58.6,992.9,True,32.5,52,0.6
95,01:35:31,22.4,59.2,993.0,True,32.5,39,0.5
96,01:36:31,22.4,58.9,993.0,True,32.8,58,0.7
97,01:37:31,22.4,58.8,992.9,True,32.6,60,0.6
98,01:38:32,22.4,59.5,992.9,True,32.5,70,0.8
99,01:39:32,22.3,58.9,992.9,True,32.6,41,0.8
100,01:40:32,22.3,59.2,992.8,True,32.5,60,0.5
101,01:41:32,22.3,59.4,992.8,True,32.5,59,0.7
102,01:42:32,22.3,59.0,992.9,True,32.6,66,0.6
103,01:43:32,22.5,58.8,992.8,True,32.7,54,0.8
104,01:44:32,22.4,58.8,992.8,True,32.9,24,0.9
105,01:45:32,22.2,60.2,992.7,True,32.9,45,0.8
106,01:46:32,22.2,61.1,992.6,True,33.0,52,0.8
107,01:47:32,22.3,60.1,992.6,True,33.2,55,0.7
108,01:48:32,22.4,59.9,992.4,True,33.2,22,0.7
109,01:49:32,22.4,59.9,992.3,True,33.5,54,0.7
110,01:50:32,22.5,59.8,992.3,True,34.0,44,0.8
111,01:51:32,22.6,58.7,992.2,True,35.2,58,0.6
112,01:52:32,22.7,59.3,992.2,True,35.4,62,0.8
113,01:53:32,22.7,58.5,992.2,True,35.4,57,0.8
114,01:54:32,22.7,58.5,992.1,True,36.0,76,0.5
115,01:55:32,22.7,58.4,992.0,True,36.2,67,0.5
116,01:56:32,23.0,58.1,992.1,True,36.1,71,0.4
117,01:57:32,23.0,58.0,992.0,True,36.1,62,0.7
118,01:58:32,23.2,57.2,992.0,True,35.8,38,0.8
119,01:59:32,23.2,57.3,991.8,True,35.8,52,0.5
120,02:00:32,23.1,56.3,991.8,True,35.8,54,0.5
121,02:01:32,23.1,57.0,991.7,True,35.8,96,0.6
122,02:02:32,23.2,57.3,991.6,True,36.1,50,0.5
123,02:03:32,23.2,56.8,991.6,True,36.1,25,0.6
124,02:04:32,23.2,56.7,991.6,True,35.9,58,0.3
125,02:05:32,23.2,56.2,991.6,True,35.9,53,0.5
126,02:06:32,23.3,56.6,991.6,True,35.6,43,0.4
127,02:07:32,23.3,56.2,991.5,True,35.4,127,0.4
128,02:08:32,23.5,56.2,991.6,True,35.5,32,0.4
129,02:09:32,23.5,55.2,991.5,True,35.5,64,0.4
