,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:22:44,44,,1,1,00:21:26,,,00:00:34,00:00:24,,00:22:20,00:22:45,279.0,206.0,284.0,293.0,SOFT,1.0,True,,Mercedes,HAM,1,False,
1,00:23:49,44,00:01:04,2,1,,,00:00:16,00:00:28,00:00:19,00:23:01,00:23:30,00:23:49,314.0,246.0,285.0,312.0,SOFT,2.0,True,00:22:44,Mercedes,HAM,1,True,2021-06-26 13:07:47.876
2,00:25:50,44,00:02:01,3,1,,,00:00:28,00:00:58,00:00:35,00:24:17,00:25:15,00:25:50,120.0,100.0,175.0,141.0,SOFT,3.0,True,00:23:49,Mercedes,HAM,1,True,2021-06-26 13:08:52.558
3,00:27:27,44,00:01:36,4,1,,,00:00:28,00:00:43,00:00:25,00:26:19,00:27:02,00:27:27,178.0,170.0,284.0,246.0,SOFT,4.0,True,00:25:50,Mercedes,HAM,1,True,2021-06-26 13:10:53.950
4,00:28:32,44,00:01:04,5,1,,,00:00:16,00:00:28,00:00:19,00:27:44,00:28:13,00:28:32,312.0,249.0,285.0,310.0,SOFT,5.0,True,00:27:27,Mercedes,HAM,1,True,2021-06-26 13:12:30.941
5,00:29:49,44,00:01:17,6,2,,00:29:46,00:00:18,00:00:32,00:00:26,00:28:50,00:29:23,00:29:49,267.0,219.0,,281.0,SOFT,1.0,True,00:28:32,Mercedes,HAM,1,False,2021-06-26 13:13:35.613
6,00:43:13,44,,7,2,00:41:55,,,00:00:33,00:00:25,,00:42:48,00:43:13,289.0,199.0,286.0,288.0,MEDIUM,2.0,True,00:29:49,Mercedes,HAM,1,False,2021-06-26 13:14:52.940
7,00:44:18,44,00:01:05,8,2,,,00:00:16,00:00:29,00:00:19,00:43:29,00:43:58,00:44:18,316.0,244.0,286.0,311.0,MEDIUM,3.0,True,00:43:13,Mercedes,HAM,1,True,2021-06-26 13:28:16.163
8,00:45:52,44,00:01:34,9,2,,,00:00:22,00:00:41,00:00:30,00:44:41,00:45:22,00:45:52,196.0,153.0,284.0,148.0,MEDIUM,4.0,True,00:44:18,Mercedes,HAM,1,True,2021-06-26 13:29:21.549
9,00:46:57,44,00:01:04,10,2,,,00:00:16,00:00:28,00:00:19,00:46:09,00:46:38,00:46:57,315.0,248.0,287.0,309.0,MEDIUM,5.0,True,00:45:52,Mercedes,HAM,1,True,2021-06-26 13:30:55.958
10,00:48:18,44,00:01:21,11,3,,00:48:15,00:00:20,00:00:33,00:00:26,00:47:18,00:47:51,00:48:18,247.0,217.0,,281.0,MEDIUM,1.0,True,00:46:57,Mercedes,HAM,1,False,2021-06-26 13:32:00.584
11,00:51:53,44,,12,3,00:50:39,,,00:00:32,00:00:22,,00:51:30,00:51:53,279.0,225.0,284.0,287.0,MEDIUM,2.0,True,00:48:18,Mercedes,HAM,1,False,2021-06-26 13:33:21.630
12,00:52:57,44,00:01:04,13,3,,,00:00:16,00:00:28,00:00:19,00:52:09,00:52:38,00:52:57,312.0,248.0,284.0,309.0,MEDIUM,3.0,True,00:51:53,Mercedes,HAM,1,True,2021-06-26 13:36:56.335
13,00:54:39,44,00:01:41,14,3,,,00:00:26,00:00:46,00:00:29,00:53:24,00:54:10,00:54:39,147.0,201.0,286.0,217.0,MEDIUM,4.0,True,00:52:57,Mercedes,HAM,1,True,2021-06-26 13:38:00.847
14,00:55:55,44,00:01:15,15,4,,00:55:52,00:00:16,00:00:29,00:00:30,00:54:56,00:55:25,00:55:55,317.0,175.0,,314.0,MEDIUM,1.0,True,00:54:39,Mercedes,HAM,1,False,2021-06-26 13:39:42.705
15,01:04:15,44,,16,4,01:02:59,,,00:00:34,00:00:23,,01:03:52,01:04:15,283.0,216.0,286.0,289.0,SOFT,2.0,True,00:55:55,Mercedes,HAM,1,False,2021-06-26 13:40:58.615
16,01:05:19,44,00:01:04,17,4,,,00:00:16,00:00:28,00:00:19,01:04:31,01:05:00,01:05:19,311.0,250.0,287.0,309.0,SOFT,3.0,True,01:04:15,Mercedes,HAM,1,True,2021-06-26 13:49:18.452
17,01:06:38,44,00:01:18,18,5,,01:06:34,00:00:17,00:00:33,00:00:27,01:05:37,01:06:11,01:06:38,285.0,185.0,,267.0,SOFT,1.0,True,01:05:19,Mercedes,HAM,1,False,2021-06-26 13:50:22.657
18,01:09:13,44,,19,5,01:07:57,,00:01:39,00:00:32,00:00:22,01:08:18,01:08:51,01:09:13,287.0,224.0,287.0,292.0,SOFT,2.0,True,01:06:38,Mercedes,HAM,1,False,2021-06-26 13:51:41.354
19,01:10:17,44,00:01:04,20,5,,,00:00:16,00:00:28,00:00:19,01:09:29,01:09:57,01:10:17,311.0,250.0,288.0,310.0,SOFT,3.0,True,01:09:13,Mercedes,HAM,1,True,2021-06-26 13:54:16.242
20,01:11:34,44,00:01:17,21,6,,01:11:31,00:00:18,00:00:33,00:00:25,01:10:35,01:11:08,01:11:34,268.0,220.0,,267.0,SOFT,1.0,True,01:10:17,Mercedes,HAM,1,False,2021-06-26 13:55:20.309
21,01:14:25,44,,22,6,01:13:02,,,00:00:35,00:00:29,,01:13:56,01:14:25,282.0,167.0,284.0,276.0,SOFT,2.0,True,01:11:34,Mercedes,HAM,1,False,2021-06-26 13:56:37.526
22,01:15:31,44,00:01:06,23,6,,,00:00:16,00:00:28,00:00:21,01:14:41,01:15:10,01:15:31,315.0,247.0,252.0,311.0,SOFT,3.0,True,01:14:25,Mercedes,HAM,1,True,2021-06-26 13:59:28.336
23,01:17:10,44,00:01:38,24,6,,,00:00:23,00:00:35,00:00:40,01:15:55,01:16:30,01:17:10,234.0,194.0,34.0,242.0,SOFT,4.0,True,01:15:31,Mercedes,HAM,1,True,2021-06-26 14:00:34.721
24,00:21:10,33,,1,1,00:19:29,,,00:00:42,00:00:35,,00:20:35,00:21:10,201.0,169.0,286.0,266.0,SOFT,1.0,True,,Red Bull,VER,1,False,
25,00:22:15,33,00:01:04,2,1,,,00:00:16,00:00:28,00:00:19,00:21:26,00:21:55,00:22:15,317.0,248.0,288.0,313.0,SOFT,2.0,True,00:21:10,Red Bull,VER,1,True,2021-06-26 13:06:13.652
26,00:23:57,33,00:01:41,3,1,,,00:00:21,00:00:47,00:00:32,00:22:36,00:23:24,00:23:57,169.0,110.0,202.0,130.0,SOFT,3.0,True,00:22:15,Red Bull,VER,1,True,2021-06-26 13:07:18.141
27,00:25:45,33,00:01:48,4,1,,,00:00:22,00:00:47,00:00:38,00:24:20,00:25:07,00:25:45,191.0,95.0,286.0,149.0,SOFT,4.0,True,00:23:57,Red Bull,VER,1,True,2021-06-26 13:09:00.028
28,00:26:50,33,00:01:04,5,1,,,00:00:16,00:00:28,00:00:19,00:26:02,00:26:31,00:26:50,318.0,249.0,287.0,315.0,SOFT,5.0,True,00:25:45,Red Bull,VER,1,True,2021-06-26 13:10:48.991
29,00:28:09,33,00:01:18,6,2,,00:28:06,00:00:18,00:00:34,00:00:26,00:27:09,00:27:43,00:28:09,250.0,215.0,,238.0,SOFT,1.0,True,00:26:50,Red Bull,VER,1,False,2021-06-26 13:11:53.595
30,00:43:08,33,,7,2,00:41:52,,,00:00:35,00:00:22,,00:42:46,00:43:08,275.0,173.0,287.0,278.0,MEDIUM,2.0,True,00:28:09,Red Bull,VER,1,False,2021-06-26 13:13:12.509
31,00:44:13,33,00:01:04,8,2,,,00:00:16,00:00:28,00:00:19,00:43:25,00:43:53,00:44:13,314.0,248.0,286.0,311.0,MEDIUM,3.0,True,00:43:08,Red Bull,VER,1,True,2021-06-26 13:28:11.948
32,00:45:48,33,00:01:34,9,2,,,00:00:22,00:00:46,00:00:25,00:44:35,00:45:22,00:45:48,206.0,144.0,286.0,148.0,MEDIUM,4.0,True,00:44:13,Red Bull,VER,1,True,2021-06-26 13:29:16.488
33,00:46:52,33,00:01:04,10,2,,,00:00:16,00:00:28,00:00:19,00:46:04,00:46:33,00:46:52,313.0,249.0,288.0,310.0,MEDIUM,5.0,True,00:45:48,Red Bull,VER,1,True,2021-06-26 13:30:51.323
34,00:48:17,33,00:01:24,11,3,,00:48:13,00:00:20,00:00:36,00:00:27,00:47:12,00:47:49,00:48:17,255.0,186.0,,231.0,MEDIUM,1.0,True,00:46:52,Red Bull,VER,1,False,2021-06-26 13:31:55.756
