,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2021-06-27 13:03:05.722,00:33:05,,0.0,,10980,0,1,25,100,1,interpolation,-0.009316111037142968,-2.2133866091570703e-06,OnTrack,508,-1364,7214
3,2021-06-27 13:03:05.816,00:33:05,,0.0,00:00:00,10970,0,1,25,100,1,car,0.0,0.0,OnTrack,510,-1366,7214
4,2021-06-27 13:03:05.831,00:33:05,,0.0,00:00:00,11024,0,1,25,66,1,pos,0.002598801489716935,6.174413759414526e-07,OnTrack,511,-1367,7214
5,2021-06-27 13:03:06.050,00:33:06,,0.0,00:00:00,11079,1,1,25,33,1,pos,0.1250537853098907,2.9711150149000472e-05,OnTrack,511,-1367,7214
6,2021-06-27 13:03:06.056,00:33:06,,0.0,00:00:00,11134,2,1,25,0,1,car,0.13333333333333336,3.167826289077615e-05,OnTrack,510,-1366,7213
7,2021-06-27 13:03:06.269,00:33:06,,0.0,00:00:00,10434,5,1,26,0,1,pos,0.5990467436762598,0.00014232570172529962,OnTrack,508,-1363,7214
8,2021-06-27 13:03:06.296,00:33:06,,0.0,00:00:00,9734,8,1,27,0,1,car,0.6666666666666667,0.00015839131445388074,OnTrack,507,-1363,7213
9,2021-06-27 13:03:06.470,00:33:06,,0.0,00:00:00,8894,9,1,28,0,1,pos,1.117450782464691,0.0002654917474081499,OnTrack,500,-1370,7214
10,2021-06-27 13:03:06.536,00:33:06,3,0.0,00:00:00,8054,10,1,29,0,1,car,1.3333333333333335,0.00031678262890776147,OnTrack,497,-1371,7214
11,2021-06-27 13:03:06.690,00:33:06,3,0.0,00:00:00,7214,13,1,30,0,1,pos,1.984927395457202,0.0004715928888929762,OnTrack,491,-1373,7214
12,2021-06-27 13:03:06.776,00:33:06,6,0.0,00:00:01,6374,17,1,32,0,1,car,2.466666666666667,0.0005860478634793587,OnTrack,486,-1374,7213
13,2021-06-27 13:03:06.910,00:33:06,6,0.06666666666666687,00:00:01,5534,22,1,36,0,1,pos,3.41159989863133,0.000810551688502414,OnTrack,479,-1376,7214
14,2021-06-27 13:03:07.016,00:33:06,5,0.13333333333333375,00:00:01,4694,27,1,41,0,1,car,4.266666666666667,0.0010137044125048365,OnTrack,471,-1377,7214
15,2021-06-27 13:03:07.130,00:33:07,5,0.26666666666666705,00:00:01,4629,30,1,43,0,1,pos,5.243700635499957,0.0012458349543892318,OnTrack,461,-1380,7214
