,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:34:18,33,,1,1,00:00:03,,,00:00:31,00:00:21,,00:33:57,00:34:18,288.0,230.0,267.0,287.0,MEDIUM,6.0,False,00:33:05,Red Bull,VER,2,False,2021-06-27 13:03:05.722
1,00:35:28,33,00:01:10,2,1,,,00:00:17,00:00:31,00:00:21,00:34:36,00:35:07,00:35:28,289.0,231.0,267.0,287.0,MEDIUM,7.0,False,00:34:18,Red Bull,VER,1,True,2021-06-27 13:04:18.664
2,00:36:38,33,00:01:09,3,1,,,00:00:17,00:00:30,00:00:21,00:35:46,00:36:17,00:36:38,291.0,230.0,270.0,291.0,MEDIUM,8.0,False,00:35:28,Red Bull,VER,1,True,2021-06-27 13:05:28.695
3,00:37:48,33,00:01:09,4,1,,,00:00:17,00:00:30,00:00:21,00:36:56,00:37:26,00:37:48,292.0,231.0,271.0,292.0,MEDIUM,9.0,False,00:36:38,Red Bull,VER,1,True,2021-06-27 13:06:38.529
4,00:38:57,33,00:01:09,5,1,,,00:00:17,00:00:30,00:00:21,00:38:05,00:38:36,00:38:57,293.0,230.0,271.0,292.0,MEDIUM,10.0,False,00:37:48,Red Bull,VER,1,True,2021-06-27 13:07:48.135
5,00:40:07,33,00:01:09,6,1,,,00:00:17,00:00:30,00:00:21,00:39:15,00:39:46,00:40:07,295.0,229.0,270.0,290.0,MEDIUM,11.0,False,00:38:57,Red Bull,VER,1,True,2021-06-27 13:08:57.801
6,00:41:17,33,00:01:09,7,1,,,00:00:17,00:00:30,00:00:21,00:40:25,00:40:56,00:41:17,297.0,231.0,268.0,289.0,MEDIUM,12.0,False,00:40:07,Red Bull,VER,1,True,2021-06-27 13:10:07.656
7,00:42:27,33,00:01:09,8,1,,,00:00:17,00:00:31,00:00:21,00:41:35,00:42:06,00:42:27,294.0,232.0,269.0,291.0,MEDIUM,13.0,False,00:41:17,Red Bull,VER,1,True,2021-06-27 13:11:17.528
8,00:43:37,33,00:01:09,9,1,,,00:00:17,00:00:30,00:00:21,00:42:45,00:43:15,00:43:37,295.0,231.0,269.0,291.0,MEDIUM,14.0,False,00:42:27,Red Bull,VER,1,True,2021-06-27 13:12:27.413
9,00:44:47,33,00:01:09,10,1,,,00:00:17,00:00:30,00:00:21,00:43:54,00:44:25,00:44:47,293.0,232.0,269.0,290.0,MEDIUM,15.0,False,00:43:37,Red Bull,VER,1,True,2021-06-27 13:13:37.160
10,00:45:56,33,00:01:09,11,1,,,00:00:17,00:00:30,00:00:21,00:45:04,00:45:35,00:45:56,295.0,232.0,269.0,290.0,MEDIUM,16.0,False,00:44:47,Red Bull,VER,1,True,2021-06-27 13:14:47.047
11,00:47:06,33,00:01:09,12,1,,,00:00:17,00:00:30,00:00:21,00:46:14,00:46:45,00:47:06,293.0,232.0,269.0,290.0,MEDIUM,17.0,False,00:45:56,Red Bull,VER,1,True,2021-06-27 13:15:56.948
