,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:14:24,10,,1,1,00:12:20,,,00:00:37,00:00:40,,00:13:43,00:14:24,265.0,247.0,251.0,269.0,SOFT,1.0,True,,AlphaTauri,GAS,1,False,
1,00:15:53,10,00:01:29,2,1,,,00:00:34,00:00:30,00:00:23,00:14:58,00:15:29,00:15:53,277.0,290.0,252.0,325.0,SOFT,2.0,True,00:14:24,AlphaTauri,GAS,2,True,2021-10-09 12:02:18.156
2,00:17:40,10,00:01:47,3,1,,,00:00:38,00:00:39,00:00:28,00:16:32,00:17:11,00:17:40,251.0,225.0,254.0,280.0,SOFT,3.0,True,00:15:53,AlphaTauri,GAS,1,True,2021-10-09 12:03:47.655
3,00:19:07,10,00:01:26,4,1,,,00:00:32,00:00:30,00:00:23,00:18:13,00:18:43,00:19:07,279.0,290.0,252.0,319.0,SOFT,4.0,True,00:17:40,AlphaTauri,GAS,1,True,2021-10-09 12:05:34.869
4,00:20:59,10,00:01:51,5,1,,,00:00:42,00:00:40,00:00:29,00:19:49,00:20:29,00:20:59,254.0,263.0,254.0,281.0,SOFT,5.0,True,00:19:07,AlphaTauri,GAS,2,True,2021-10-09 12:07:01.502
5,00:22:24,10,00:01:25,6,1,,,00:00:32,00:00:30,00:00:23,00:21:31,00:22:01,00:22:24,281.0,291.0,253.0,324.0,SOFT,6.0,True,00:20:59,AlphaTauri,GAS,2,True,2021-10-09 12:08:53.226
6,00:24:07,10,00:01:42,7,2,,00:24:06,00:00:40,00:00:34,00:00:28,00:23:04,00:23:39,00:24:07,255.0,267.0,,278.0,SOFT,1.0,True,00:22:24,AlphaTauri,GAS,2,False,2021-10-09 12:10:18.712
7,00:28:22,10,,8,2,00:26:39,,,00:00:33,00:00:33,,00:27:49,00:28:22,262.0,283.0,254.0,276.0,SOFT,2.0,True,00:24:07,AlphaTauri,GAS,1,False,2021-10-09 12:12:01.382
8,00:29:47,10,00:01:24,9,2,,,00:00:31,00:00:29,00:00:23,00:28:54,00:29:23,00:29:47,281.0,292.0,253.0,320.0,SOFT,3.0,True,00:28:22,AlphaTauri,GAS,1,True,2021-10-09 12:16:16.633
9,00:31:41,10,00:01:54,10,3,,00:31:41,00:00:40,00:00:41,00:00:31,00:30:27,00:31:09,00:31:41,245.0,262.0,,231.0,SOFT,1.0,True,00:29:47,AlphaTauri,GAS,1,False,2021-10-09 12:17:41.337
