,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,01:03:57,77,,1,1,00:22:19,,,00:00:33,00:00:25,,01:03:31,01:03:57,276.0,284.0,236.0,293.0,INTERMEDIATE,1.0,True,01:02:21,Mercedes,BOT,2,False,2021-10-10 12:03:21.750
1,01:05:31,77,00:01:34,2,1,,,00:00:35,00:00:33,00:00:25,01:04:32,01:05:05,01:05:31,270.0,286.0,237.0,288.0,INTERMEDIATE,2.0,True,01:03:57,Mercedes,BOT,2,True,2021-10-10 12:04:57.324
2,01:07:06,77,00:01:34,3,1,,,00:00:35,00:00:33,00:00:25,01:06:06,01:06:40,01:07:06,273.0,285.0,236.0,299.0,INTERMEDIATE,3.0,True,01:05:31,Mercedes,BOT,1,True,2021-10-10 12:06:31.683
3,01:08:40,77,00:01:34,4,1,,,00:00:35,00:00:33,00:00:25,01:07:41,01:08:14,01:08:40,275.0,286.0,237.0,289.0,INTERMEDIATE,4.0,True,01:07:06,Mercedes,BOT,1,True,2021-10-10 12:08:06.176
4,01:10:15,77,00:01:34,5,1,,,00:00:35,00:00:33,00:00:25,01:09:15,01:09:49,01:10:15,270.0,284.0,236.0,296.0,INTERMEDIATE,5.0,True,01:08:40,Mercedes,BOT,1,True,2021-10-10 12:09:40.830
5,01:11:50,77,00:01:34,6,1,,,00:00:35,00:00:33,00:00:26,01:10:50,01:11:24,01:11:50,273.0,285.0,236.0,295.0,INTERMEDIATE,6.0,True,01:10:15,Mercedes,BOT,1,True,2021-10-10 12:11:15.546
6,01:13:25,77,00:01:34,7,1,,,00:00:35,00:00:33,00:00:25,01:12:25,01:12:59,01:13:25,274.0,284.0,236.0,295.0,INTERMEDIATE,7.0,True,01:11:50,Mercedes,BOT,1,True,2021-10-10 12:12:50.397
7,01:14:59,77,00:01:34,8,1,,,00:00:35,00:00:33,00:00:26,01:14:00,01:14:33,01:14:59,275.0,285.0,235.0,296.0,INTERMEDIATE,8.0,True,01:13:25,Mercedes,BOT,1,True,2021-10-10 12:14:25.044
8,01:16:34,77,00:01:34,9,1,,,00:00:35,00:00:33,00:00:25,01:15:34,01:16:08,01:16:34,272.0,285.0,236.0,297.0,INTERMEDIATE,9.0,True,01:14:59,Mercedes,BOT,1,True,2021-10-10 12:15:59.804
9,01:18:08,77,00:01:34,10,1,,,00:00:35,00:00:33,00:00:25,01:17:09,01:17:42,01:18:08,274.0,285.0,236.0,293.0,INTERMEDIATE,10.0,True,01:16:34,Mercedes,BOT,1,True,2021-10-10 12:17:34.175
10,01:19:43,77,00:01:34,11,1,,,00:00:34,00:00:33,00:00:25,01:18:43,01:19:17,01:19:43,272.0,285.0,236.0,293.0,INTERMEDIATE,11.0,True,01:18:08,Mercedes,BOT,1,True,2021-10-10 12:19:08.737
11,01:21:16,77,00:01:33,12,1,,,00:00:34,00:00:33,00:00:25,01:20:17,01:20:51,01:21:16,274.0,286.0,236.0,296.0,INTERMEDIATE,12.0,True,01:19:43,Mercedes,BOT,1,True,2021-10-10 12:20:43.018
12,01:22:50,77,00:01:33,13,1,,,00:00:34,00:00:33,00:00:25,01:21:51,01:22:24,01:22:50,,285.0,236.0,293.0,INTERMEDIATE,13.0,True,01:21:16,Mercedes,BOT,1,True,2021-10-10 12:22:16.981
13,01:24:24,77,00:01:33,14,1,,,00:00:34,00:00:33,00:00:25,01:23:25,01:23:58,01:24:24,275.0,286.0,237.0,299.0,INTERMEDIATE,14.0,True,01:22:50,Mercedes,BOT,1,True,2021-10-10 12:23:50.660
